"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","112.74","111.51","114.90","110.00","74.66K","1.41%"
"03/22/2026","111.17","117.04","119.99","111.00","71.30K","-4.60%"
"03/15/2026","116.53","110.30","128.28","110.30","342.59K","7.28%"
"03/08/2026","108.62","111.30","112.00","106.01","95.81K","-2.43%"
"03/01/2026","111.32","103.01","119.00","103.00","89.33K","-5.07%"
"02/22/2026","117.26","114.00","119.92","92.55","145.24K","3.32%"
"02/15/2026","113.49","117.00","117.36","113.01","55.81K","-2.15%"
"02/08/2026","115.98","117.00","117.50","115.50","87.32K","-0.05%"
"02/01/2026","116.04","119.50","129.98","101.00","29.91K","-0.74%"
"01/25/2026","116.90","116.96","122.00","116.75","92.14K","-0.05%"
"01/18/2026","116.96","118.89","121.85","116.60","77.12K","-1.33%"
"01/11/2026","118.54","124.42","125.80","117.02","47.29K","-4.81%"
"01/04/2026","124.53","129.90","131.80","124.10","68.91K","-3.56%"
"12/28/2025","129.13","123.00","130.00","120.00","236.17K","5.51%"
"12/21/2025","122.39","124.77","125.49","121.00","79.50K","-0.85%"
"12/14/2025","123.44","124.50","130.10","123.00","94.01K","0.12%"
"12/07/2025","123.29","126.56","130.00","123.00","78.61K","-3.13%"
"11/30/2025","127.28","125.00","130.00","121.00","98.10K","4.34%"
"11/23/2025","121.99","132.00","132.00","120.00","177.81K","-5.80%"
"11/16/2025","129.50","131.99","134.00","127.00","147.81K","-1.49%"
"11/09/2025","131.46","133.00","135.99","131.00","102.93K","-1.13%"
"11/02/2025","132.96","131.90","140.00","130.10","167.37K","0.80%"
"10/26/2025","131.91","137.55","138.80","130.60","223.57K","-4.10%"
"10/19/2025","137.55","144.51","146.80","135.25","294.85K","-3.85%"
"10/12/2025","143.06","142.90","144.80","138.00","192.57K","0.68%"
"10/05/2025","142.10","147.50","150.00","141.63","241.87K","-3.49%"
"09/28/2025","147.24","139.00","155.50","137.10","483.16K","5.78%"
"09/21/2025","139.19","141.00","150.00","136.10","397.72K","-1.74%"
"09/14/2025","141.66","131.86","145.50","130.85","463.06K","7.43%"
"09/07/2025","131.86","133.00","135.49","130.01","167.48K","-0.87%"
"08/31/2025","133.02","129.00","136.50","128.10","631.76K","3.91%"
"08/24/2025","128.01","128.89","131.00","124.00","249.10K","0.01%"
"08/17/2025","128.00","128.01","132.98","126.13","264.09K","0.00%"
"08/10/2025","128.00","129.78","133.00","126.00","219.02K","-0.44%"
"08/03/2025","128.56","124.50","133.70","122.00","580.65K","3.86%"
"07/27/2025","123.78","127.70","130.00","122.50","227.68K","-3.08%"
"07/20/2025","127.72","123.41","132.01","121.25","370.46K","5.44%"
"07/13/2025","121.13","127.00","128.80","120.00","250.65K","-4.37%"
"07/06/2025","126.66","122.11","128.00","120.55","450.89K","3.73%"
"06/29/2025","122.10","116.19","123.95","114.51","403.86K","5.09%"
"06/22/2025","116.19","110.87","118.80","110.01","260.62K","4.74%"
"06/15/2025","110.93","116.00","116.00","100.02","162.36K","-5.47%"
"06/08/2025","117.35","121.00","123.00","114.05","82.12K","-3.02%"
"06/01/2025","121.00","113.00","121.99","112.65","396.38K","6.33%"
"05/25/2025","113.80","112.50","115.98","111.76","360.72K","1.34%"
"05/18/2025","112.29","113.25","115.96","111.00","310.80K","-0.85%"
"05/11/2025","113.25","112.10","114.87","110.00","291.93K","1.13%"
"05/04/2025","111.98","111.89","116.00","110.06","386.78K","1.78%"
"04/27/2025","110.02","113.40","114.00","109.00","129.03K","-1.77%"
"04/20/2025","112.00","113.99","116.97","111.00","346.78K","-1.26%"
"04/13/2025","113.43","111.00","117.00","110.05","445.63K","3.07%"
"04/06/2025","110.05","113.00","114.38","105.02","360.25K","-5.94%"
"03/30/2025","117.00","120.25","120.25","116.00","42.93K","-2.70%"
"03/23/2025","120.25","119.00","139.00","113.50","1.53M","1.07%"
"03/16/2025","118.98","116.00","119.00","113.60","328.46K","2.99%"
"03/09/2025","115.53","119.00","120.00","107.30","160.58K","-0.50%"
"03/02/2025","116.11","115.47","126.50","113.56","174.36K","0.97%"
"02/23/2025","114.99","113.00","117.00","110.06","202.71K","1.30%"
"02/16/2025","113.51","116.87","124.99","112.30","641.12K","-2.23%"
"02/09/2025","116.10","100.55","118.97","97.10","721.54K","15.43%"
"02/02/2025","100.58","102.61","120.00","100.00","119.05K","-2.16%"
"01/26/2025","102.80","99.00","106.00","98.00","483.14K","3.88%"
"01/19/2025","98.96","97.00","106.25","95.00","273.30K","1.71%"
"01/12/2025","97.30","93.15","98.75","91.01","254.03K","3.57%"
"01/05/2025","93.95","98.39","98.39","93.02","241.32K","-4.51%"
"12/29/2024","98.39","87.10","101.90","87.10","691.65K","9.49%"
"12/22/2024","89.86","87.51","92.80","85.11","300.29K","3.37%"
"12/15/2024","86.93","88.50","92.40","85.56","383.82K","-1.22%"
"12/08/2024","88.00","88.91","93.00","84.26","537.38K","-1.01%"
"12/01/2024","88.90","69.11","95.07","67.51","2.56M","28.64%"
"11/24/2024","69.11","68.50","70.50","66.15","475.08K","1.45%"
"11/17/2024","68.12","64.20","70.97","64.00","1.76M","6.45%"
"11/10/2024","63.99","63.48","64.17","62.00","453.61K","1.28%"
"11/03/2024","63.18","62.49","65.77","62.00","1.00M","1.85%"
"10/27/2024","62.03","62.70","63.49","60.85","363.34K","0.00%"
"10/20/2024","62.03","62.30","63.90","57.00","458.82K","-0.61%"
"10/13/2024","62.41","63.20","67.88","60.04","663.74K","-1.19%"
"10/06/2024","63.16","64.54","65.00","61.50","528.32K","-2.67%"
"09/29/2024","64.89","68.27","68.98","64.50","665.32K","-4.95%"
"09/22/2024","68.27","66.01","70.47","66.00","915.47K","3.85%"
"09/15/2024","65.74","66.65","69.00","65.00","738.21K","-1.20%"
"09/08/2024","66.54","71.49","73.40","66.50","1.06M","-6.56%"
"09/01/2024","71.21","71.61","92.40","71.00","3.92M","-0.21%"
"08/25/2024","71.36","65.02","75.97","64.32","1.96M","9.77%"
"08/18/2024","65.01","66.00","67.40","63.00","528.18K","2.38%"
