"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","2.680","2.570","2.750","2.450","14.55M","4.28%"
"03/22/2026","2.570","2.450","2.690","2.430","23.11M","6.20%"
"03/15/2026","2.420","2.440","2.470","2.330","5.06M","-0.41%"
"03/08/2026","2.430","2.350","2.530","2.300","13.74M","3.85%"
"03/01/2026","2.340","2.260","2.390","2.230","9.35M","-4.49%"
"02/22/2026","2.450","2.660","2.680","2.360","12.93M","-7.89%"
"02/15/2026","2.660","2.680","2.800","2.610","13.41M","-0.75%"
"02/08/2026","2.680","2.720","2.850","2.650","22.83M","-1.47%"
"02/01/2026","2.720","2.680","2.790","2.600","21.39M","2.64%"
"01/25/2026","2.650","2.950","2.970","2.580","21.67M","-10.17%"
"01/18/2026","2.950","2.880","3.080","2.830","41.24M","3.51%"
"01/11/2026","2.850","3.140","3.230","2.820","55.10M","-8.65%"
"01/04/2026","3.120","2.950","3.250","2.910","78.59M","6.12%"
"12/28/2025","2.940","2.510","2.990","2.500","82.11M","17.13%"
"12/21/2025","2.510","2.350","2.640","2.350","34.48M","7.26%"
"12/14/2025","2.340","2.360","2.440","2.310","15.84M","-0.43%"
"12/07/2025","2.350","2.250","2.490","2.230","20.57M","5.86%"
"11/30/2025","2.220","2.300","2.330","2.210","6.68M","-3.06%"
"11/23/2025","2.290","2.420","2.420","2.260","5.22M","-4.58%"
"11/16/2025","2.400","2.480","2.520","2.360","8.50M","-2.04%"
"11/09/2025","2.450","2.590","2.600","2.430","14.39M","-4.67%"
"11/02/2025","2.570","2.400","2.740","2.400","43.30M","7.53%"
"10/26/2025","2.390","2.400","2.530","2.380","13.60M","0.42%"
"10/19/2025","2.380","2.420","2.480","2.380","13.26M","-0.83%"
"10/12/2025","2.400","2.290","2.500","2.220","27.93M","5.73%"
"10/05/2025","2.270","2.250","2.360","2.250","8.03M","0.44%"
"09/28/2025","2.260","2.210","2.360","2.200","8.93M","3.20%"
"09/21/2025","2.190","2.250","2.250","2.090","5.12M","-0.90%"
"09/14/2025","2.210","2.310","2.360","2.130","10.42M","-4.33%"
"09/07/2025","2.310","2.270","2.370","2.230","8.34M","1.76%"
"08/31/2025","2.270","2.460","2.490","2.260","15.60M","-6.58%"
"08/24/2025","2.430","2.490","2.540","2.420","10.34M","-1.22%"
"08/17/2025","2.460","2.680","2.700","2.450","24.87M","-7.17%"
"08/10/2025","2.650","2.490","2.710","2.440","34.46M","6.85%"
