"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","40.67","41.88","42.00","39.63","470.33K","-2.87%"
"03/22/2026","41.87","40.75","43.30","40.25","650.78K","2.90%"
"03/15/2026","40.69","41.00","41.25","39.88","187.10K","-0.61%"
"03/08/2026","40.94","40.07","41.96","40.07","840.10K","2.30%"
"03/01/2026","40.02","38.00","40.78","37.00","820.44K","0.02%"
"02/22/2026","40.01","43.21","43.80","39.71","1.11M","-7.32%"
"02/15/2026","43.17","45.00","45.70","42.90","1.05M","-3.98%"
"02/08/2026","44.96","44.32","46.50","44.05","3.50M","3.00%"
"02/01/2026","43.65","42.72","44.69","42.36","2.84M","3.12%"
"01/25/2026","42.33","43.41","44.46","40.51","1.07M","-2.49%"
"01/18/2026","43.41","40.00","44.35","40.00","2.55M","8.91%"
"01/11/2026","39.86","44.65","44.84","39.76","897.85K","-10.73%"
"01/04/2026","44.65","45.31","47.50","42.00","1.90M","2.90%"
"12/28/2025","43.39","43.50","43.50","42.31","581.36K","0.51%"
"12/21/2025","43.17","42.13","44.00","41.80","1.19M","2.49%"
"12/14/2025","42.12","43.70","43.92","42.08","1.04M","-3.39%"
"12/07/2025","43.60","46.18","46.18","43.40","1.29M","-4.22%"
"11/30/2025","45.52","46.74","47.79","45.05","1.50M","-1.30%"
"11/23/2025","46.12","48.40","49.30","46.12","2.43M","-3.92%"
"11/16/2025","48.00","45.72","48.35","45.10","1.86M","4.99%"
"11/09/2025","45.72","46.95","47.55","45.06","1.37M","-2.50%"
"11/02/2025","46.89","48.40","49.30","45.50","1.85M","-2.72%"
"10/26/2025","48.20","50.50","53.85","48.01","2.76M","-4.48%"
"10/19/2025","50.46","46.05","50.51","46.05","3.53M","9.58%"
"10/12/2025","46.05","44.00","47.40","43.50","2.97M","4.37%"
"10/05/2025","44.12","43.66","45.45","42.86","2.25M","2.72%"
"09/28/2025","42.95","41.00","44.39","40.92","4.15M","6.79%"
"09/21/2025","40.22","40.03","41.95","38.23","1.38M","0.70%"
"09/14/2025","39.94","41.00","42.79","39.29","2.39M","-2.32%"
"09/07/2025","40.89","38.47","42.89","37.83","5.18M","8.09%"
"08/31/2025","37.83","36.65","39.00","36.27","1.45M","3.70%"
"08/24/2025","36.48","36.58","37.37","35.57","790.16K","-0.22%"
"08/17/2025","36.56","38.00","39.22","36.56","2.90M","-2.66%"
"08/10/2025","37.56","34.52","39.00","34.52","3.30M","8.84%"
"08/03/2025","34.51","34.81","35.79","34.35","524.87K","-0.86%"
"07/27/2025","34.81","34.51","36.24","33.00","979.46K","0.32%"
"07/20/2025","34.70","35.61","36.00","34.26","430.60K","-2.45%"
"07/13/2025","35.57","35.37","36.87","34.60","1.11M","1.92%"
"07/06/2025","34.90","34.29","35.80","34.29","649.79K","1.78%"
"06/29/2025","34.29","34.43","35.30","33.81","437.40K","-0.49%"
"06/22/2025","34.46","30.20","34.80","29.41","612.71K","13.32%"
"06/15/2025","30.41","33.00","33.70","28.15","503.62K","-10.72%"
"06/08/2025","34.06","35.35","35.80","33.80","371.09K","-3.51%"
"06/01/2025","35.30","34.30","35.97","33.76","864.85K","2.41%"
"05/25/2025","34.47","33.71","35.35","33.60","952.77K","2.28%"
"05/18/2025","33.70","33.70","34.51","33.55","421.10K","-0.06%"
"05/11/2025","33.72","33.90","34.55","33.35","743.80K","-0.47%"
"05/04/2025","33.88","34.58","35.55","33.80","908.95K","-2.00%"
"04/27/2025","34.57","34.90","36.30","34.00","1.01M","-7.54%"
"04/20/2025","37.39","35.58","38.00","35.58","899.31K","5.29%"
"04/13/2025","35.51","34.50","36.69","34.02","918.63K","3.20%"
"04/06/2025","34.41","35.50","35.61","32.70","750.88K","-6.06%"
"03/30/2025","36.63","37.00","37.40","36.60","59.50K","-0.65%"
"03/23/2025","36.87","37.75","38.35","36.30","647.88K","-1.44%"
"03/16/2025","37.41","37.53","38.50","36.00","1.48M","-0.29%"
"03/09/2025","37.52","33.32","39.65","33.00","4.55M","12.61%"
"03/02/2025","33.32","33.65","34.00","32.70","207.24K","-0.98%"
"02/23/2025","33.65","33.60","34.50","33.30","332.96K","0.21%"
"02/16/2025","33.58","33.01","34.30","32.71","437.90K","3.26%"
"02/09/2025","32.52","34.79","34.85","32.00","281.20K","-6.20%"
"02/02/2025","34.67","35.00","35.50","34.21","337.82K","-0.86%"
"01/26/2025","34.97","35.72","36.36","34.19","534.99K","-2.04%"
"01/19/2025","35.70","34.36","37.44","34.34","1.69M","3.96%"
"01/12/2025","34.34","34.70","34.90","33.20","423.52K","-1.15%"
"01/05/2025","34.74","34.44","35.71","34.40","333.84K","0.87%"
"12/29/2024","34.44","34.81","35.13","33.50","287.09K","-1.09%"
"12/22/2024","34.82","35.75","36.38","34.70","250.17K","-2.52%"
"12/15/2024","35.72","36.98","37.70","35.03","911.58K","-3.12%"
"12/08/2024","36.87","38.00","38.33","36.74","440.21K","-2.74%"
"12/01/2024","37.91","38.46","39.00","37.80","463.77K","-1.15%"
"11/24/2024","38.35","37.80","39.50","37.40","794.69K","1.62%"
"11/17/2024","37.74","38.41","38.67","37.21","426.76K","-1.72%"
"11/10/2024","38.40","39.00","39.77","38.40","670.18K","-0.85%"
"11/03/2024","38.73","39.30","39.90","38.70","599.12K","-1.25%"
"10/27/2024","39.22","38.67","39.88","38.42","724.34K","1.29%"
"10/20/2024","38.72","37.73","40.46","36.38","1.21M","3.39%"
"10/13/2024","37.45","39.00","39.35","37.00","846.13K","-3.13%"
"10/06/2024","38.66","41.45","41.45","38.50","914.39K","-5.71%"
"09/29/2024","41.00","41.10","42.79","40.27","2.11M","-0.27%"
"09/22/2024","41.11","40.56","41.88","40.35","748.15K","1.96%"
"09/15/2024","40.32","39.90","41.35","39.52","630.48K","2.26%"
"09/08/2024","39.43","41.30","42.25","38.50","970.88K","-4.53%"
"09/01/2024","41.30","43.40","44.00","40.36","2.75M","-4.73%"
"08/25/2024","43.35","42.68","45.49","41.80","4.37M","3.14%"
"08/18/2024","42.03","40.00","45.00","39.80","6.31M","5.60%"
"08/11/2024","39.80","38.20","41.88","37.42","2.38M","4.74%"
"08/04/2024","38.00","40.06","40.38","32.80","1.63M","-6.70%"
"07/28/2024","40.73","40.00","41.93","39.60","1.75M","2.03%"
"07/21/2024","39.92","40.50","41.80","39.90","1.14M","-1.24%"
"07/14/2024","40.42","40.70","41.30","39.82","986.21K","0.02%"
"07/07/2024","40.41","38.80","42.40","38.69","3.57M","5.32%"
"06/30/2024","38.37","38.61","39.55","38.20","696.56K","-0.39%"
"06/23/2024","38.52","37.14","39.90","36.93","1.59M","4.05%"
"06/09/2024","37.02","38.00","38.68","36.50","869.46K","-2.01%"
"06/02/2024","37.78","39.50","40.44","36.66","725.66K","-3.77%"
"05/26/2024","39.26","40.07","42.00","39.12","1.04M","-2.00%"
"05/19/2024","40.06","39.10","43.79","39.10","2.14M","3.35%"
"05/12/2024","38.76","40.25","40.77","35.04","1.87M","-3.89%"
"05/05/2024","40.33","38.99","41.69","38.12","3.74M","13.13%"
"04/28/2024","35.65","39.70","40.49","33.33","2.57M","-10.00%"
"04/21/2024","39.61","43.93","45.88","38.10","1.83M","-9.83%"
"04/14/2024","43.93","42.22","48.48","42.00","4.20M","4.05%"
"04/07/2024","42.22","42.26","43.64","41.79","678.47K","-0.09%"
"03/31/2024","42.26","41.65","43.43","38.90","1.47M","1.46%"
"03/24/2024","41.65","42.70","45.50","40.50","2.43M","-2.46%"
"03/17/2024","42.70","47.51","48.70","38.15","2.65M","-10.12%"
"03/10/2024","47.51","46.00","51.50","45.35","3.53M","3.28%"
"03/03/2024","46.00","43.80","55.45","43.06","4.00M","5.02%"
"02/25/2024","43.80","54.25","52.40","41.26","4.65M","-19.26%"
"02/18/2024","54.25","53.20","57.43","52.51","9.62M","1.97%"
"02/11/2024","53.20","50.10","55.30","48.06","6.91M","6.19%"
"02/04/2024","50.10","48.59","56.20","45.60","8.23M","3.11%"
"01/28/2024","48.59","53.55","54.73","40.02","3.90M","-8.49%"
"01/21/2024","53.10","52.60","56.60","52.60","6.10M","0.99%"
"01/14/2024","52.58","56.35","58.00","52.50","8.06M","-6.12%"
"01/07/2024","56.01","53.51","57.40","53.51","7.69M","5.46%"
"12/31/2023","53.11","55.80","56.89","53.00","7.05M","-3.96%"
"12/24/2023","55.30","53.58","58.70","48.03","19.93M","7.76%"
"12/17/2023","51.32","47.90","51.40","43.62","15.19M","9.19%"
"12/10/2023","47.00","59.00","59.96","38.00","20.96M","-17.90%"
