"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","83.79","89.52","89.84","79.50","16.93M","-5.85%"
"03/22/2026","89.00","87.40","95.00","87.00","8.67M","2.30%"
"03/15/2026","87.00","89.00","90.35","82.50","7.86M","-1.20%"
"03/08/2026","88.06","83.10","91.80","78.50","16.28M","13.00%"
"03/01/2026","77.93","66.00","85.84","63.70","16.86M","11.81%"
"02/22/2026","69.70","67.01","71.89","65.00","9.59M","3.03%"
"02/15/2026","67.65","69.72","72.50","66.53","9.28M","-2.97%"
"02/08/2026","69.72","65.76","71.00","62.01","8.06M","6.18%"
"02/01/2026","65.66","64.15","68.00","62.72","11.27M","2.34%"
"01/25/2026","64.16","58.94","65.70","58.12","16.52M","8.86%"
"01/18/2026","58.94","50.98","59.38","50.03","22.42M","17.83%"
"01/11/2026","50.02","52.23","53.65","49.01","8.67M","-4.23%"
"01/04/2026","52.23","51.00","52.55","48.90","5.19M","2.41%"
"12/28/2025","51.00","52.00","52.17","50.70","2.06M","-1.75%"
"12/21/2025","51.91","48.79","52.60","48.75","11.21M","6.77%"
"12/14/2025","48.62","48.46","49.65","46.52","7.36M","0.75%"
"12/07/2025","48.26","45.68","48.47","45.65","4.72M","5.74%"
"11/30/2025","45.64","46.18","46.30","45.18","4.09M","-0.78%"
"11/23/2025","46.00","46.51","46.98","45.50","3.50M","-1.08%"
"11/16/2025","46.50","46.31","47.00","46.00","4.79M","0.65%"
"11/09/2025","46.20","46.97","47.28","46.05","6.98M","-1.13%"
"11/02/2025","46.73","48.84","48.92","46.00","6.54M","-3.85%"
"10/26/2025","48.60","49.45","49.50","47.98","4.77M","-1.20%"
"10/19/2025","49.19","53.79","54.05","48.12","7.27M","-7.85%"
"10/12/2025","53.38","53.41","54.19","52.25","5.06M","-0.22%"
"10/05/2025","53.50","53.51","54.29","53.50","2.39M","0.13%"
"09/28/2025","53.43","53.00","53.67","52.40","4.31M","2.93%"
"09/21/2025","51.91","52.31","52.70","50.20","5.39M","-0.75%"
"09/14/2025","52.30","53.50","54.80","51.92","4.85M","-2.24%"
"09/07/2025","53.50","52.85","54.00","51.90","3.61M","1.29%"
"08/31/2025","52.82","52.61","54.00","52.10","3.54M","0.44%"
"08/24/2025","52.59","52.31","52.63","51.70","1.88M","0.63%"
"08/17/2025","52.26","52.49","53.20","51.56","2.44M","-0.44%"
"08/10/2025","52.49","53.30","54.49","50.50","4.34M","-1.15%"
"08/03/2025","53.10","49.50","53.37","48.75","5.96M","6.84%"
"07/27/2025","49.70","50.63","52.25","49.50","4.23M","-1.68%"
"07/20/2025","50.55","52.02","53.25","50.15","4.19M","-2.41%"
"07/13/2025","51.80","50.50","52.83","49.51","8.98M","3.08%"
"07/06/2025","50.25","48.86","50.40","48.31","4.03M","3.40%"
"06/29/2025","48.60","49.52","50.93","48.22","3.23M","-0.59%"
"06/22/2025","48.89","45.50","48.99","45.05","3.85M","6.35%"
"06/15/2025","45.97","47.51","47.90","45.01","5.12M","-7.88%"
"06/08/2025","49.90","50.00","51.50","49.68","4.23M","0.02%"
"06/01/2025","49.89","48.44","49.89","48.19","2.20M","3.25%"
"05/25/2025","48.32","49.30","49.89","48.00","5.04M","-1.39%"
"05/18/2025","49.00","52.98","53.10","48.26","4.54M","-7.20%"
"05/11/2025","52.80","53.60","54.55","52.12","2.50M","-1.12%"
"05/04/2025","53.40","53.97","56.17","53.26","4.28M","-1.06%"
"04/27/2025","53.97","52.80","54.21","52.50","2.52M","2.60%"
"04/20/2025","52.60","52.31","52.62","51.64","1.23M","0.94%"
"04/13/2025","52.11","52.89","53.10","52.05","1.48M","0.13%"
"04/06/2025","52.04","54.98","55.40","51.21","3.94M","-7.32%"
"03/30/2025","56.15","56.85","56.85","56.00","242.68K","-1.25%"
"03/23/2025","56.86","57.10","57.89","54.80","1.64M","-0.39%"
"03/16/2025","57.08","58.99","59.58","56.03","1.73M","-2.81%"
"03/09/2025","58.73","61.50","61.73","58.70","2.02M","-4.50%"
"03/02/2025","61.50","58.75","61.90","58.00","4.48M","4.59%"
"02/23/2025","58.80","59.05","59.28","57.10","2.05M","-0.34%"
"02/16/2025","59.00","56.81","59.43","56.81","4.84M","3.96%"
"02/09/2025","56.75","55.26","57.95","55.00","6.03M","2.83%"
"02/02/2025","55.19","55.88","57.00","54.06","3.71M","-1.25%"
"01/26/2025","55.89","54.51","56.10","53.26","3.45M","2.53%"
"01/19/2025","54.51","56.09","56.94","53.50","4.85M","-2.80%"
"01/12/2025","56.08","48.20","56.10","47.55","9.61M","16.54%"
"01/05/2025","48.12","49.96","49.99","48.01","1.20M","-3.68%"
"12/29/2024","49.96","49.11","49.98","47.81","1.59M","1.75%"
"12/22/2024","49.10","50.51","50.70","48.80","2.18M","-2.79%"
"12/15/2024","50.51","52.38","52.45","48.51","5.53M","-3.05%"
"12/08/2024","52.10","53.51","54.00","51.85","2.62M","-2.53%"
"12/01/2024","53.45","52.90","54.90","52.80","2.54M","1.25%"
"11/24/2024","52.79","53.27","53.60","51.54","2.62M","-0.86%"
"11/17/2024","53.25","54.90","54.97","52.94","2.63M","-2.85%"
"11/10/2024","54.81","56.30","56.39","54.65","5.60M","-2.25%"
"11/03/2024","56.07","57.01","57.40","55.81","2.67M","-1.63%"
"10/27/2024","57.00","57.00","57.46","55.00","3.43M","0.14%"
"10/20/2024","56.92","65.74","65.75","56.01","8.16M","-12.55%"
"10/13/2024","65.09","63.48","65.49","62.90","9.68M","3.33%"
"10/06/2024","62.99","62.16","63.30","60.11","5.38M","1.60%"
"09/29/2024","62.00","64.00","64.48","61.45","8.67M","0.73%"
"09/22/2024","61.55","61.50","62.03","59.60","7.33M","0.16%"
"09/15/2024","61.45","59.00","61.45","57.63","18.28M","4.15%"
"09/08/2024","59.00","63.60","64.20","58.70","10.40M","-7.23%"
"09/01/2024","63.60","58.48","66.49","58.41","17.76M","9.66%"
"08/25/2024","58.00","57.20","58.89","57.00","5.91M","1.74%"
"08/18/2024","57.01","58.90","59.17","56.67","7.60M","-2.71%"
"08/11/2024","58.60","56.01","59.24","55.00","21.93M","5.40%"
"08/04/2024","55.60","59.41","59.49","54.04","9.19M","-8.11%"
"07/28/2024","60.51","58.47","62.96","58.20","7.77M","4.15%"
"07/21/2024","58.10","56.94","60.50","56.71","6.31M","2.45%"
"07/14/2024","56.71","54.65","57.50","53.30","7.79M","5.02%"
"07/07/2024","54.00","60.10","61.00","53.82","9.75M","-10.03%"
"06/30/2024","60.02","58.80","61.25","58.11","7.05M","2.42%"
"06/23/2024","58.60","57.22","59.69","54.33","9.39M","2.81%"
"06/09/2024","57.00","58.00","58.11","52.61","11.98M","-1.25%"
"06/02/2024","57.72","62.50","63.50","56.12","9.46M","-6.90%"
"05/26/2024","62.00","65.49","67.00","62.00","3.50M","-4.62%"
"05/19/2024","65.00","65.00","69.91","65.00","6.68M","0.08%"
"05/12/2024","64.95","66.70","67.20","60.11","2.77M","-2.37%"
"05/05/2024","66.53","66.99","68.00","64.00","1.81M","-0.70%"
"04/28/2024","67.00","63.20","67.00","60.20","4.57M","6.35%"
"04/21/2024","63.00","69.00","71.50","59.88","4.32M","-8.70%"
"04/14/2024","69.00","71.50","75.98","66.91","9.69M","-3.50%"
"04/07/2024","71.50","65.40","71.75","65.95","2.96M","9.33%"
"03/31/2024","65.40","63.09","67.30","60.40","3.85M","3.66%"
"03/24/2024","63.09","67.10","69.50","62.31","3.73M","-5.98%"
"03/17/2024","67.10","63.20","68.00","59.00","5.41M","6.17%"
"03/10/2024","63.20","69.00","74.75","59.02","9.35M","-8.41%"
"03/03/2024","69.00","67.00","80.99","62.88","10.51M","2.99%"
"02/25/2024","67.00","90.82","85.00","66.00","16.70M","-26.23%"
"02/18/2024","90.82","90.80","91.83","88.00","2.56M","0.02%"
"02/11/2024","90.80","89.00","92.00","88.00","2.26M","2.02%"
"02/04/2024","89.00","98.95","99.01","84.51","6.32M","-10.06%"
