"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","20.08","19.78","21.00","19.01","4.53M","1.47%"
"03/22/2026","19.79","19.00","19.89","18.81","1.77M","5.04%"
"03/15/2026","18.84","18.45","19.40","18.00","1.53M","2.84%"
"03/08/2026","18.32","18.30","18.50","17.45","2.20M","0.22%"
"03/01/2026","18.28","18.02","18.88","17.70","1.88M","-3.59%"
"02/22/2026","18.96","18.50","19.65","17.80","4.11M","2.71%"
"02/15/2026","18.46","17.88","18.78","17.80","4.46M","4.00%"
"02/08/2026","17.75","18.02","18.30","17.30","3.56M","-0.95%"
"02/01/2026","17.92","17.50","18.10","17.11","4.21M","2.93%"
"01/25/2026","17.41","16.61","17.70","16.26","6.02M","4.82%"
"01/18/2026","16.61","15.39","16.86","15.30","6.50M","9.06%"
"01/11/2026","15.23","15.23","16.25","15.10","5.28M","0.13%"
"01/04/2026","15.21","15.44","15.44","15.10","707.69K","-1.17%"
"12/28/2025","15.39","15.40","15.51","15.16","726.50K","-0.71%"
"12/21/2025","15.50","15.30","15.55","15.00","1.22M","1.97%"
"12/14/2025","15.20","15.40","15.89","15.19","1.86M","-1.30%"
"12/07/2025","15.40","15.65","15.85","15.25","1.53M","-1.53%"
"11/30/2025","15.64","15.00","15.98","14.92","3.02M","4.27%"
"11/23/2025","15.00","15.33","15.80","14.92","1.91M","-2.09%"
"11/16/2025","15.32","16.01","16.20","15.21","2.93M","-4.01%"
"11/09/2025","15.96","14.31","16.73","14.17","19.27M","11.53%"
"11/02/2025","14.31","14.12","14.58","13.70","8.09M","1.49%"
"10/26/2025","14.10","14.00","14.99","13.76","4.55M","1.44%"
"10/19/2025","13.90","13.30","14.10","13.30","2.29M","4.67%"
"10/12/2025","13.28","13.00","13.32","12.85","1.94M","2.39%"
"10/05/2025","12.97","12.58","13.39","12.58","2.42M","4.68%"
"09/28/2025","12.39","12.29","12.50","12.15","872.18K","0.90%"
"09/21/2025","12.28","12.63","12.70","12.20","700.91K","-2.77%"
"09/14/2025","12.63","13.00","13.00","12.56","373.59K","-1.94%"
"09/07/2025","12.88","12.77","13.00","12.60","1.18M","0.78%"
"08/31/2025","12.78","12.75","13.25","12.60","709.74K","0.24%"
"08/24/2025","12.75","13.10","13.20","12.55","509.38K","-2.60%"
"08/17/2025","13.09","13.08","13.30","12.93","1.29M","0.31%"
"08/10/2025","13.05","12.79","13.13","12.72","1.22M","2.03%"
"08/03/2025","12.79","12.58","12.80","12.40","1.58M","2.40%"
"07/27/2025","12.49","12.50","12.79","12.26","1.66M","-0.08%"
"07/20/2025","12.50","12.00","12.80","12.00","4.08M","4.17%"
"07/13/2025","12.00","11.60","12.09","11.51","2.77M","4.35%"
"07/06/2025","11.50","11.49","11.65","11.49","483.44K","0.17%"
"06/29/2025","11.48","11.61","11.69","11.38","736.06K","-1.03%"
"06/22/2025","11.60","10.85","11.70","10.76","789.75K","6.42%"
"06/15/2025","10.90","11.08","11.16","10.75","849.66K","-4.39%"
"06/08/2025","11.40","11.42","11.69","11.35","1.11M","0.62%"
"06/01/2025","11.33","11.20","11.41","11.06","1.64M","1.61%"
"05/25/2025","11.15","11.51","11.51","11.06","2.75M","-1.50%"
"05/18/2025","11.32","11.70","11.75","11.30","3.12M","-3.25%"
"05/11/2025","11.70","11.71","12.02","11.61","2.33M","0.09%"
"05/04/2025","11.69","11.69","12.00","11.47","2.91M","0.00%"
"04/27/2025","11.69","11.02","11.92","10.98","10.20M","6.18%"
"04/20/2025","11.01","10.99","11.15","10.90","224.78K","0.55%"
"04/13/2025","10.95","11.92","12.18","10.90","3.81M","-8.75%"
"04/06/2025","12.00","11.81","12.00","11.68","1.21M","-0.91%"
"03/30/2025","12.11","12.10","12.20","12.00","136.99K","0.00%"
"03/23/2025","12.11","11.99","12.19","11.85","764.00K","2.02%"
"03/16/2025","11.87","11.94","12.11","11.70","1.12M","-0.17%"
"03/09/2025","11.89","11.93","11.95","11.73","755.69K","0.00%"
"03/02/2025","11.89","12.00","12.00","11.86","662.34K","-0.34%"
"02/23/2025","11.93","12.04","12.16","11.90","1.09M","-0.58%"
"02/16/2025","12.00","12.00","12.26","12.00","4.46M","-0.08%"
"02/09/2025","12.01","12.06","12.40","11.72","708.19K","0.00%"
"02/02/2025","12.01","12.04","12.06","11.85","474.63K","0.25%"
"01/26/2025","11.98","12.30","12.34","11.88","1.10M","-1.48%"
"01/19/2025","12.16","12.32","12.47","12.00","684.64K","0.00%"
"01/12/2025","12.16","12.46","12.49","11.65","837.17K","-2.41%"
"01/05/2025","12.46","13.05","13.18","12.40","744.77K","-4.30%"
"12/29/2024","13.02","12.69","13.07","12.45","573.67K","2.52%"
"12/22/2024","12.70","13.25","13.25","12.70","701.83K","-2.23%"
"12/15/2024","12.99","13.50","13.67","12.60","9.91M","-3.13%"
"12/08/2024","13.41","14.00","14.45","13.37","4.10M","-3.73%"
