"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","25.13","26.00","26.02","24.90","323.12K","-3.38%"
"03/22/2026","26.01","26.00","26.85","26.00","463.12K","0.23%"
"03/15/2026","25.95","26.05","26.37","25.15","241.73K","-0.27%"
"03/08/2026","26.02","26.15","27.24","25.50","489.10K","-0.38%"
"03/01/2026","26.12","23.51","26.70","23.51","490.21K","0.11%"
"02/22/2026","26.09","28.50","28.80","26.09","1.01M","-7.55%"
"02/15/2026","28.22","29.11","29.96","28.19","1.11M","-3.39%"
"02/08/2026","29.21","29.50","30.30","28.60","2.73M","-0.68%"
"02/01/2026","29.41","28.49","29.93","27.41","662.75K","3.78%"
"01/25/2026","28.34","28.75","29.43","27.27","382.06K","-1.43%"
"01/18/2026","28.75","28.10","29.25","28.00","500.85K","3.27%"
"01/11/2026","27.84","29.89","30.42","27.52","807.74K","-7.20%"
"01/04/2026","30.00","31.21","31.50","29.50","820.17K","-4.73%"
"12/28/2025","31.49","31.04","31.76","30.50","1.40M","1.81%"
"12/21/2025","30.93","31.61","31.90","30.80","1.29M","-1.93%"
"12/14/2025","31.54","32.00","32.60","31.50","1.03M","-0.91%"
"12/07/2025","31.83","31.53","32.91","31.00","1.39M","0.95%"
"11/30/2025","31.53","32.80","32.98","31.30","1.91M","-3.43%"
"11/23/2025","32.65","33.14","33.45","32.00","1.44M","-1.48%"
"11/16/2025","33.14","34.29","34.80","32.60","2.47M","-3.47%"
"11/09/2025","34.33","32.40","35.40","32.10","5.02M","5.96%"
"11/02/2025","32.40","32.59","33.42","31.52","2.13M","0.53%"
"10/26/2025","32.23","31.60","33.80","31.11","3.43M","2.25%"
"10/19/2025","31.52","33.00","33.40","30.20","1.40M","-4.02%"
"10/12/2025","32.84","30.52","34.16","30.42","4.40M","7.60%"
"10/05/2025","30.52","30.00","31.86","29.85","1.48M","2.31%"
"09/28/2025","29.83","28.42","30.61","28.42","1.41M","5.00%"
"09/21/2025","28.41","29.48","29.48","28.00","817.85K","-2.00%"
"09/14/2025","28.99","31.85","31.96","28.94","1.46M","-8.26%"
"09/07/2025","31.60","31.85","32.35","31.23","1.17M","-0.63%"
"08/31/2025","31.80","32.51","32.95","31.10","1.49M","-1.15%"
"08/24/2025","32.17","30.32","32.90","30.32","3.50M","6.31%"
"08/17/2025","30.26","31.31","31.70","30.22","1.58M","-3.32%"
"08/10/2025","31.30","31.83","32.10","30.91","2.03M","-1.60%"
"08/03/2025","31.81","30.80","32.70","30.61","1.96M","2.65%"
"07/27/2025","30.99","32.40","33.50","30.81","2.04M","-5.23%"
"07/20/2025","32.70","34.29","34.45","32.31","2.10M","-3.23%"
"07/13/2025","33.79","32.00","37.00","30.60","4.99M","6.93%"
"07/06/2025","31.60","33.38","35.68","31.00","6.16M","-3.66%"
"06/29/2025","32.80","27.27","33.90","26.41","6.21M","20.46%"
"06/22/2025","27.23","24.03","27.48","23.06","1.31M","11.37%"
"06/15/2025","24.45","26.89","26.89","24.01","1.02M","-12.27%"
"06/08/2025","27.87","30.00","31.30","27.73","2.14M","-7.10%"
"06/01/2025","30.00","24.20","31.29","24.00","11.53M","25.00%"
"05/25/2025","24.00","22.66","24.37","22.55","2.66M","6.19%"
"05/18/2025","22.60","22.70","22.82","22.25","517.53K","0.71%"
"05/11/2025","22.44","23.30","23.78","22.24","755.30K","-4.55%"
"05/04/2025","23.51","23.56","24.58","23.16","1.92M","0.04%"
"04/27/2025","23.50","23.85","24.16","23.25","793.78K","-1.47%"
"04/20/2025","23.85","23.45","23.96","23.40","531.14K","2.01%"
"04/13/2025","23.38","22.25","23.70","22.22","2.08M","5.36%"
"04/06/2025","22.19","23.90","23.90","21.67","2.34M","-8.57%"
"03/30/2025","24.27","24.49","24.50","24.12","48.99K","-0.94%"
"03/23/2025","24.50","24.97","25.30","24.20","655.40K","-1.72%"
"03/16/2025","24.93","24.32","26.25","24.06","2.59M","2.93%"
"03/09/2025","24.22","24.20","24.62","23.88","719.46K","0.33%"
"03/02/2025","24.14","25.09","25.40","24.00","1.20M","-4.28%"
"02/23/2025","25.22","25.93","26.00","25.00","1.42M","-2.74%"
"02/16/2025","25.93","26.20","26.47","25.25","1.50M","-0.27%"
"02/09/2025","26.00","26.34","28.45","25.82","5.41M","-1.29%"
"02/02/2025","26.34","26.60","27.00","24.91","2.36M","-0.72%"
"01/26/2025","26.53","25.40","28.27","24.86","8.21M","5.87%"
"01/19/2025","25.06","23.49","25.93","23.45","3.33M","7.23%"
"01/12/2025","23.37","23.55","24.09","22.12","1.37M","-1.02%"
"01/05/2025","23.61","23.10","23.79","23.07","498.65K","2.61%"
"12/29/2024","23.01","23.07","23.28","22.01","442.50K","-0.69%"
"12/22/2024","23.17","24.67","25.28","22.90","1.43M","-5.43%"
"12/15/2024","24.50","24.65","24.89","23.15","1.11M","-0.45%"
"12/08/2024","24.61","26.09","26.43","24.57","2.68M","-4.98%"
"12/01/2024","25.90","25.03","26.26","25.03","3.07M","4.27%"
"11/24/2024","24.84","25.35","25.88","24.15","3.82M","-1.93%"
"11/17/2024","25.33","27.17","27.17","25.07","2.94M","-6.19%"
"11/10/2024","27.00","26.85","27.80","26.21","3.91M","0.75%"
"11/03/2024","26.80","27.95","28.00","26.50","1.91M","-2.93%"
"10/27/2024","27.61","26.35","28.30","26.22","4.54M","6.07%"
"10/20/2024","26.03","25.00","27.85","24.10","12.18M","10.77%"
"10/13/2024","23.50","22.13","23.74","21.25","3.31M","6.87%"
"10/06/2024","21.99","23.51","23.86","21.80","2.31M","-5.58%"
"09/29/2024","23.29","22.80","23.95","22.69","3.84M","2.55%"
"09/22/2024","22.71","22.20","23.36","22.00","2.92M","3.65%"
"09/15/2024","21.91","22.49","22.54","21.12","1.02M","-1.57%"
"09/08/2024","22.26","22.75","22.95","21.53","2.70M","-1.94%"
"09/01/2024","22.70","21.84","23.70","21.40","12.18M","4.13%"
"08/25/2024","21.80","22.22","22.29","21.21","2.11M","0.18%"
"08/18/2024","21.76","21.70","22.99","19.00","7.24M","1.02%"
"08/11/2024","21.54","21.25","22.10","21.03","5.15M","3.01%"
"08/04/2024","20.91","21.99","22.28","18.80","5.23M","-8.69%"
"07/28/2024","22.90","22.59","24.30","22.05","5.09M","2.10%"
"07/21/2024","22.43","22.30","23.80","22.13","4.43M","0.72%"
"07/14/2024","22.27","21.37","25.03","20.65","8.41M","5.60%"
"07/07/2024","21.09","20.00","21.95","19.82","4.41M","6.35%"
"06/30/2024","19.83","19.90","21.39","19.70","2.56M","-0.35%"
"06/23/2024","19.90","19.23","20.60","19.23","2.57M","3.00%"
"06/09/2024","19.32","18.94","19.88","18.31","2.36M","2.22%"
"06/02/2024","18.90","20.89","20.89","18.59","1.61M","-7.53%"
"05/26/2024","20.44","20.01","22.50","19.93","2.22M","2.56%"
"05/19/2024","19.93","19.30","22.36","19.21","1.32M","3.96%"
"05/12/2024","19.17","19.81","20.27","18.16","704.33K","-3.08%"
"05/05/2024","19.78","20.12","20.50","19.10","340.36K","-1.84%"
"04/28/2024","20.15","20.42","20.88","18.40","823.49K","-0.49%"
"04/21/2024","20.25","23.15","24.00","19.30","760.98K","-12.53%"
"04/14/2024","23.15","23.01","25.99","22.02","1.40M","0.61%"
"04/07/2024","23.01","22.12","24.00","22.76","718.49K","4.02%"
"03/31/2024","22.12","22.34","22.84","20.50","994.84K","-0.98%"
"03/24/2024","22.34","22.24","23.70","21.13","1.31M","0.45%"
"03/17/2024","22.24","24.58","25.49","18.20","4.63M","-9.52%"
"03/10/2024","24.58","26.36","28.50","24.10","784.69K","-6.75%"
"03/03/2024","26.36","28.25","31.99","25.51","1.46M","-6.69%"
"02/25/2024","28.25","34.00","34.10","27.56","2.19M","-16.91%"
"02/18/2024","34.00","25.60","38.80","25.60","4.85M","32.81%"
"02/11/2024","25.60","26.71","26.98","25.25","706.07K","-4.16%"
"02/04/2024","26.71","26.15","27.30","25.00","814.35K","2.14%"
"01/28/2024","26.15","25.41","29.47","21.00","2.26M","2.83%"
"01/21/2024","25.43","25.55","27.20","24.01","1.53M","-0.24%"
"01/14/2024","25.49","25.00","26.40","24.11","1.84M","3.58%"
"01/07/2024","24.61","23.80","25.48","23.60","1.09M","3.45%"
"12/31/2023","23.79","22.28","24.50","21.70","882.46K","7.45%"
"12/24/2023","22.14","22.10","22.88","21.32","315.13K","0.32%"
"12/17/2023","22.07","23.16","24.00","22.00","470.05K","-4.04%"
"12/10/2023","23.00","23.50","24.00","22.40","413.59K","-1.84%"
"12/03/2023","23.43","23.70","25.39","21.50","1.18M","1.17%"
"11/26/2023","23.16","25.28","25.70","22.80","1.13M","-7.88%"
"11/19/2023","25.14","25.98","26.89","24.80","1.37M","0.00%"
"11/12/2023","25.14","22.80","26.48","22.52","3.08M","17.20%"
"11/05/2023","21.45","21.12","22.74","20.25","1.25M","4.79%"
"10/29/2023","20.47","20.01","23.50","20.00","1.50M","-2.43%"
"10/22/2023","20.98","17.88","21.99","17.66","2.86M","18.60%"
"10/15/2023","17.69","17.98","18.70","17.30","956.15K","-1.01%"
"10/08/2023","17.87","17.80","18.10","16.60","216.64K","0.34%"
"10/01/2023","17.81","17.41","18.70","17.04","546.75K","1.25%"
"09/24/2023","17.59","18.21","18.60","17.51","339.48K","-2.28%"
"09/17/2023","18.00","17.00","18.10","16.77","415.21K","5.88%"
"09/10/2023","17.00","17.25","17.59","16.65","428.43K","-2.07%"
"09/03/2023","17.36","17.54","19.35","17.05","1.57M","-0.40%"
"08/27/2023","17.43","17.99","17.99","17.06","285.97K","-0.46%"
"08/20/2023","17.51","17.21","18.45","17.10","362.74K","-0.45%"
"08/13/2023","17.59","17.00","18.00","16.70","220.52K","3.47%"
"08/06/2023","17.00","17.00","17.30","16.61","26.72K","0.00%"
"07/30/2023","17.00","17.10","17.80","16.70","39.11K","-5.45%"
"07/23/2023","17.98","17.60","18.09","17.00","19.05K","0.00%"
"07/16/2023","17.98","17.97","18.00","16.61","44.87K","1.41%"
"07/09/2023","17.73","17.29","18.00","16.00","81.53K","-2.04%"
"07/02/2023","18.10","17.13","18.35","17.13","48.51K","-0.06%"
"06/25/2023","18.11","17.50","17.50","16.50","16.97K","0.00%"
"06/18/2023","18.11","17.90","18.25","17.01","43.82K","0.00%"
"06/11/2023","18.11","18.56","18.94","17.20","44.88K","-2.21%"
"06/04/2023","18.52","18.97","21.97","17.81","369.59K","-2.37%"
"05/28/2023","18.97","14.82","19.00","14.68","795.54K","31.55%"
"05/21/2023","14.42","13.50","14.70","13.50","193.82K","3.00%"
"05/14/2023","14.00","14.50","14.60","13.11","124.36K","-1.13%"
"05/07/2023","14.16","14.60","14.94","13.90","172.53K","-1.32%"
"04/30/2023","14.35","15.89","15.89","14.20","136.63K","-6.70%"
"04/23/2023","15.38","15.11","15.85","15.11","127.56K","-1.28%"
"04/16/2023","15.58","15.85","15.98","15.32","146.16K","-3.77%"
"04/09/2023","16.19","15.60","16.58","15.02","431.25K","5.13%"
"04/02/2023","15.40","15.29","15.80","14.80","287.05K","2.05%"
"03/26/2023","15.09","14.01","15.69","14.00","353.48K","9.43%"
"03/19/2023","13.79","12.80","14.65","11.65","178.93K","12.66%"
"03/12/2023","12.24","15.08","15.43","11.00","329.29K","-18.73%"
"03/05/2023","15.06","15.02","15.88","14.75","967.38K","-0.53%"
"02/26/2023","15.14","14.67","15.75","14.35","705.95K","4.56%"
"02/19/2023","14.48","14.70","14.92","14.06","173.47K","-1.16%"
"02/12/2023","14.65","14.20","14.90","13.72","363.50K","4.64%"
"02/05/2023","14.00","14.05","14.20","13.00","306.22K","-0.50%"
"01/29/2023","14.07","14.94","15.50","13.51","660.50K","-5.82%"
"01/22/2023","14.94","14.70","15.69","14.50","1.34M","3.11%"
"01/15/2023","14.49","14.10","14.69","13.23","1.06M","5.69%"
"01/08/2023","13.71","14.45","14.97","13.53","232.81K","-5.06%"
"01/01/2023","14.44","14.44","14.70","13.50","153.61K","0.84%"
"12/25/2022","14.32","13.80","14.38","13.07","200.87K","2.29%"
"12/18/2022","14.00","14.20","14.70","13.61","461.84K","0.00%"
"12/11/2022","14.00","14.51","14.79","13.65","647.12K","-2.91%"
"12/04/2022","14.42","12.61","14.60","12.50","2.47M","11.18%"
"11/27/2022","12.97","12.14","13.00","12.00","1.05M","6.14%"
"11/20/2022","12.22","12.34","12.70","11.90","1.84M","1.50%"
"11/13/2022","12.04","10.68","12.34","10.68","1.18M","13.16%"
"11/06/2022","10.64","10.81","11.11","10.60","172.00K","-3.36%"
"10/30/2022","11.01","12.00","12.10","10.80","327.15K","-8.25%"
"10/23/2022","12.00","11.40","12.00","10.64","421.67K","6.48%"
"10/16/2022","11.27","10.25","11.90","10.00","829.44K","12.48%"
"10/09/2022","10.02","10.55","10.78","9.01","200.73K","-5.02%"
"10/02/2022","10.55","10.50","10.95","10.10","382.34K","-0.47%"
"09/25/2022","10.60","10.50","11.12","10.26","1.14M","2.02%"
"09/18/2022","10.39","10.63","10.98","9.47","1.22M","-2.90%"
"09/11/2022","10.70","12.00","12.00","10.60","1.49M","-9.55%"
"09/04/2022","11.83","8.95","12.46","8.71","4.83M","34.89%"
"08/28/2022","8.77","9.10","9.10","8.65","416.30K","-2.99%"
"08/21/2022","9.04","9.23","9.25","8.80","445.60K","-0.77%"
"08/14/2022","9.11","9.37","9.41","9.00","881.91K","-0.11%"
"08/07/2022","9.12","8.69","9.50","8.60","1.42M","6.67%"
"07/31/2022","8.55","8.45","8.69","8.13","139.28K","2.40%"
"07/24/2022","8.35","7.90","8.49","7.90","260.26K","7.05%"
"07/17/2022","7.80","7.44","7.94","7.08","160.79K","7.59%"
"07/03/2022","7.25","7.77","7.90","7.20","144.59K","-6.93%"
"06/26/2022","7.79","8.41","8.41","7.68","111.21K","-9.10%"
"06/19/2022","8.57","8.65","8.85","8.40","134.32K","-2.39%"
"06/12/2022","8.78","8.47","9.09","8.46","582.97K","1.27%"
"06/05/2022","8.67","8.22","8.81","8.02","308.41K","4.84%"
"05/29/2022","8.27","8.25","8.58","7.80","496.76K","-2.48%"
"05/22/2022","8.48","8.45","8.66","8.06","143.79K","0.12%"
"05/15/2022","8.47","9.18","9.20","8.41","529.66K","-4.62%"
"05/08/2022","8.88","9.00","9.25","8.80","518.23K","-2.84%"
"04/24/2022","9.14","9.11","9.29","8.92","576.32K","0.88%"
"04/17/2022","9.06","8.81","9.21","8.23","1.45M","2.84%"
"04/10/2022","8.81","9.79","9.79","8.80","728.91K","-7.65%"
"04/03/2022","9.54","9.00","10.44","8.81","2.07M","8.66%"
"03/27/2022","8.78","9.71","9.78","8.69","979.85K","-10.50%"
"03/20/2022","9.81","9.18","10.35","8.50","3.16M","13.54%"
"03/13/2022","8.64","8.80","9.00","8.40","62.87K","0.00%"
"03/06/2022","8.64","9.06","9.25","8.42","116.82K","-4.00%"
"02/27/2022","9.00","8.55","9.07","8.55","316.20K","6.51%"
"02/20/2022","8.45","9.00","9.56","8.23","294.99K","-6.11%"
"02/13/2022","9.00","9.50","9.50","8.71","73.11K","-10.00%"
"02/06/2022","10.00","9.71","10.08","9.55","63.60K","0.00%"
"01/30/2022","10.00","9.68","10.10","9.42","98.72K","1.42%"
"01/23/2022","9.86","10.19","10.19","9.68","39.95K","-4.73%"
"01/16/2022","10.35","10.34","10.38","9.95","105.40K","0.00%"
"01/09/2022","10.35","10.70","10.99","10.34","372.48K","-3.90%"
"01/02/2022","10.77","10.11","10.83","10.00","355.81K","6.63%"
"12/26/2021","10.10","9.85","10.19","9.61","445.44K","3.17%"
"12/19/2021","9.79","8.76","9.85","8.70","459.36K","11.12%"
"12/12/2021","8.81","8.91","9.09","8.70","119.58K","-3.19%"
"12/05/2021","9.10","8.71","9.27","8.71","162.33K","2.36%"
"11/28/2021","8.89","8.22","9.35","8.22","379.63K","7.11%"
"11/21/2021","8.30","8.30","8.60","8.08","148.56K","-1.78%"
"11/14/2021","8.45","9.17","9.50","8.28","284.92K","-8.94%"
"11/07/2021","9.28","8.67","9.50","8.55","321.39K","5.33%"
"10/31/2021","8.81","9.40","9.56","8.77","408.26K","-8.52%"
"10/24/2021","9.63","10.25","10.35","9.27","539.47K","-6.05%"
"10/17/2021","10.25","10.62","10.90","9.71","416.37K","-1.82%"
"10/10/2021","10.44","10.20","10.98","10.20","420.16K","2.05%"
"10/03/2021","10.23","10.30","10.40","9.90","176.27K","0.99%"
"09/26/2021","10.13","10.92","11.25","10.00","702.74K","-6.72%"
"09/19/2021","10.86","10.71","10.94","9.48","545.98K","-1.54%"
"09/12/2021","11.03","11.17","11.75","10.93","887.40K","0.36%"
"09/05/2021","10.99","13.30","13.56","10.70","912.12K","-18.11%"
"08/29/2021","13.42","13.85","13.85","13.22","356.41K","-1.83%"
"08/22/2021","13.67","13.53","14.20","13.12","1.32M","-0.65%"
"08/15/2021","13.76","14.18","14.72","13.42","4.17M","2.76%"
"08/08/2021","13.39","13.20","13.65","12.80","2.75M","2.53%"
"08/01/2021","13.06","13.65","14.79","12.53","2.53M","-2.97%"
"07/25/2021","13.46","11.90","13.80","11.77","1.21M","14.63%"
"07/18/2021","11.74","11.41","11.87","11.41","62.72K","2.25%"
"07/11/2021","11.48","11.24","11.77","11.10","483.70K","1.44%"
"07/04/2021","11.32","11.58","11.94","11.02","678.23K","-1.99%"
"06/27/2021","11.55","11.48","11.67","11.08","603.63K","2.37%"
"06/20/2021","11.28","11.05","11.58","10.87","587.84K","-1.26%"
"06/13/2021","11.43","12.06","12.06","10.56","709.81K","-6.35%"
"06/06/2021","12.20","11.67","13.29","11.58","1.76M","6.07%"
"05/30/2021","11.50","11.83","12.87","11.29","1.44M","-2.91%"
"05/23/2021","11.85","12.15","12.20","11.43","466.90K","-0.56%"
"05/16/2021","11.91","11.12","12.40","11.05","635.14K","5.96%"
"05/09/2021","11.24","11.00","11.67","10.99","390.65K","3.16%"
"05/02/2021","10.90","10.76","10.98","10.06","417.50K","5.27%"
"04/25/2021","10.35","9.93","10.99","9.87","504.41K","4.54%"
"04/18/2021","9.90","9.93","10.28","9.24","170.82K","7.59%"
"04/11/2021","9.21","9.90","10.42","8.96","249.49K","-4.85%"
"04/04/2021","9.67","10.78","10.78","8.71","284.80K","-9.33%"
"03/28/2021","10.67","9.56","11.00","9.56","472.63K","12.51%"
