"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","8.38","8.74","8.76","8.20","68.93M","-1.41%"
"03/22/2026","8.50","8.79","8.89","8.46","53.92M","-3.08%"
"03/15/2026","8.77","9.30","9.64","8.63","102.75M","-3.84%"
"03/08/2026","9.12","8.33","9.85","8.08","252.08M","19.84%"
"03/01/2026","7.61","6.80","7.85","6.79","79.06M","7.03%"
"02/22/2026","7.11","7.24","7.48","7.04","93.00M","-1.52%"
"02/15/2026","7.22","7.17","7.54","7.08","88.98M","1.69%"
"02/08/2026","7.10","7.06","7.30","7.05","26.39M","1.14%"
"02/01/2026","7.02","7.18","7.18","6.96","19.00M","-0.71%"
"01/25/2026","7.07","7.08","7.38","7.06","23.05M","-0.14%"
"01/18/2026","7.08","6.95","7.16","6.82","13.33M","4.12%"
"01/11/2026","6.80","7.12","7.16","6.80","18.31M","-4.36%"
"01/04/2026","7.11","6.96","7.28","6.93","29.05M","2.60%"
"12/28/2025","6.93","7.00","7.01","6.92","12.05M","-0.29%"
"12/21/2025","6.95","7.00","7.03","6.86","26.27M","0.00%"
"12/14/2025","6.95","7.00","7.10","6.84","19.38M","-0.57%"
"12/07/2025","6.99","6.70","7.12","6.70","18.66M","4.48%"
"11/30/2025","6.69","6.80","6.82","6.66","8.36M","-1.18%"
"11/23/2025","6.77","6.87","6.89","6.76","8.02M","-1.17%"
"11/16/2025","6.85","6.90","6.95","6.84","9.16M","-0.29%"
"11/09/2025","6.87","6.92","6.96","6.85","7.80M","-0.43%"
"11/02/2025","6.90","7.03","7.04","6.85","10.51M","-1.43%"
"10/26/2025","7.00","6.93","7.09","6.91","22.00M","1.45%"
"10/19/2025","6.90","6.88","6.96","6.84","12.92M","0.88%"
"10/12/2025","6.84","7.62","7.64","6.77","21.75M","-10.24%"
"10/05/2025","7.62","7.60","7.78","7.58","16.87M","0.79%"
"09/28/2025","7.56","7.60","7.66","7.52","19.73M","0.53%"
"09/21/2025","7.52","7.45","7.63","7.35","9.57M","1.21%"
"09/14/2025","7.43","7.45","7.50","7.30","9.50M","0.27%"
"09/07/2025","7.41","7.35","7.46","7.29","8.68M","1.37%"
"08/31/2025","7.31","7.45","7.46","7.30","7.74M","-1.22%"
"08/24/2025","7.40","7.49","7.49","7.33","12.96M","-0.13%"
"08/17/2025","7.41","7.27","7.66","7.24","30.48M","1.93%"
"08/10/2025","7.27","7.42","7.42","7.23","28.30M","-1.49%"
"08/03/2025","7.38","7.35","7.54","7.26","43.61M","0.14%"
"07/27/2025","7.37","7.54","7.81","7.21","72.19M","-1.73%"
"07/20/2025","7.50","7.81","7.85","7.45","79.55M","-3.47%"
"07/13/2025","7.77","7.61","8.07","7.50","87.89M","2.24%"
"07/06/2025","7.60","7.40","7.88","7.39","17.70M","2.84%"
"06/29/2025","7.39","7.57","7.76","7.36","11.50M","-1.99%"
"06/22/2025","7.54","6.90","7.63","6.81","11.19M","7.56%"
"06/15/2025","7.01","7.30","7.38","6.97","5.51M","-5.78%"
"06/08/2025","7.44","7.52","7.63","7.42","4.90M","-0.67%"
"06/01/2025","7.49","7.47","7.55","7.41","3.22M","0.40%"
"05/25/2025","7.46","7.46","7.58","7.43","4.84M","0.27%"
"05/18/2025","7.44","7.49","7.60","7.39","5.31M","-0.40%"
"05/11/2025","7.47","7.62","7.67","7.46","5.13M","-1.97%"
"05/04/2025","7.62","7.76","7.85","7.50","7.45M","-1.68%"
"04/27/2025","7.75","7.74","7.85","7.70","4.47M","0.26%"
"04/20/2025","7.73","7.64","7.73","7.60","1.48M","1.18%"
"04/13/2025","7.64","7.62","7.76","7.59","4.61M","1.19%"
"04/06/2025","7.55","7.64","7.75","7.30","10.04M","-4.79%"
"03/30/2025","7.93","8.00","8.00","7.86","976.87K","-0.88%"
"03/23/2025","8.00","7.70","8.01","7.65","8.29M","4.03%"
"03/16/2025","7.69","7.83","8.02","7.66","10.78M","-1.66%"
"03/09/2025","7.82","7.80","7.93","7.75","7.46M","0.77%"
