"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","7.670","7.850","7.850","7.530","748.02K","-1.41%"
"03/22/2026","7.780","7.920","7.960","7.720","845.19K","-1.39%"
"03/15/2026","7.890","7.910","7.940","7.610","521.66K","0.00%"
"03/08/2026","7.890","7.950","8.050","7.810","1.23M","-1.00%"
"03/01/2026","7.970","7.730","8.100","7.180","1.37M","1.27%"
"02/22/2026","7.870","8.100","8.100","7.840","1.57M","-2.72%"
"02/15/2026","8.090","8.210","8.270","8.060","3.16M","-1.34%"
"02/08/2026","8.200","8.250","8.400","8.050","3.63M","0.37%"
"02/01/2026","8.170","7.970","8.350","7.790","6.35M","2.51%"
"01/25/2026","7.970","8.310","8.370","7.910","4.16M","-4.09%"
"01/18/2026","8.310","8.580","8.800","8.280","6.44M","-1.07%"
"01/11/2026","8.400","8.240","8.620","8.150","9.76M","1.94%"
"01/04/2026","8.240","8.800","8.900","8.230","3.35M","-8.04%"
"12/28/2025","8.960","8.160","8.970","8.140","6.07M","10.21%"
"12/21/2025","8.130","8.490","8.500","8.110","3.29M","-2.17%"
"12/14/2025","8.310","8.550","8.570","8.170","2.94M","-1.77%"
"12/07/2025","8.460","8.690","8.900","8.450","3.98M","-1.74%"
"11/30/2025","8.610","7.920","8.930","7.890","8.32M","8.71%"
"11/23/2025","7.920","8.220","8.220","7.900","2.58M","-3.30%"
"11/16/2025","8.190","8.120","8.440","8.100","10.37M","0.86%"
"11/09/2025","8.120","8.070","8.250","7.950","4.14M","1.12%"
"11/02/2025","8.030","8.080","8.260","8.000","3.96M","-0.25%"
"10/26/2025","8.050","8.000","8.300","7.970","7.19M","1.26%"
"10/19/2025","7.950","8.070","8.160","7.860","5.55M","-0.87%"
"10/12/2025","8.020","7.750","8.160","7.720","6.70M","3.48%"
"10/05/2025","7.750","7.750","7.820","7.680","1.57M","1.04%"
"09/28/2025","7.670","7.700","7.910","7.500","2.78M","0.39%"
"09/21/2025","7.640","7.820","7.900","7.550","2.32M","-2.30%"
"09/14/2025","7.820","8.340","8.490","7.720","4.31M","-6.01%"
"09/07/2025","8.320","8.370","8.620","8.310","3.83M","-0.36%"
"08/31/2025","8.350","8.250","8.570","8.100","5.28M","2.33%"
"08/24/2025","8.160","8.320","8.390","8.120","1.63M","-1.69%"
"08/17/2025","8.300","8.480","8.530","8.260","2.45M","-1.54%"
"08/10/2025","8.430","8.520","8.730","8.420","14.32M","-0.94%"
"08/03/2025","8.510","8.580","8.740","8.410","2.74M","-0.35%"
"07/27/2025","8.540","8.650","8.950","8.360","1.97M","-0.70%"
"07/20/2025","8.600","8.910","8.990","8.600","1.61M","-3.26%"
"07/13/2025","8.890","9.100","9.180","8.880","6.07M","-2.09%"
"07/06/2025","9.080","9.400","9.590","9.020","5.03M","-2.99%"
"06/29/2025","9.360","9.460","10.380","9.250","11.78M","0.54%"
"06/22/2025","9.310","8.210","9.460","8.020","9.41M","12.17%"
"06/15/2025","8.300","8.900","9.000","8.000","8.41M","-10.46%"
"06/08/2025","9.270","9.210","9.550","9.160","6.07M","0.76%"
"06/01/2025","9.200","9.390","9.450","9.090","6.79M","-1.08%"
"05/25/2025","9.300","9.160","9.430","8.930","8.88M","2.31%"
"05/18/2025","9.090","9.360","9.460","8.600","21.40M","-2.68%"
"05/11/2025","9.340","9.400","9.550","9.140","12.02M","-0.53%"
"05/04/2025","9.390","9.770","9.840","9.290","7.84M","-3.89%"
"04/27/2025","9.770","9.000","9.770","8.950","9.24M","8.68%"
"04/20/2025","8.990","8.590","8.990","8.540","1.70M","4.90%"
"04/13/2025","8.570","8.550","8.680","8.320","1.52M","0.59%"
"04/06/2025","8.520","8.700","9.000","8.210","2.63M","-5.33%"
"03/30/2025","9.000","9.020","9.100","8.920","458.48K","0.00%"
"03/23/2025","9.000","9.100","9.450","8.650","4.94M","-0.11%"
"03/16/2025","9.010","9.070","9.220","8.860","6.16M","-0.11%"
"03/09/2025","9.020","8.230","9.200","8.120","13.23M","9.60%"
"03/02/2025","8.230","8.450","8.480","7.950","3.85M","-2.02%"
"02/23/2025","8.400","8.160","8.730","8.050","12.07M","2.94%"
"02/16/2025","8.160","7.900","8.200","7.900","5.51M","3.16%"
"02/09/2025","7.910","8.030","8.100","7.740","4.47M","-1.37%"
"02/02/2025","8.020","8.120","8.160","7.930","5.47M","-0.99%"
"01/26/2025","8.100","8.020","8.300","7.730","9.88M","1.76%"
"01/19/2025","7.960","8.060","8.160","7.810","9.10M","-0.87%"
"01/12/2025","8.030","8.020","8.290","7.540","7.66M","-0.50%"
"01/05/2025","8.070","8.070","8.460","8.010","11.11M","0.00%"
"12/29/2024","8.070","8.080","8.270","7.830","8.14M","0.87%"
"12/22/2024","8.000","8.350","8.450","7.660","10.72M","-3.73%"
"12/15/2024","8.310","8.660","8.750","7.950","8.74M","-3.71%"
"12/08/2024","8.630","8.410","8.700","7.930","19.69M","3.23%"
"12/01/2024","8.360","7.650","8.610","7.650","26.85M","10.00%"
"11/24/2024","7.600","7.500","7.930","7.500","10.00M","1.06%"
"11/17/2024","7.520","7.950","7.950","7.500","11.51M","-4.08%"
"11/10/2024","7.840","8.140","8.350","7.610","27.72M","-2.24%"
"11/03/2024","8.020","7.460","8.120","7.380","35.60M","8.53%"
"10/27/2024","7.390","7.300","7.640","7.220","11.78M","3.36%"
"10/20/2024","7.150","6.780","7.250","6.520","8.29M","7.20%"
"10/13/2024","6.670","6.760","7.070","6.660","8.30M","-0.74%"
"10/06/2024","6.720","7.060","7.150","6.520","4.49M","-5.08%"
"09/29/2024","7.080","7.310","7.350","7.040","5.30M","-3.01%"
"09/22/2024","7.300","7.220","7.410","7.160","6.93M","1.25%"
"09/15/2024","7.210","7.500","7.500","7.150","3.43M","-2.44%"
"09/08/2024","7.390","7.400","7.600","7.100","5.81M","0.68%"
"09/01/2024","7.340","7.750","7.770","7.340","7.86M","-4.18%"
"08/25/2024","7.660","7.120","8.230","7.070","29.77M","8.96%"
"08/18/2024","7.030","7.190","7.450","7.020","8.41M","-0.99%"
"08/11/2024","7.100","7.350","7.620","7.050","16.86M","-1.66%"
"08/04/2024","7.220","6.350","8.050","6.220","45.57M","12.46%"
"07/28/2024","6.420","6.450","6.900","6.240","7.56M","0.94%"
"07/21/2024","6.360","5.690","6.640","5.620","10.63M","13.98%"
"07/14/2024","5.580","5.470","5.660","5.320","4.22M","3.53%"
"07/07/2024","5.390","5.850","5.920","5.360","4.36M","-6.59%"
