"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","31.83","31.95","32.50","30.90","1.48M","0.13%"
"03/22/2026","31.79","31.90","34.58","31.70","3.56M","0.60%"
"03/15/2026","31.60","31.99","32.70","30.13","2.18M","-1.25%"
"03/08/2026","32.00","30.49","34.23","30.30","5.63M","6.14%"
"03/01/2026","30.15","28.50","31.98","28.00","5.00M","-0.53%"
"02/22/2026","30.31","29.50","32.50","28.30","8.77M","8.91%"
"02/15/2026","27.83","30.41","31.49","27.80","6.11M","-8.54%"
"02/08/2026","30.43","29.15","30.70","27.30","14.86M","5.37%"
"02/01/2026","28.88","26.10","31.24","25.80","9.12M","10.95%"
"01/25/2026","26.03","25.69","26.94","25.20","3.35M","1.32%"
"01/18/2026","25.69","24.83","26.50","24.70","2.62M","4.01%"
"01/11/2026","24.70","25.76","26.09","24.26","1.57M","-3.89%"
"01/04/2026","25.70","26.00","26.39","24.41","4.48M","-0.19%"
"12/28/2025","25.75","26.63","26.80","25.54","3.12M","-3.05%"
"12/21/2025","26.56","25.76","28.20","25.76","7.34M","2.95%"
"12/14/2025","25.80","25.00","26.57","25.00","7.47M","3.61%"
"12/07/2025","24.90","24.08","25.35","23.90","3.95M","3.75%"
"11/30/2025","24.00","27.33","28.35","23.83","17.73M","-12.34%"
"11/23/2025","27.38","25.20","28.65","25.20","11.22M","8.52%"
"11/16/2025","25.23","25.72","25.94","24.75","3.86M","-1.83%"
"11/09/2025","25.70","27.20","27.20","24.73","7.98M","-4.85%"
"11/02/2025","27.01","26.50","27.49","25.90","5.06M","1.54%"
"10/26/2025","26.60","26.82","27.80","25.51","7.64M","-0.34%"
"10/19/2025","26.69","25.60","26.89","25.25","5.76M","4.63%"
"10/12/2025","25.51","22.95","25.80","22.95","11.00M","9.67%"
"10/05/2025","23.26","21.11","23.80","21.11","10.26M","10.76%"
"09/28/2025","21.00","20.69","22.05","20.42","18.78M","3.45%"
"09/21/2025","20.30","20.24","20.90","19.77","3.81M","0.25%"
