"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","27.98","28.49","28.49","27.40","2.69M","-1.89%"
"03/22/2026","28.52","28.17","29.35","28.05","4.96M","1.86%"
"03/15/2026","28.00","29.00","29.90","27.61","7.01M","-2.44%"
"03/08/2026","28.70","27.24","29.94","26.81","13.59M","7.09%"
"03/01/2026","26.80","27.99","28.38","25.70","4.63M","-9.09%"
"02/22/2026","29.48","30.35","30.70","28.82","692.35K","-2.80%"
"02/15/2026","30.33","32.22","32.96","30.30","3.15M","-5.87%"
"02/08/2026","32.22","33.50","34.00","31.80","866.94K","-3.53%"
"02/01/2026","33.40","30.90","35.00","30.00","2.96M","8.23%"
"01/25/2026","30.86","31.50","32.30","30.11","1.47M","-2.03%"
"01/18/2026","31.50","30.89","32.87","30.40","3.44M","6.53%"
"01/11/2026","29.57","33.90","34.00","29.52","1.31M","-12.80%"
"01/04/2026","33.91","35.00","35.00","32.50","1.68M","-2.73%"
"12/28/2025","34.86","34.99","36.00","34.00","1.07M","-0.11%"
"12/21/2025","34.90","35.30","37.60","34.01","4.36M","-0.85%"
"12/14/2025","35.20","35.20","37.35","34.13","8.04M","1.41%"
"12/07/2025","34.71","33.70","35.53","33.70","1.43M","3.33%"
"11/30/2025","33.59","34.83","35.50","33.16","1.75M","-3.48%"
"11/23/2025","34.80","36.26","36.93","34.61","5.46M","1.07%"
"11/16/2025","34.43","34.43","34.43","34.43","","0.00%"
"11/09/2025","34.43","35.51","35.80","33.81","1.51M","-2.96%"
"11/02/2025","35.48","34.00","37.79","33.84","7.44M","4.97%"
"10/26/2025","33.80","32.39","34.40","32.30","3.36M","4.77%"
"10/19/2025","32.26","31.00","36.50","30.60","10.82M","5.25%"
"10/12/2025","30.65","29.70","31.40","29.50","1.91M","5.07%"
"10/05/2025","29.17","29.50","30.47","28.85","1.37M","-0.55%"
"09/28/2025","29.33","28.39","29.69","28.22","1.51M","5.13%"
"09/21/2025","27.90","28.99","29.00","26.47","1.57M","-3.19%"
"09/14/2025","28.82","29.87","30.19","28.32","741.73K","-2.40%"
"09/07/2025","29.53","30.85","31.00","29.51","1.06M","-3.90%"
"08/31/2025","30.73","29.29","32.30","29.04","3.66M","5.86%"
"08/24/2025","29.03","29.47","29.60","28.67","1.33M","0.10%"
"08/17/2025","29.00","29.35","30.50","29.00","1.32M","-1.19%"
"08/10/2025","29.35","28.86","32.75","28.85","4.31M","1.59%"
"08/03/2025","28.89","29.17","29.98","28.31","1.26M","-0.96%"
"07/27/2025","29.17","31.35","31.75","29.05","1.95M","-6.86%"
"07/20/2025","31.32","31.55","32.00","31.00","1.71M","0.03%"
"07/13/2025","31.31","31.60","32.30","30.72","2.25M","-0.76%"
"07/06/2025","31.55","32.98","33.40","31.53","1.73M","-4.05%"
"06/29/2025","32.88","35.84","36.65","32.22","6.16M","-8.00%"
"06/22/2025","35.74","30.30","35.99","29.72","9.29M","15.03%"
"06/15/2025","31.07","30.00","34.85","29.35","9.88M","-7.12%"
"06/08/2025","33.45","27.81","35.30","27.81","14.27M","20.37%"
"06/01/2025","27.79","27.00","27.99","26.40","2.59M","3.66%"
"05/25/2025","26.81","28.04","28.39","26.80","3.18M","-4.39%"
"05/18/2025","28.04","28.64","29.25","27.10","6.25M","-1.65%"
"05/11/2025","28.51","27.81","29.44","26.12","7.09M","4.01%"
"05/04/2025","27.41","23.70","28.90","23.70","16.53M","16.00%"
"04/27/2025","23.63","23.75","24.30","23.61","1.57M","0.47%"
"04/20/2025","23.52","23.83","23.99","23.36","939.08K","-0.80%"
"04/13/2025","23.71","22.41","25.00","22.03","5.42M","6.23%"
"04/06/2025","22.32","22.92","22.92","20.00","1.32M","-5.74%"
"03/30/2025","23.68","23.70","24.05","23.63","323.17K","-0.50%"
"03/23/2025","23.80","23.90","24.25","23.61","1.40M","0.04%"
"03/16/2025","23.79","24.00","24.64","23.11","1.85M","-0.50%"
"03/09/2025","23.91","23.25","24.58","22.75","3.17M","3.33%"
"03/02/2025","23.14","23.61","24.30","23.00","914.90K","-1.99%"
"02/23/2025","23.61","24.25","24.77","23.55","1.85M","-2.52%"
"02/16/2025","24.22","23.34","24.44","23.08","2.22M","5.72%"
"02/09/2025","22.91","24.11","24.25","22.51","2.80M","-4.90%"
"02/02/2025","24.09","25.47","25.71","24.00","4.21M","-5.42%"
"01/26/2025","25.47","26.75","27.05","25.40","4.71M","-4.75%"
"01/19/2025","26.74","28.20","28.30","26.43","9.57M","-4.12%"
"01/12/2025","27.89","27.51","28.50","26.01","7.10M","0.40%"
"01/05/2025","27.78","29.00","29.33","27.73","2.11M","-3.51%"
"12/29/2024","28.79","26.81","29.79","26.62","3.05M","7.63%"
