"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","124.79","124.21","126.30","119.50","20.59M","-0.17%"
"03/22/2026","125.00","127.50","127.99","124.10","18.86M","-3.62%"
"03/15/2026","129.70","122.02","129.70","116.50","21.59M","6.31%"
"03/08/2026","122.00","124.99","129.99","118.04","18.01M","-3.17%"
"03/01/2026","126.00","127.10","131.00","111.00","31.70M","-5.62%"
"02/22/2026","133.50","138.13","140.78","130.01","22.98M","-3.26%"
"02/15/2026","138.00","137.88","145.01","137.11","14.27M","0.09%"
"02/08/2026","137.87","138.50","140.20","134.00","26.06M","0.45%"
"02/01/2026","137.25","133.00","138.99","127.11","38.98M","2.43%"
"01/25/2026","134.00","127.74","135.00","127.80","14.91M","4.90%"
"01/18/2026","127.74","123.00","129.30","122.22","15.30M","4.95%"
"01/11/2026","121.71","108.00","125.80","107.65","29.91M","16.69%"
"01/04/2026","104.30","103.98","105.58","98.30","10.01M","1.26%"
"12/28/2025","103.00","103.80","104.30","102.50","3.86M","0.00%"
"12/21/2025","103.00","101.94","105.49","101.27","20.96M","1.95%"
"12/14/2025","101.03","106.35","109.09","101.03","27.34M","-4.84%"
"12/07/2025","106.17","106.59","107.71","104.64","9.19M","-0.01%"
"11/30/2025","106.18","97.81","107.48","97.27","14.61M","8.63%"
"11/23/2025","97.75","96.45","98.18","95.01","15.89M","1.41%"
"11/16/2025","96.38","98.79","100.00","96.38","12.71M","-2.29%"
"11/09/2025","98.64","100.00","101.55","98.64","14.88M","-0.47%"
"11/02/2025","99.10","95.45","100.00","94.15","16.61M","3.34%"
"10/26/2025","95.90","94.55","96.55","94.41","8.89M","1.56%"
"10/19/2025","94.43","95.75","97.41","93.64","16.10M","-1.31%"
"10/12/2025","95.68","96.27","96.82","94.59","10.92M","-0.61%"
"10/05/2025","96.27","93.90","96.27","93.65","5.85M","2.53%"
"09/28/2025","93.90","89.04","94.00","88.64","13.07M","5.94%"
"09/21/2025","88.64","90.00","90.00","86.35","9.89M","-1.50%"
"09/14/2025","89.98","87.25","90.09","87.25","13.66M","3.11%"
"09/07/2025","87.26","87.27","87.49","84.64","10.85M","-0.01%"
"08/31/2025","87.27","88.32","88.75","85.73","11.37M","-1.16%"
"08/24/2025","88.30","90.00","90.91","87.82","18.63M","-1.89%"
"08/17/2025","90.00","89.43","92.27","89.27","15.52M","0.71%"
"08/10/2025","89.36","90.91","92.73","89.19","10.81M","-1.80%"
"08/03/2025","91.00","85.45","91.73","84.33","14.65M","6.38%"
"07/27/2025","85.55","83.64","86.64","83.18","19.15M","2.28%"
"07/20/2025","83.64","81.36","83.64","80.91","8.58M","2.24%"
"07/13/2025","81.80","77.18","81.82","76.18","13.79M","5.93%"
"07/06/2025","77.22","76.72","77.22","75.55","6.38M","0.59%"
"06/29/2025","76.76","76.37","77.68","75.91","11.59M","0.64%"
"06/22/2025","76.27","70.91","76.27","70.29","9.93M","6.72%"
"06/15/2025","71.47","71.15","72.86","70.03","21.68M","-3.53%"
"06/08/2025","74.09","73.65","75.05","73.55","18.71M","-0.48%"
"06/01/2025","74.45","74.27","74.45","72.92","11.35M","-1.16%"
"05/25/2025","75.32","72.64","75.32","72.57","14.14M","3.69%"
"05/18/2025","72.64","73.82","74.08","72.01","11.97M","-1.60%"
"05/11/2025","73.82","72.74","74.10","71.45","15.77M","1.69%"
"05/04/2025","72.59","73.61","74.76","72.55","8.91M","-1.38%"
"04/27/2025","73.61","72.23","73.61","72.18","10.07M","1.86%"
"04/20/2025","72.26","70.81","72.26","69.83","4.08M","2.30%"
"04/13/2025","70.64","71.63","71.82","69.31","7.34M","-1.63%"
