"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","24.65","22.98","24.96","22.78","6.20M","8.07%"
"03/22/2026","22.81","23.24","23.50","22.66","2.83M","-1.85%"
"03/15/2026","23.24","23.20","23.30","22.14","1.01M","0.17%"
"03/08/2026","23.20","21.99","23.40","21.10","5.49M","6.96%"
"03/01/2026","21.69","21.95","22.79","20.00","2.76M","-4.70%"
"02/22/2026","22.76","22.89","23.45","22.45","2.50M","-0.61%"
"02/15/2026","22.90","24.00","24.38","22.00","7.69M","-4.54%"
"02/08/2026","23.99","25.37","26.00","23.49","5.50M","-4.04%"
"02/01/2026","25.00","25.75","26.10","24.80","3.07M","-5.05%"
"01/25/2026","26.33","26.43","26.50","24.85","3.42M","-0.38%"
"01/18/2026","26.43","24.26","26.50","24.26","8.08M","10.13%"
"01/11/2026","24.00","22.34","24.85","22.24","7.79M","7.91%"
"01/04/2026","22.24","22.51","22.80","21.50","845.33K","-0.98%"
"12/28/2025","22.46","22.30","22.65","22.20","642.16K","0.27%"
"12/21/2025","22.40","22.20","22.51","22.00","2.54M","0.00%"
"12/14/2025","22.40","22.52","22.90","22.16","1.58M","-0.40%"
"12/07/2025","22.49","22.20","22.65","21.50","1.72M","1.31%"
"11/30/2025","22.20","21.45","22.60","21.11","1.97M","5.82%"
"11/23/2025","20.98","22.80","22.94","20.00","2.48M","-8.38%"
"11/16/2025","22.90","22.97","23.19","22.60","4.66M","-0.09%"
"11/09/2025","22.92","22.00","23.19","21.86","5.44M","4.13%"
"11/02/2025","22.01","21.11","22.19","20.70","5.72M","4.76%"
"10/26/2025","21.01","20.30","21.17","20.05","4.07M","4.42%"
"10/19/2025","20.12","18.80","20.18","18.71","7.61M","7.25%"
"10/12/2025","18.76","19.00","19.00","18.60","1.43M","-1.11%"
"10/05/2025","18.97","18.65","19.02","18.54","1.19M","1.83%"
"09/28/2025","18.63","18.35","18.75","18.23","2.19M","2.03%"
"09/21/2025","18.26","18.48","18.64","18.11","1.79M","-0.33%"
"09/14/2025","18.32","18.13","18.60","17.75","1.57M","1.61%"
"09/07/2025","18.03","18.00","18.20","17.70","1.55M","0.28%"
"08/31/2025","17.98","18.55","18.74","17.80","1.94M","-3.44%"
"08/24/2025","18.62","18.45","18.84","18.40","2.67M","1.14%"
"08/17/2025","18.41","18.97","19.28","18.38","5.44M","-2.07%"
"08/10/2025","18.80","18.96","19.29","18.75","7.52M","-0.84%"
"08/03/2025","18.96","18.34","19.22","18.00","5.08M","3.04%"
"07/27/2025","18.40","18.36","18.85","18.19","3.29M","0.22%"
"07/20/2025","18.36","18.48","18.91","18.10","2.30M","-0.27%"
"07/13/2025","18.41","17.62","18.75","17.52","4.12M","4.54%"
"07/06/2025","17.61","17.65","17.84","17.50","1.35M","0.11%"
"06/29/2025","17.59","17.73","18.00","17.47","1.95M","-0.62%"
"06/22/2025","17.70","16.99","17.88","16.58","3.91M","4.06%"
"06/15/2025","17.01","17.66","17.66","16.00","2.65M","-5.03%"
"06/08/2025","17.91","17.80","18.30","17.72","2.21M","1.24%"
"06/01/2025","17.69","17.78","17.84","17.60","1.94M","-0.34%"
"05/25/2025","17.75","17.70","17.97","17.51","1.99M","0.85%"
"05/18/2025","17.60","18.09","18.14","17.53","1.35M","-2.38%"
"05/11/2025","18.03","17.80","18.20","17.30","4.09M","1.69%"
"05/04/2025","17.73","18.72","18.79","17.55","7.20M","-4.98%"
"04/27/2025","18.66","18.95","19.07","18.61","3.07M","-1.27%"
"04/20/2025","18.90","18.61","18.95","18.51","3.07M","1.61%"
"04/13/2025","18.60","22.06","23.00","18.60","6.38M","-15.53%"
"04/06/2025","22.02","22.00","22.18","21.20","4.30M","-2.13%"
"03/30/2025","22.50","22.39","22.50","22.31","517.40K","0.85%"
"03/23/2025","22.31","21.81","22.73","21.67","4.02M","2.29%"
"03/16/2025","21.81","22.07","22.30","21.53","2.06M","-0.59%"
"03/09/2025","21.94","20.59","22.00","20.59","6.22M","6.56%"
"03/02/2025","20.59","20.61","20.68","20.14","1.66M","0.29%"
"02/23/2025","20.53","20.70","20.78","20.45","1.80M","-1.72%"
"02/16/2025","20.89","20.10","20.95","20.10","6.20M","4.09%"
"02/09/2025","20.07","18.82","20.25","18.60","11.65M","7.04%"
"02/02/2025","18.75","18.77","19.00","18.65","1.70M","-0.37%"
"01/26/2025","18.82","18.89","19.10","18.56","2.20M","-0.42%"
"01/19/2025","18.90","19.12","19.20","18.72","8.82M","-0.74%"
"01/12/2025","19.04","19.00","19.58","18.65","5.22M","-0.16%"
"01/05/2025","19.07","19.22","19.64","19.01","2.49M","-0.68%"
"12/29/2024","19.20","19.61","19.70","18.85","1.77M","-1.84%"
"12/22/2024","19.56","20.32","20.32","19.04","1.56M","-2.69%"
"12/15/2024","20.10","21.05","21.45","19.52","4.70M","-4.47%"
