"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","76.38","77.18","79.00","62.22","190.59K","-1.45%"
"03/22/2026","77.50","75.00","79.99","74.50","549.06K","3.69%"
"03/15/2026","74.74","76.15","76.15","73.11","78.90K","0.09%"
"03/08/2026","74.67","72.70","78.00","72.70","393.32K","2.79%"
"03/01/2026","72.64","69.00","76.30","63.64","457.83K","-0.70%"
"02/22/2026","73.15","79.01","79.10","71.01","455.80K","-7.29%"
"02/15/2026","78.90","82.78","84.22","78.70","361.02K","-4.10%"
"02/08/2026","82.27","86.50","87.75","82.02","363.91K","-4.23%"
"02/01/2026","85.90","81.90","86.00","81.75","929.08K","5.23%"
"01/25/2026","81.63","81.01","86.50","77.40","870.47K","0.77%"
"01/18/2026","81.01","79.00","83.40","79.00","427.63K","2.99%"
"01/11/2026","78.66","87.00","87.45","78.50","623.70K","-9.17%"
"01/04/2026","86.60","89.45","90.50","86.20","690.98K","-2.50%"
"12/28/2025","88.82","93.84","94.60","88.51","1.50M","-4.66%"
"12/21/2025","93.16","91.99","96.89","89.60","2.81M","1.80%"
"12/14/2025","91.51","99.96","104.50","91.17","3.63M","-7.36%"
"12/07/2025","98.78","83.10","117.97","82.00","9.17M","18.87%"
"11/30/2025","83.10","80.60","85.73","80.60","258.78K","-0.84%"
"11/23/2025","83.80","84.50","85.50","78.00","238.85K","2.01%"
"11/16/2025","82.15","80.05","86.40","80.05","188.82K","-3.91%"
"11/09/2025","85.49","85.33","90.00","82.75","346.35K","1.57%"
"11/02/2025","84.17","80.79","88.00","78.26","639.76K","3.09%"
"10/26/2025","81.65","77.60","83.97","77.60","599.80K","4.61%"
"10/19/2025","78.05","81.99","86.00","77.60","1.29M","-4.81%"
"10/12/2025","81.99","78.77","83.88","76.25","1.20M","4.11%"
"10/05/2025","78.75","72.04","80.09","71.80","1.97M","9.33%"
"09/28/2025","72.03","63.55","76.50","63.55","2.97M","12.69%"
"09/21/2025","63.92","65.80","67.50","63.25","1.29M","-1.56%"
"09/14/2025","64.93","61.95","67.90","60.37","1.81M","4.76%"
"09/07/2025","61.98","61.90","63.95","58.61","1.26M","1.97%"
"08/31/2025","60.78","58.62","66.00","56.49","944.43K","3.81%"
"08/24/2025","58.55","60.50","61.49","57.25","452.12K","-2.38%"
"08/17/2025","59.98","54.45","63.00","54.00","2.04M","11.26%"
"08/10/2025","53.91","52.07","55.85","52.07","1.45M","1.33%"
"08/03/2025","53.20","52.00","54.97","51.62","289.75K","2.13%"
"07/27/2025","52.09","54.92","55.50","51.72","299.97K","-5.14%"
"07/20/2025","54.91","53.02","56.88","53.00","613.09K","3.84%"
"07/13/2025","52.88","50.40","54.79","49.50","558.85K","6.33%"
"07/06/2025","49.73","50.50","51.50","49.50","46.73K","-1.45%"
"06/29/2025","50.46","48.39","51.52","48.10","122.41K","4.28%"
"06/22/2025","48.39","46.00","48.80","45.55","48.73K","3.31%"
"06/15/2025","46.84","47.92","49.90","45.00","163.89K","-4.39%"
"06/08/2025","48.99","51.37","51.37","48.01","41.19K","-4.37%"
"06/01/2025","51.23","49.22","52.00","48.50","113.65K","4.08%"
"05/25/2025","49.22","48.77","50.39","48.03","89.53K","1.48%"
"05/18/2025","48.50","50.32","51.00","47.72","115.70K","-3.54%"
"05/11/2025","50.28","51.97","52.10","50.02","121.69K","-2.27%"
"05/04/2025","51.45","52.08","52.99","51.17","180.89K","-1.08%"
"04/27/2025","52.01","53.20","53.87","51.58","240.72K","-1.38%"
"04/20/2025","52.74","53.25","53.77","50.84","508.20K","-0.15%"
"04/13/2025","52.82","55.50","57.05","52.80","197.35K","-4.07%"
"04/06/2025","55.06","54.00","57.99","52.51","358.34K","-2.72%"
"03/30/2025","56.60","59.00","60.50","56.03","109.61K","-3.21%"
"03/23/2025","58.48","52.63","62.90","51.00","615.61K","10.59%"
"03/16/2025","52.88","52.50","54.98","51.90","85.36K","1.09%"
"03/09/2025","52.31","52.70","53.50","52.06","54.35K","-1.26%"
"03/02/2025","52.98","54.33","55.79","52.60","91.64K","-1.89%"
"02/23/2025","54.00","55.92","57.70","54.00","273.90K","-1.96%"
"02/16/2025","55.08","57.00","57.70","46.88","720.54K","-1.55%"
"02/09/2025","55.95","60.50","60.75","53.55","137.31K","-5.01%"
"02/02/2025","58.90","64.00","64.00","57.01","135.09K","-6.54%"
"01/26/2025","63.02","62.08","64.80","56.22","155.94K","1.17%"
"01/19/2025","62.29","65.00","71.38","61.21","351.58K","-4.04%"
"01/12/2025","64.91","61.70","65.00","52.10","476.23K","4.76%"
"01/05/2025","61.96","48.74","69.00","47.01","565.97K","29.33%"
"12/29/2024","47.91","47.14","48.97","46.03","37.77K","-0.19%"
"12/22/2024","48.00","49.50","49.99","47.00","24.48K","-1.42%"
"12/15/2024","48.69","50.89","51.20","47.00","35.50K","-3.22%"
"12/08/2024","50.31","52.80","54.36","50.00","63.74K","-5.98%"
"12/01/2024","53.51","54.50","54.50","50.00","111.51K","-2.51%"
"11/24/2024","54.89","56.14","57.00","51.18","24.85K","-4.64%"
"11/17/2024","57.56","57.98","66.00","55.20","55.96K","1.95%"
"11/10/2024","56.46","57.00","58.49","55.56","29.82K","-1.83%"
"11/03/2024","57.51","57.51","58.30","57.00","15.74K","0.00%"
"10/27/2024","57.51","58.00","60.88","56.52","34.25K","-0.60%"
"10/20/2024","57.86","56.10","58.99","56.00","53.63K","1.49%"
"10/13/2024","57.01","58.18","58.97","55.06","38.22K","-2.01%"
"10/06/2024","58.18","62.73","63.24","51.55","40.28K","-7.25%"
"09/29/2024","62.73","63.10","64.20","61.50","27.35K","-2.05%"
"09/22/2024","64.04","64.80","66.00","62.51","64.81K","-0.39%"
"09/15/2024","64.29","63.96","67.19","63.01","72.67K","2.58%"
"09/08/2024","62.67","63.59","65.00","60.22","39.82K","-1.42%"
"09/01/2024","63.57","60.93","68.90","60.50","436.86K","5.48%"
"08/25/2024","60.27","58.51","62.99","53.00","144.83K","1.95%"
"08/18/2024","59.12","50.76","59.80","50.76","147.11K","15.65%"
"08/11/2024","51.12","52.47","52.75","42.50","94.75K","-0.35%"
"08/04/2024","51.30","57.23","57.89","50.19","132.02K","-11.69%"
"07/28/2024","58.09","60.50","62.50","57.00","82.75K","-1.63%"
"07/21/2024","59.05","55.40","63.50","53.25","243.97K","6.00%"
"07/14/2024","55.71","53.91","57.00","53.00","52.73K","2.67%"
"07/07/2024","54.26","55.50","55.74","53.00","32.10K","-3.30%"
"06/30/2024","56.11","58.75","58.75","55.00","57.61K","-2.81%"
"06/23/2024","57.73","56.00","59.95","55.52","24.19K","2.39%"
"06/09/2024","56.38","58.50","62.44","55.13","22.22K","-2.71%"
"06/02/2024","57.95","58.57","66.98","56.10","68.71K","-4.70%"
"05/26/2024","60.81","63.44","64.70","57.10","33.21K","-4.16%"
"05/19/2024","63.45","46.26","77.00","44.40","162.31K","36.42%"
"05/12/2024","46.51","51.65","54.00","41.00","37.30K","-12.13%"
"05/05/2024","52.93","53.96","56.99","51.50","14.56K","-1.91%"
"04/28/2024","53.96","61.00","67.99","50.00","60.07K","-18.83%"
"04/21/2024","66.48","69.65","76.90","60.06","64.98K","-4.55%"
"04/14/2024","69.65","78.67","81.88","68.00","35.17K","-11.47%"
"04/07/2024","78.67","87.36","87.99","72.02","11.78K","-9.95%"
"03/31/2024","87.36","92.31","94.97","85.00","42.11K","-5.36%"
"03/24/2024","92.31","87.95","108.90","85.01","91.68K","4.96%"
