"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","50.00","50.00","50.00","50.00","3.01K","0.00%"
"03/22/2026","50.00","50.00","50.00","50.00","3.00K","0.00%"
"03/15/2026","50.00","50.00","50.00","50.00","10.25K","0.00%"
"03/08/2026","50.00","51.00","51.00","50.00","1.01K","-1.96%"
"03/01/2026","51.00","51.00","51.00","30.05","0.58K","13.33%"
"02/22/2026","45.00","47.02","47.02","45.00","0.13K","-10.00%"
"02/15/2026","50.00","49.80","50.00","49.80","9.95K","0.00%"
"02/08/2026","50.00","44.50","50.00","44.50","6.74K","12.36%"
"02/01/2026","44.50","44.00","50.00","44.00","10.12K","-12.75%"
"01/25/2026","51.00","49.00","51.00","49.00","32.42K","2.00%"
"01/18/2026","50.00","50.00","50.00","42.00","9.07K","2.04%"
"01/11/2026","49.00","45.00","49.00","42.00","0.26K","-2.00%"
"01/04/2026","50.00","50.00","52.00","50.00","17.57K","20.11%"
"12/28/2025","41.63","45.00","45.00","41.63","0.06K","-16.74%"
"12/21/2025","50.00","50.00","50.00","50.00","10.00K","0.00%"
"12/14/2025","50.00","50.00","50.00","45.00","12.10K","0.00%"
"12/07/2025","50.00","45.00","50.00","45.00","1.56K","21.77%"
"11/30/2025","41.06","50.00","50.00","41.00","11.73K","-17.88%"
"11/23/2025","50.00","35.00","50.00","35.00","0.07K","0.00%"
"11/16/2025","50.00","55.00","55.00","49.95","10.54K","0.00%"
"11/09/2025","50.00","42.00","50.00","35.18","3.83K","19.05%"
"11/02/2025","42.00","41.90","42.00","41.90","0.04K","-16.00%"
"10/26/2025","50.00","50.00","50.00","50.00","","0.00%"
"10/19/2025","50.00","50.00","50.00","49.95","5.72K","0.00%"
"10/12/2025","50.00","24.11","50.00","24.11","1.90K","0.00%"
"10/05/2025","50.00","47.00","50.00","47.00","0.11K","0.00%"
"09/28/2025","50.00","50.00","50.00","50.00","1.19K","0.00%"
"09/21/2025","50.00","47.02","51.00","47.02","0.75K","6.34%"
"09/14/2025","47.02","47.02","47.02","47.02","0.00K","0.02%"
"09/07/2025","47.01","47.01","47.01","47.01","0.25K","0.02%"
"08/31/2025","47.00","46.50","52.20","46.50","2.58K","-6.00%"
"08/24/2025","50.00","50.00","50.00","50.00","19.20K","7.53%"
"08/17/2025","46.50","51.50","51.50","46.50","14.00K","-7.00%"
"08/10/2025","50.00","50.00","50.00","46.00","1.16K","0.00%"
"08/03/2025","50.00","50.00","50.00","50.00","0.20K","0.00%"
"07/27/2025","50.00","49.00","50.90","49.00","5.15K","0.02%"
"07/20/2025","49.99","50.00","50.00","47.00","2.05K","4.15%"
"07/13/2025","48.00","50.00","50.00","47.00","74.60K","2.13%"
"07/06/2025","47.00","48.00","48.00","47.00","1.20K","-2.08%"
"06/29/2025","48.00","47.00","48.00","47.00","1.12K","2.13%"
"06/22/2025","47.00","47.46","50.00","32.30","1.35K","-1.88%"
"06/15/2025","47.90","35.20","47.90","35.20","0.26K","16.83%"
"06/08/2025","41.00","47.99","47.99","41.00","0.31K","26.93%"
"06/01/2025","32.30","39.22","39.22","32.30","0.01K","-34.08%"
"05/25/2025","49.00","49.00","49.00","49.00","","0.00%"
"05/18/2025","49.00","49.90","49.90","30.00","0.44K","16.67%"
"05/11/2025","42.00","40.00","50.00","40.00","0.40K","5.00%"
"05/04/2025","40.00","48.00","49.00","40.00","1.00K","-7.19%"
"04/27/2025","43.10","43.00","50.00","39.00","11.75K","0.23%"
"04/20/2025","43.00","39.00","43.00","30.10","0.20K","10.26%"
"04/13/2025","39.00","39.00","43.00","39.00","4.63K","20.93%"
"04/06/2025","32.25","40.00","43.00","32.25","0.07K","-19.38%"
"03/16/2025","40.00","41.88","46.00","39.50","4.66K","5.26%"
"03/09/2025","38.00","37.37","43.00","37.00","7.62K","2.70%"
"03/02/2025","37.00","34.42","40.00","34.00","8.34K","7.50%"
"02/23/2025","34.42","32.50","34.42","25.00","5.97K","1.27%"
"02/09/2025","33.99","25.00","34.00","25.00","12.93K","9.65%"
"02/02/2025","31.00","22.00","31.00","22.00","10.65K","40.91%"
"01/26/2025","22.00","24.00","24.00","22.00","0.45K","-8.33%"
"01/19/2025","24.00","22.10","24.00","22.01","0.64K","0.00%"
"01/12/2025","24.00","22.00","24.00","22.00","1.00K","9.09%"
"01/05/2025","22.00","24.50","24.50","22.00","0.12K","-12.00%"
"12/29/2024","25.00","25.00","25.00","21.00","9.46K","6.43%"
"12/22/2024","23.49","25.00","25.00","20.00","24.35K","-6.04%"
"12/15/2024","25.00","20.00","25.00","20.00","27.01K","19.05%"
"12/08/2024","21.00","21.00","21.00","21.00","0.40K","5.00%"
"12/01/2024","20.00","20.00","20.00","19.00","1.17K","-4.76%"
"11/24/2024","21.00","21.00","21.00","21.00","0.17K","-6.67%"
"11/17/2024","22.50","21.00","22.50","21.00","0.48K","7.14%"
"11/10/2024","21.00","20.50","21.00","20.50","2.81K","3.19%"
