"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","16.30","16.30","16.49","16.00","5.46M","-0.43%"
"03/22/2026","16.37","16.40","16.78","16.20","2.25M","0.12%"
"03/15/2026","16.35","16.38","16.40","15.90","3.57M","-0.18%"
"03/08/2026","16.38","16.23","17.00","15.87","8.98M","0.92%"
"03/01/2026","16.23","15.10","16.25","15.06","5.92M","-0.12%"
"02/22/2026","16.25","17.05","17.20","15.90","6.99M","-4.41%"
"02/15/2026","17.00","16.33","17.87","16.27","24.57M","4.62%"
"02/08/2026","16.25","16.44","16.84","15.98","7.08M","-0.85%"
"02/01/2026","16.39","15.85","16.70","15.61","7.77M","3.47%"
"01/25/2026","15.84","16.18","16.47","15.62","5.20M","-2.10%"
"01/18/2026","16.18","15.68","16.65","15.59","12.22M","3.92%"
"01/11/2026","15.57","15.15","15.97","14.80","15.50M","3.59%"
"01/04/2026","15.03","15.40","15.60","14.50","3.26M","-2.40%"
"12/28/2025","15.40","15.69","15.80","15.34","3.76M","-1.79%"
"12/21/2025","15.68","15.91","16.10","15.50","8.06M","-1.45%"
"12/14/2025","15.91","16.50","16.74","15.88","4.63M","-3.58%"
"12/07/2025","16.50","16.55","16.98","16.31","3.19M","-0.12%"
"11/30/2025","16.52","15.11","16.57","15.04","7.86M","9.40%"
"11/23/2025","15.10","15.85","15.86","14.75","5.16M","-4.85%"
"11/16/2025","15.87","16.49","16.50","15.72","7.23M","-2.82%"
"11/09/2025","16.33","16.79","17.20","16.32","20.13M","-1.09%"
"11/02/2025","16.51","16.10","17.80","15.90","33.23M","3.97%"
"10/26/2025","15.88","15.85","16.20","15.20","7.97M","0.83%"
"10/19/2025","15.75","15.46","16.40","14.40","8.77M","2.27%"
"10/12/2025","15.40","15.46","16.00","14.91","12.23M","-0.13%"
"10/05/2025","15.42","15.20","15.50","14.94","1.44M","2.32%"
"09/28/2025","15.07","14.80","15.63","14.30","5.62M","1.21%"
"09/21/2025","14.89","14.23","14.90","13.79","2.42M","5.75%"
"09/14/2025","14.08","13.72","14.41","13.54","3.28M","2.86%"
"09/07/2025","13.69","14.12","14.26","13.54","2.09M","-2.39%"
"08/31/2025","14.02","14.36","14.52","13.84","959.65K","-2.23%"
"08/24/2025","14.34","13.79","14.63","13.64","3.68M","5.34%"
"08/17/2025","13.62","13.45","14.05","13.41","2.52M","1.03%"
"08/10/2025","13.48","13.53","13.57","13.37","15.99M","0.11%"
"08/03/2025","13.46","13.61","13.75","13.39","3.11M","-1.07%"
"07/27/2025","13.61","13.43","13.67","13.28","928.18K","1.41%"
"07/20/2025","13.42","13.56","13.67","13.40","675.86K","-1.07%"
"07/13/2025","13.56","13.54","13.80","13.39","1.13M","-0.05%"
"07/06/2025","13.57","13.83","13.86","13.54","445.22K","-1.84%"
"06/29/2025","13.83","14.12","14.12","13.59","3.61M","-2.06%"
"06/22/2025","14.12","12.31","14.12","12.30","1.90M","13.72%"
"06/15/2025","12.41","13.16","13.46","12.24","1.28M","-9.11%"
"06/08/2025","13.66","13.59","13.97","13.38","1.72M","1.90%"
"06/01/2025","13.40","13.53","13.72","13.24","584.30K","-1.07%"
"05/25/2025","13.55","13.46","13.85","13.35","1.29M","0.16%"
"05/18/2025","13.53","13.47","13.66","13.16","666.22K","0.54%"
"05/11/2025","13.46","13.50","13.79","13.33","729.24K","0.33%"
"05/04/2025","13.41","13.83","13.95","13.41","2.38M","-2.54%"
"04/27/2025","13.76","13.97","14.11","13.68","1.51M","-1.51%"
"04/20/2025","13.97","13.97","13.98","13.46","266.53K","0.79%"
"04/13/2025","13.86","13.97","14.18","13.72","1.43M","0.42%"
"04/06/2025","13.80","13.81","14.10","12.81","1.57M","-3.07%"
"03/30/2025","14.24","14.40","14.40","14.07","254.72K","-1.16%"
"03/23/2025","14.41","14.08","14.41","13.57","1.55M","2.06%"
"03/16/2025","14.12","13.30","14.28","13.19","5.97M","6.59%"
"03/09/2025","13.24","13.75","14.12","13.03","3.00M","0.00%"
"03/02/2025","13.24","13.27","13.79","12.73","2.30M","-0.22%"
"02/23/2025","13.27","13.61","13.93","13.23","2.70M","1.05%"
"02/16/2025","13.13","13.16","13.59","13.06","1.14M","-0.22%"
"02/09/2025","13.16","13.39","14.12","12.73","7.88M","1.69%"
"02/02/2025","12.95","12.48","13.03","12.31","1.46M","4.34%"
"01/26/2025","12.41","12.37","12.55","12.19","1.35M","1.07%"
"01/19/2025","12.28","12.33","12.66","12.19","1.20M","-0.12%"
"01/12/2025","12.29","12.52","12.73","12.04","1.64M","-2.76%"
"01/05/2025","12.64","13.17","13.17","12.59","1.12M","-3.50%"
