"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","25.83","25.90","25.91","24.80","17.56M","-0.27%"
"03/22/2026","25.90","26.53","26.75","25.65","15.34M","-1.82%"
"03/15/2026","26.38","26.00","26.40","24.70","27.48M","1.81%"
"03/08/2026","25.91","26.28","26.90","25.61","31.31M","-0.73%"
"03/01/2026","26.10","25.47","27.20","25.00","28.61M","-3.55%"
"02/22/2026","27.06","29.70","29.84","26.62","31.71M","-8.30%"
"02/15/2026","29.51","30.30","31.35","29.40","45.93M","-1.96%"
"02/08/2026","30.10","29.80","31.50","29.52","51.22M","1.62%"
"02/01/2026","29.62","28.89","30.00","27.38","42.67M","2.92%"
"01/25/2026","28.78","27.03","29.35","27.27","51.12M","6.47%"
"01/18/2026","27.03","24.69","27.29","24.65","32.91M","11.23%"
"01/11/2026","24.30","26.00","27.00","24.22","31.90M","-5.12%"
"01/04/2026","25.61","25.00","25.90","24.18","16.42M","2.77%"
"12/28/2025","24.92","24.96","25.39","24.87","7.47M","0.28%"
"12/21/2025","24.85","24.84","25.31","24.76","11.88M","0.20%"
"12/14/2025","24.80","26.03","26.25","24.80","19.29M","-4.62%"
"12/07/2025","26.00","26.34","26.80","25.69","16.27M","-1.10%"
"11/30/2025","26.29","26.90","27.21","25.97","18.81M","-1.90%"
"11/23/2025","26.80","26.62","27.60","26.14","28.85M","1.13%"
"11/16/2025","26.50","28.07","28.38","26.22","20.97M","-5.32%"
"11/09/2025","27.99","28.71","30.10","27.86","34.68M","-2.13%"
"11/02/2025","28.60","28.21","29.10","28.21","16.52M","1.60%"
"10/26/2025","28.15","28.95","29.66","28.02","27.66M","-2.26%"
"10/19/2025","28.80","29.78","30.00","28.00","45.90M","-3.32%"
"10/12/2025","29.79","27.40","29.88","26.93","55.15M","9.00%"
"10/05/2025","27.33","26.37","27.49","26.35","21.75M","3.92%"
"09/28/2025","26.30","26.30","27.30","26.10","37.08M","0.38%"
"09/21/2025","26.20","26.24","26.47","25.61","28.97M","-0.72%"
"09/14/2025","26.39","25.70","26.39","24.82","27.02M","2.68%"
"09/07/2025","25.70","25.40","26.10","24.77","38.00M","0.86%"
"08/31/2025","25.48","26.11","26.34","25.20","13.47M","-2.34%"
"08/24/2025","26.09","25.75","26.64","25.57","20.15M","1.32%"
"08/17/2025","25.75","24.15","26.05","24.07","65.56M","7.07%"
"08/10/2025","24.05","23.50","24.43","23.45","39.69M","2.60%"
"08/03/2025","23.44","23.80","23.85","23.15","36.12M","-1.47%"
"07/27/2025","23.79","24.93","24.97","23.05","26.95M","-4.11%"
"07/20/2025","24.81","25.10","25.40","24.77","14.29M","-0.80%"
"07/13/2025","25.01","24.88","25.38","24.45","24.52M","1.05%"
"07/06/2025","24.75","26.21","26.21","24.47","23.75M","-4.88%"
"06/29/2025","26.02","27.40","27.47","25.70","17.60M","-5.00%"
"06/22/2025","27.39","23.85","28.47","23.51","47.09M","13.84%"
"06/15/2025","24.06","26.17","28.55","23.85","42.02M","-21.63%"
"06/08/2025","30.70","30.54","30.84","29.98","33.14M","2.33%"
"06/01/2025","30.00","31.50","31.50","29.40","22.23M","-4.25%"
"05/25/2025","31.33","31.75","31.89","30.03","35.65M","-1.32%"
"05/18/2025","31.75","28.81","31.75","28.81","45.12M","10.43%"
"05/11/2025","28.75","28.08","28.75","27.62","19.43M","3.42%"
"05/04/2025","27.80","28.70","28.90","27.80","15.13M","-2.49%"
"04/27/2025","28.51","28.60","29.40","28.50","21.95M","0.21%"
"04/20/2025","28.45","28.20","28.50","27.66","4.43M","0.89%"
"04/13/2025","28.20","26.89","29.09","26.68","35.22M","6.29%"
"04/06/2025","26.53","26.51","27.48","25.60","20.11M","-3.53%"
"03/30/2025","27.50","27.50","27.50","27.12","1.54M","0.00%"
"03/23/2025","27.50","28.48","28.69","27.30","23.72M","-3.37%"
"03/16/2025","28.46","27.60","28.89","27.60","49.63M","4.06%"
"03/09/2025","27.35","27.15","28.51","27.04","46.05M","1.30%"
"03/02/2025","27.00","26.00","27.00","25.75","68.98M","3.85%"
"02/23/2025","26.00","25.48","26.39","24.90","57.70M","1.60%"
"02/16/2025","25.59","23.00","25.89","23.00","69.05M","11.80%"
"02/09/2025","22.89","21.52","23.00","21.22","38.75M","5.73%"
"02/02/2025","21.65","21.45","21.83","21.25","27.48M","1.17%"
"01/26/2025","21.40","20.35","21.87","20.30","67.89M","5.26%"
"01/19/2025","20.33","20.16","20.89","19.90","24.64M","1.04%"
"01/12/2025","20.12","20.68","20.68","19.20","35.41M","-2.80%"
"01/05/2025","20.70","21.00","21.20","20.25","26.47M","-1.10%"
"12/29/2024","20.93","20.70","21.20","19.85","7.43M","1.55%"
"12/22/2024","20.61","21.00","21.09","19.86","9.07M","-1.62%"
"12/15/2024","20.95","21.20","21.50","20.40","30.36M","-0.95%"
"12/08/2024","21.15","20.84","22.05","20.84","42.67M","1.54%"
"12/01/2024","20.83","20.65","21.30","20.50","51.00M","1.86%"
"11/24/2024","20.45","21.55","22.00","20.10","45.95M","-4.53%"
"11/17/2024","21.42","23.10","23.11","21.27","31.00M","-7.19%"
"11/10/2024","23.08","22.90","23.60","22.71","31.46M","1.32%"
"11/03/2024","22.78","22.24","23.05","21.93","36.16M","2.89%"
"10/27/2024","22.14","22.14","22.55","21.55","33.12M","0.64%"
"10/20/2024","22.00","21.00","22.10","20.10","42.93M","4.27%"
"10/13/2024","21.10","23.50","23.50","20.80","47.94M","-9.44%"
"10/06/2024","23.30","24.70","24.80","23.01","27.36M","-5.48%"
"09/29/2024","24.65","24.05","25.15","24.05","44.91M","2.92%"
"09/22/2024","23.95","23.30","24.35","23.25","41.32M","4.13%"
"09/15/2024","23.00","23.25","23.95","22.63","25.96M","-0.65%"
"09/08/2024","23.15","23.51","24.00","22.41","29.18M","-1.28%"
"09/01/2024","23.45","24.00","24.40","23.02","31.58M","-1.88%"
"08/25/2024","23.90","21.71","25.20","21.62","74.98M","10.60%"
"08/18/2024","21.61","19.52","22.17","19.01","43.79M","11.22%"
"08/11/2024","19.43","19.50","19.94","18.90","36.52M","0.67%"
