"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","35.60","37.48","37.48","34.83","7.29M","-5.07%"
"03/22/2026","37.50","36.00","38.00","35.52","14.36M","4.49%"
"03/15/2026","35.89","37.39","37.74","35.89","53.36M","-3.29%"
"03/08/2026","37.11","38.53","38.88","35.00","4.01M","-3.23%"
"03/01/2026","38.35","38.50","40.85","37.51","4.80M","-6.46%"
"02/22/2026","41.00","40.15","42.80","38.93","10.63M","2.40%"
"02/15/2026","40.04","40.70","41.95","39.80","4.14M","-1.52%"
"02/08/2026","40.66","41.30","42.20","39.50","5.71M","-1.55%"
"02/01/2026","41.30","37.51","41.49","37.12","15.60M","9.26%"
"01/25/2026","37.80","37.70","38.00","36.15","6.07M","0.27%"
"01/18/2026","37.70","36.94","38.49","36.10","7.64M","3.09%"
"01/11/2026","36.57","37.90","38.25","35.01","11.96M","-3.25%"
"01/04/2026","37.80","37.10","38.12","34.85","7.54M","1.89%"
"12/28/2025","37.10","37.80","38.09","37.01","3.68M","-1.59%"
"12/21/2025","37.70","40.00","40.14","37.61","14.94M","-5.51%"
"12/14/2025","39.90","42.15","43.70","39.90","13.54M","-5.34%"
"12/07/2025","42.15","45.48","49.30","41.67","6.29M","-7.34%"
"11/30/2025","45.49","46.05","46.50","44.70","5.03M","-1.32%"
"11/23/2025","46.10","47.50","48.15","44.96","10.48M","-2.95%"
"11/16/2025","47.50","45.80","49.95","45.50","6.64M","5.09%"
"11/09/2025","45.20","48.00","49.99","44.30","5.00M","-3.85%"
"11/02/2025","47.01","45.00","49.00","44.02","3.70M","4.49%"
"10/26/2025","44.99","43.19","45.60","42.90","4.69M","4.17%"
"10/19/2025","43.19","42.70","43.88","42.00","950.68K","1.62%"
"10/12/2025","42.50","42.50","42.75","41.50","851.48K","0.24%"
"10/05/2025","42.40","42.60","43.10","41.70","2.28M","-0.24%"
"09/28/2025","42.50","43.49","43.49","41.01","2.73M","-0.09%"
"09/21/2025","42.54","41.00","43.94","40.20","1.32M","3.76%"
"09/14/2025","41.00","38.23","41.00","37.21","2.76M","7.25%"
"09/07/2025","38.23","37.23","38.99","36.70","1.63M","2.69%"
"08/31/2025","37.23","38.70","38.70","36.75","1.45M","-3.80%"
"08/24/2025","38.70","36.50","39.00","36.30","3.75M","6.03%"
"08/17/2025","36.50","38.00","38.73","36.05","1.89M","-3.95%"
"08/10/2025","38.00","39.00","39.00","37.02","5.57M","-3.06%"
"08/03/2025","39.20","34.00","39.20","34.00","4.33M","15.46%"
"07/27/2025","33.95","33.00","34.15","32.13","6.11M","2.88%"
"07/20/2025","33.00","32.50","33.45","32.00","7.80M","1.54%"
"07/13/2025","32.50","31.99","33.90","31.46","16.61M","1.59%"
"07/06/2025","31.99","31.25","32.32","31.02","10.04M","2.37%"
"06/29/2025","31.25","30.40","31.90","29.80","26.17M","2.46%"
"06/22/2025","30.50","27.67","30.78","26.60","8.00M","9.52%"
"06/15/2025","27.85","29.10","30.50","27.55","11.56M","-10.85%"
"06/08/2025","31.24","32.30","32.39","29.72","2.86M","-3.28%"
"06/01/2025","32.30","33.35","33.38","31.75","6.71M","-3.15%"
"05/25/2025","33.35","32.83","33.35","31.75","1.97M","2.43%"
"05/18/2025","32.56","34.50","34.93","31.65","2.60M","-6.68%"
"05/11/2025","34.89","34.68","35.00","34.00","1.06M","0.61%"
"05/04/2025","34.68","35.00","35.50","34.20","18.07M","-0.91%"
"04/27/2025","35.00","34.00","35.84","34.00","2.88M","2.55%"
"04/20/2025","34.13","33.52","35.00","33.02","2.06M","0.98%"
"04/13/2025","33.80","33.53","34.85","33.16","2.59M","0.84%"
"04/06/2025","33.52","32.37","34.99","31.00","12.84M","2.13%"
"03/30/2025","32.82","32.90","32.98","32.19","230.26K","-1.29%"
"03/23/2025","33.25","33.00","33.45","32.00","7.56M","0.76%"
"03/16/2025","33.00","31.11","33.00","30.25","3.90M","6.08%"
"03/09/2025","31.11","31.20","31.55","30.00","15.68M","-0.45%"
"03/02/2025","31.25","31.10","32.00","30.56","8.54M","0.81%"
"02/23/2025","31.00","31.25","31.59","30.77","9.71M","-0.64%"
"02/16/2025","31.20","31.50","32.00","30.50","9.03M","-1.11%"
"02/09/2025","31.55","29.95","31.70","29.06","6.45M","5.34%"
"02/02/2025","29.95","29.13","30.13","27.86","2.88M","2.81%"
"01/26/2025","29.13","28.80","29.33","28.06","2.00M","1.32%"
"01/19/2025","28.75","27.60","30.20","27.01","5.80M","4.47%"
"01/12/2025","27.52","27.45","28.18","27.00","4.04M","0.44%"
"01/05/2025","27.40","29.50","29.50","24.00","3.56M","-6.26%"
"12/29/2024","29.23","29.45","29.69","28.40","1.56M","-0.61%"
"12/22/2024","29.41","29.45","29.85","29.00","538.19K","-0.14%"
"12/15/2024","29.45","29.60","30.00","29.05","2.00M","-1.83%"
"12/08/2024","30.00","28.91","30.24","28.51","9.06M","3.81%"
"12/01/2024","28.90","27.20","32.00","27.03","15.87M","6.52%"
"11/24/2024","27.13","27.50","28.00","26.80","7.76M","-1.35%"
"11/17/2024","27.50","27.50","27.70","26.60","2.23M","0.36%"
"11/10/2024","27.40","28.00","28.25","26.51","3.90M","-2.84%"
"11/03/2024","28.20","27.03","28.33","26.96","7.25M","3.30%"
"10/27/2024","27.30","27.80","27.80","27.00","7.36M","-1.44%"
"10/20/2024","27.70","27.01","28.40","24.00","10.56M","2.59%"
"10/13/2024","27.00","27.61","29.97","26.15","7.04M","-1.82%"
"10/06/2024","27.50","26.80","28.00","26.80","6.16M","2.84%"
"09/29/2024","26.74","26.16","26.74","25.02","8.41M","2.77%"
"09/22/2024","26.02","26.00","26.20","25.29","4.25M","0.08%"
"09/15/2024","26.00","25.45","26.00","24.91","21.14M","2.40%"
"09/08/2024","25.39","24.50","25.50","23.79","16.28M","3.63%"
"09/01/2024","24.50","25.60","26.44","24.25","30.04M","-3.73%"
"08/25/2024","25.45","23.38","26.00","22.46","17.81M","8.30%"
"08/18/2024","23.50","22.05","23.50","21.69","5.16M","6.33%"
"08/11/2024","22.10","22.15","24.00","21.90","9.21M","0.23%"
"08/04/2024","22.05","22.30","23.00","20.61","7.81M","-3.96%"
