"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","202.83","220.59","220.59","180.33","134.60K","-8.07%"
"03/22/2026","220.64","218.88","223.00","216.62","46.18K","1.16%"
"03/15/2026","218.11","218.00","223.80","215.01","67.73K","-0.32%"
"03/08/2026","218.80","202.41","224.96","201.30","424.52K","7.78%"
"03/01/2026","203.00","205.00","208.30","190.20","101.33K","-2.44%"
"02/22/2026","208.07","212.80","220.00","205.00","34.00K","-1.45%"
"02/15/2026","211.14","215.66","216.50","208.00","122.16K","-2.10%"
"02/08/2026","215.66","216.90","222.00","214.05","30.76K","0.19%"
"02/01/2026","215.25","216.00","222.57","211.12","51.18K","-0.86%"
"01/25/2026","217.12","224.00","229.80","216.00","243.08K","-3.07%"
"01/18/2026","224.00","223.90","232.00","222.00","57.54K","0.59%"
"01/11/2026","222.68","224.06","228.90","216.00","64.22K","-0.58%"
"01/04/2026","223.98","224.00","239.80","222.10","270.54K","0.25%"
"12/28/2025","223.42","221.51","225.99","220.00","37.96K","0.85%"
"12/21/2025","221.54","224.89","230.25","221.50","89.28K","-1.49%"
"12/14/2025","224.89","227.00","233.00","215.51","91.68K","-0.63%"
"12/07/2025","226.32","206.99","232.90","202.95","189.23K","10.06%"
"11/30/2025","205.63","208.85","218.00","195.70","124.40K","-0.45%"
"11/23/2025","206.56","220.00","221.00","200.10","68.35K","-5.70%"
"11/16/2025","219.05","215.00","228.00","206.04","137.31K","3.42%"
"11/09/2025","211.80","199.90","232.90","199.90","306.70K","5.97%"
"11/02/2025","199.86","203.00","205.00","192.20","111.08K","-0.07%"
"10/26/2025","200.00","191.70","209.80","189.00","196.83K","4.72%"
"10/19/2025","190.98","185.95","200.00","185.00","83.60K","3.15%"
"10/12/2025","185.15","183.65","185.90","182.50","263.78K","0.86%"
"10/05/2025","183.58","183.10","185.90","182.83","99.72K","0.36%"
"09/28/2025","182.93","183.55","188.94","181.01","141.37K","-1.43%"
"09/21/2025","185.58","181.48","192.44","178.80","143.97K","3.75%"
"09/14/2025","178.87","180.00","186.70","162.30","140.62K","0.13%"
"09/07/2025","178.63","187.99","187.99","177.00","79.52K","-3.53%"
"08/31/2025","185.17","181.00","199.44","180.50","284.17K","2.33%"
"08/24/2025","180.95","177.00","182.98","177.00","156.52K","1.65%"
"08/17/2025","178.02","180.00","186.00","175.00","61.22K","-0.96%"
