"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","30.500","31.290","31.500","30.140","912.07K","-1.49%"
"03/22/2026","30.960","31.500","31.530","30.600","688.89K","-0.29%"
"03/15/2026","31.050","31.700","31.710","30.900","796.64K","-1.37%"
"03/08/2026","31.480","31.850","32.310","30.980","798.67K","-0.10%"
"03/01/2026","31.510","31.360","32.490","30.420","1.74M","-4.54%"
"02/22/2026","33.010","33.410","34.340","32.000","1.08M","-1.23%"
"02/15/2026","33.420","36.090","37.980","33.150","1.42M","-7.63%"
"02/08/2026","36.180","32.000","38.940","31.900","2.43M","12.89%"
"02/01/2026","32.050","31.470","32.400","31.110","860.19K","2.46%"
"01/25/2026","31.280","33.850","33.790","31.100","864.45K","-7.59%"
"01/18/2026","33.850","31.520","34.850","31.360","1.10M","8.04%"
"01/11/2026","31.330","33.440","33.890","30.020","1.48M","-6.20%"
"01/04/2026","33.400","34.900","36.000","33.000","992.63K","-4.60%"
"12/28/2025","35.010","35.640","36.830","33.150","1.18M","0.66%"
"12/21/2025","34.780","33.250","34.970","32.700","1.67M","5.55%"
"12/14/2025","32.950","33.380","34.880","32.600","1.77M","-6.21%"
"12/07/2025","35.130","35.420","36.970","34.500","977.55K","-0.82%"
"11/30/2025","35.420","36.490","37.500","34.610","1.44M","-3.36%"
"11/23/2025","36.650","36.980","39.760","36.540","1.44M","-0.33%"
"11/16/2025","36.770","38.990","39.860","36.030","2.14M","-5.55%"
"11/09/2025","38.930","42.000","44.000","38.670","1.70M","-7.49%"
"11/02/2025","42.080","42.330","43.990","36.300","4.85M","4.37%"
"10/26/2025","40.320","44.790","49.370","40.320","2.16M","-5.49%"
"10/19/2025","42.660","34.550","42.660","33.440","2.55M","27.57%"
"10/12/2025","33.440","27.530","33.440","27.350","1.99M","27.54%"
"10/05/2025","26.220","27.980","28.640","24.560","1.98M","-1.61%"
"09/28/2025","26.650","25.850","26.650","22.050","1.48M","4.43%"
"09/21/2025","25.520","27.020","28.250","24.800","1.56M","-5.76%"
"09/14/2025","27.080","28.500","29.400","26.420","1.63M","-4.98%"
"09/07/2025","28.500","29.550","30.000","27.050","1.32M","-3.46%"
"08/31/2025","29.520","29.900","30.920","28.870","1.09M","0.24%"
"08/24/2025","29.450","29.000","31.500","26.240","2.38M","-3.51%"
"08/17/2025","30.520","33.500","33.890","30.030","1.85M","-8.27%"
"08/10/2025","33.270","31.690","35.280","31.310","1.26M","5.55%"
"08/03/2025","31.520","35.070","35.090","30.500","1.26M","-10.17%"
"07/27/2025","35.090","33.010","35.800","32.600","1.45M","7.31%"
"07/20/2025","32.700","34.000","34.420","32.510","778.61K","-4.08%"
"07/13/2025","34.090","34.740","36.000","32.800","1.02M","-0.87%"
"07/06/2025","34.390","37.800","38.490","32.710","1.15M","-8.92%"
"06/29/2025","37.760","37.320","38.700","35.800","1.59M","6.22%"
"06/22/2025","35.550","27.870","35.550","27.860","537.47K","21.46%"
"06/15/2025","29.270","34.930","36.670","29.260","2.56M","-20.38%"
"06/08/2025","36.760","39.500","39.500","36.760","897.33K","-5.60%"
"06/01/2025","38.940","39.010","40.190","38.050","611.12K","0.62%"
"05/25/2025","38.700","39.490","41.500","38.510","992.06K","-1.05%"
"05/18/2025","39.110","41.500","42.000","38.660","1.03M","-4.77%"
"05/11/2025","41.070","42.650","43.890","40.640","742.31K","-3.61%"
"05/04/2025","42.610","44.250","44.250","42.300","611.30K","-3.88%"
"04/27/2025","44.330","41.010","44.500","41.010","887.40K","7.78%"
"04/20/2025","41.130","40.800","41.670","40.500","468.53K","1.28%"
"04/13/2025","40.610","42.000","44.000","40.500","1.04M","-2.66%"
"04/06/2025","41.720","42.480","44.200","39.510","1.25M","-3.43%"
"03/30/2025","43.200","44.050","44.480","43.000","188.30K","-2.24%"
"03/23/2025","44.190","41.990","46.080","41.770","1.02M","5.62%"
"03/16/2025","41.840","40.410","42.750","39.670","1.27M","4.52%"
"03/09/2025","40.030","40.100","41.000","39.260","977.97K","-0.30%"
"03/02/2025","40.150","42.650","42.700","39.540","1.21M","-6.28%"
"02/23/2025","42.840","42.100","46.080","38.010","2.35M","2.00%"
"02/16/2025","42.000","49.000","49.400","41.850","2.09M","-13.24%"
"02/09/2025","48.410","49.210","49.680","47.010","1.29M","-2.00%"
"02/02/2025","49.400","47.840","50.400","47.300","1.54M","3.26%"
"01/26/2025","47.840","47.100","48.850","45.910","1.29M","1.57%"
"01/19/2025","47.100","48.000","49.480","46.800","1.31M","-1.40%"
"01/12/2025","47.770","49.880","49.880","46.810","1.82M","-4.31%"
"01/05/2025","49.920","48.200","52.190","46.600","1.56M","4.81%"
"12/29/2024","47.630","48.000","49.000","47.000","891.04K","-0.92%"
"12/22/2024","48.070","51.500","51.500","46.500","1.53M","-4.51%"
"12/15/2024","50.340","50.600","51.000","47.130","2.07M","-0.98%"
"12/08/2024","50.840","51.170","52.870","49.550","1.59M","0.06%"
"12/01/2024","50.810","49.020","51.450","46.570","2.23M","-1.51%"
"11/24/2024","51.590","52.130","56.750","50.010","2.80M","3.66%"
"11/17/2024","49.770","46.140","49.770","43.900","3.02M","13.24%"
"11/10/2024","43.950","37.590","43.950","35.500","1.82M","15.87%"
"11/03/2024","37.930","38.650","40.750","36.800","1.55M","2.49%"
"10/27/2024","37.010","37.740","39.620","33.530","1.76M","2.95%"
"10/20/2024","35.950","33.600","35.950","32.930","1.15M","6.87%"
"10/13/2024","33.640","35.390","35.980","32.020","1.40M","-3.00%"
"10/06/2024","34.680","36.000","37.500","34.470","1.48M","-3.72%"
"09/29/2024","36.020","37.410","38.730","35.700","1.39M","-3.72%"
"09/22/2024","37.410","39.400","39.880","36.900","1.02M","-4.86%"
"09/15/2024","39.320","38.230","39.410","35.070","1.25M","1.21%"
"09/08/2024","38.850","42.640","42.640","38.000","1.09M","-4.55%"
"09/01/2024","40.700","44.260","44.260","38.820","1.77M","-7.71%"
"08/25/2024","44.100","40.600","44.690","38.000","1.94M","8.65%"
"08/18/2024","40.590","35.230","42.790","34.500","2.13M","20.95%"
"08/11/2024","33.560","36.990","38.880","33.000","1.96M","-10.86%"
"08/04/2024","37.650","40.060","40.450","35.250","2.81M","-8.39%"
"07/28/2024","41.100","44.480","46.580","40.150","3.87M","-12.22%"
"07/21/2024","46.820","44.710","51.740","44.710","2.29M","9.93%"
"07/14/2024","42.590","35.050","42.590","33.500","2.83M","27.55%"
"07/07/2024","33.390","28.850","33.390","28.850","528.81K","21.51%"
"06/30/2024","27.480","23.760","27.480","23.760","4.01M","21.43%"
