"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","27.99","28.60","29.50","27.82","2.56M","-2.10%"
"03/22/2026","28.59","26.90","29.80","26.90","3.11M","6.40%"
"03/15/2026","26.87","26.50","27.00","25.80","603.09K","1.51%"
"03/08/2026","26.47","25.77","27.50","25.30","1.23M","2.76%"
"03/01/2026","25.76","24.99","26.38","24.05","1.03M","-3.48%"
"02/22/2026","26.69","28.00","28.46","25.50","1.50M","-4.54%"
"02/15/2026","27.96","27.22","28.85","27.22","3.52M","2.72%"
"02/08/2026","27.22","26.50","27.90","26.33","3.17M","3.70%"
"02/01/2026","26.25","25.70","27.29","25.55","1.57M","0.73%"
"01/25/2026","26.06","26.26","26.68","25.25","1.14M","-0.76%"
"01/18/2026","26.26","25.23","26.45","24.91","2.22M","6.14%"
"01/11/2026","24.74","27.94","28.25","24.48","5.34M","-11.45%"
"01/04/2026","27.94","28.60","29.13","27.76","837.27K","-1.96%"
"12/28/2025","28.50","28.29","29.57","28.00","1.49M","1.50%"
"12/21/2025","28.08","28.30","28.60","27.55","897.52K","-0.67%"
"12/14/2025","28.27","28.00","29.70","27.50","3.90M","2.61%"
"12/07/2025","27.55","26.70","28.56","26.50","5.13M","4.51%"
"11/30/2025","26.36","26.75","27.59","26.26","2.90M","-0.60%"
"11/23/2025","26.52","29.26","29.39","26.41","1.98M","-8.24%"
"11/16/2025","28.90","29.21","30.80","28.80","3.30M","0.10%"
"11/09/2025","28.87","29.47","29.59","28.07","2.51M","-1.74%"
"11/02/2025","29.38","29.78","31.24","28.89","5.56M","0.38%"
"10/26/2025","29.27","30.51","30.93","27.65","1.57M","-4.03%"
"10/19/2025","30.50","31.47","32.25","25.65","5.40M","-3.08%"
"10/12/2025","31.47","33.80","33.90","31.33","3.74M","-6.89%"
"10/05/2025","33.80","35.85","36.00","33.70","3.20M","-4.98%"
"09/28/2025","35.57","33.80","36.00","33.25","4.03M","5.14%"
"09/21/2025","33.83","34.68","34.69","31.87","1.63M","-2.45%"
"09/14/2025","34.68","36.40","37.19","33.52","2.87M","-4.33%"
"09/07/2025","36.25","34.93","36.25","33.30","5.74M","4.20%"
"08/31/2025","34.79","33.23","35.05","32.60","2.82M","4.76%"
"08/24/2025","33.21","34.99","35.00","32.88","2.64M","-5.11%"
"08/17/2025","35.00","33.31","36.00","33.03","7.88M","5.11%"
"08/10/2025","33.30","35.20","35.34","33.30","3.86M","-5.53%"
"08/03/2025","35.25","33.50","36.30","33.30","7.60M","6.17%"
"07/27/2025","33.20","33.93","34.17","31.21","2.82M","-2.15%"
"07/20/2025","33.93","33.30","34.88","31.51","4.47M","2.97%"
"07/13/2025","32.95","35.00","35.50","31.77","5.47M","-5.15%"
"07/06/2025","34.74","33.99","35.01","32.37","7.43M","5.11%"
"06/29/2025","33.05","28.49","33.50","28.49","17.56M","19.27%"
"06/22/2025","27.71","24.91","28.10","24.60","10.06M","9.05%"
"06/15/2025","25.41","22.70","26.50","21.30","12.12M","5.04%"
"06/08/2025","24.19","23.12","24.80","23.11","6.29M","4.90%"
"06/01/2025","23.06","21.03","23.58","21.00","8.07M","9.81%"
"05/25/2025","21.00","20.69","21.60","20.61","2.72M","2.09%"
"05/18/2025","20.57","21.16","21.30","19.90","1.61M","-2.74%"
"05/11/2025","21.15","21.60","22.15","21.08","2.59M","-1.81%"
"05/04/2025","21.54","21.51","21.84","21.30","2.87M","1.46%"
"04/27/2025","21.23","20.59","21.85","20.50","2.94M","3.66%"
"04/20/2025","20.48","20.30","20.62","20.26","529.45K","0.94%"
"04/13/2025","20.29","20.00","21.30","19.97","2.46M","2.47%"
"04/06/2025","19.80","20.70","20.70","19.20","1.57M","-6.43%"
"03/30/2025","21.16","20.93","21.40","20.93","404.77K","1.05%"
"03/23/2025","20.94","21.31","21.81","20.85","2.27M","-1.51%"
"03/16/2025","21.26","22.48","22.69","21.23","1.94M","-5.43%"
"03/09/2025","22.48","22.83","23.29","21.82","2.30M","-1.53%"
"03/02/2025","22.83","23.44","23.70","22.52","1.69M","-2.44%"
"02/23/2025","23.40","23.50","23.57","22.70","2.33M","0.39%"
"02/16/2025","23.31","21.77","23.57","21.75","2.34M","8.07%"
"02/09/2025","21.57","23.39","23.39","21.36","923.90K","-7.03%"
"02/02/2025","23.20","23.91","24.90","23.00","3.45M","-2.52%"
"01/26/2025","23.80","22.97","24.00","22.30","2.83M","4.71%"
"01/19/2025","22.73","22.19","25.00","22.19","7.70M","3.13%"
"01/12/2025","22.04","21.81","22.40","21.25","1.55M","0.41%"
"01/05/2025","21.95","22.48","22.80","21.81","1.40M","-0.95%"
"12/29/2024","22.16","22.40","22.49","21.11","613.03K","-0.63%"
"12/22/2024","22.30","22.60","23.87","22.10","3.00M","-0.89%"
"12/15/2024","22.50","25.08","25.25","22.22","2.88M","-9.64%"
"12/08/2024","24.90","24.36","25.40","23.81","3.25M","2.26%"
"12/01/2024","24.35","24.79","25.25","24.30","2.70M","-1.42%"
"11/24/2024","24.70","24.70","25.37","24.27","2.75M","0.00%"
"11/17/2024","24.70","26.69","26.69","24.51","2.29M","-6.76%"
"11/10/2024","26.49","27.26","27.46","26.10","2.78M","-2.25%"
"11/03/2024","27.10","28.20","28.74","27.09","5.89M","-3.21%"
"10/27/2024","28.00","26.36","28.87","25.66","10.65M","6.59%"
"10/20/2024","26.27","27.39","29.30","25.61","9.06M","-3.49%"
"10/13/2024","27.22","25.00","30.49","24.70","22.78M","10.70%"
"10/06/2024","24.59","22.00","27.24","21.70","22.72M","12.80%"
"09/29/2024","21.80","18.42","22.37","18.28","16.62M","18.48%"
"09/22/2024","18.40","18.57","19.20","18.03","3.74M","-0.65%"
"09/15/2024","18.52","18.69","18.92","18.22","1.22M","-0.11%"
"09/08/2024","18.54","19.50","19.54","18.05","1.40M","-4.97%"
"09/01/2024","19.51","20.20","20.55","19.51","4.65M","-3.42%"
"08/25/2024","20.20","18.43","20.22","18.43","7.78M","9.66%"
"08/18/2024","18.42","18.11","19.50","18.10","6.30M","2.45%"
"08/11/2024","17.98","17.50","18.49","17.27","3.31M","2.92%"
"08/04/2024","17.47","17.90","18.00","15.70","2.62M","-4.38%"
"07/28/2024","18.27","18.10","18.65","17.73","2.92M","1.44%"
"07/21/2024","18.01","18.40","18.66","18.00","3.18M","-2.01%"
"07/14/2024","18.38","17.30","18.80","16.64","5.78M","7.11%"
"07/07/2024","17.16","16.78","18.10","16.78","5.03M","3.75%"
"06/30/2024","16.54","16.22","17.09","16.22","3.68M","2.10%"
"06/23/2024","16.20","15.36","16.55","15.35","4.17M","5.68%"
"06/09/2024","15.33","15.66","16.32","15.03","5.05M","-2.91%"
"06/02/2024","15.79","16.16","16.65","15.72","2.16M","-2.17%"
"05/26/2024","16.14","15.26","16.70","15.25","3.66M","6.25%"
"05/19/2024","15.19","14.69","16.00","14.65","3.81M","3.97%"
"05/12/2024","14.61","14.57","14.68","12.02","2.09M","1.32%"
"05/05/2024","14.42","14.10","15.12","13.92","1.20M","1.76%"
"04/28/2024","14.17","15.62","15.80","13.10","2.36M","-7.33%"
"04/21/2024","15.29","17.41","18.38","15.21","1.84M","-12.18%"
"04/14/2024","17.41","16.70","19.41","16.66","5.04M","4.25%"
"04/07/2024","16.70","16.90","17.23","16.42","472.70K","-1.18%"
"03/31/2024","16.90","15.63","17.07","15.00","2.24M","8.13%"
"03/24/2024","15.63","18.00","18.43","15.55","1.71M","-13.17%"
"03/17/2024","18.00","19.51","19.87","14.85","2.84M","-7.74%"
"03/10/2024","19.51","20.65","21.80","18.85","2.75M","-5.52%"
"03/03/2024","20.65","20.92","25.10","20.47","6.63M","-1.29%"
"02/25/2024","20.92","24.11","24.00","20.35","3.64M","-13.23%"
"02/18/2024","24.11","24.10","25.79","23.62","6.05M","0.04%"
"02/11/2024","24.10","25.01","25.49","23.50","7.40M","-3.64%"
"02/04/2024","25.01","20.08","27.00","19.40","16.73M","24.55%"
"01/28/2024","20.08","22.68","22.95","18.00","7.10M","-9.96%"
"01/21/2024","22.30","22.23","23.79","21.81","6.50M","1.50%"
"01/14/2024","21.97","22.27","22.69","21.40","5.53M","-1.04%"
"01/07/2024","22.20","23.00","23.40","21.80","6.74M","-3.10%"
"12/31/2023","22.91","23.90","24.29","22.80","6.69M","-3.21%"
"12/24/2023","23.67","23.55","24.77","23.10","10.68M","2.20%"
