"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","7.410","7.570","7.690","7.230","2.30M","-2.11%"
"03/22/2026","7.570","7.400","7.850","7.260","4.16M","3.56%"
"03/15/2026","7.310","7.290","7.340","7.050","1.55M","0.27%"
"03/08/2026","7.290","7.190","7.440","6.910","3.25M","1.39%"
"03/01/2026","7.190","6.900","7.250","6.680","3.37M","-3.23%"
"02/22/2026","7.430","7.650","7.780","7.350","12.49M","-2.75%"
"02/15/2026","7.640","7.890","7.980","7.630","2.99M","-2.80%"
"02/08/2026","7.860","7.980","8.060","7.780","7.33M","-1.01%"
"02/01/2026","7.940","7.650","8.200","7.300","13.37M","3.12%"
"01/25/2026","7.700","7.710","7.850","7.260","2.66M","-0.13%"
"01/18/2026","7.710","7.540","7.850","7.520","2.48M","2.25%"
"01/11/2026","7.540","8.040","8.140","7.510","3.86M","-6.10%"
"01/04/2026","8.030","8.170","8.270","8.020","3.09M","-1.47%"
"12/28/2025","8.150","8.330","8.560","8.150","11.21M","-1.21%"
"12/21/2025","8.250","8.000","8.440","7.960","32.77M","3.64%"
"12/14/2025","7.960","7.930","8.230","7.900","6.16M","0.38%"
"12/07/2025","7.930","8.000","8.130","7.840","4.79M","0.38%"
"11/30/2025","7.900","7.800","8.140","7.550","8.08M","1.54%"
"11/23/2025","7.780","8.240","8.240","7.730","6.51M","-5.47%"
"11/16/2025","8.230","8.360","8.400","8.000","7.68M","-0.96%"
"11/09/2025","8.310","8.800","8.900","8.070","12.88M","-4.81%"
"11/02/2025","8.730","8.880","9.410","8.670","17.28M","-0.91%"
"10/26/2025","8.810","8.900","9.170","8.700","10.36M","0.46%"
"10/19/2025","8.770","8.770","9.220","8.610","15.84M","0.11%"
"10/12/2025","8.760","9.000","9.050","8.600","7.55M","-2.01%"
"10/05/2025","8.940","9.250","9.350","8.850","8.45M","-2.61%"
"09/28/2025","9.180","9.400","9.690","9.000","18.32M","-0.97%"
"09/21/2025","9.270","9.480","9.700","8.930","21.83M","-0.96%"
"09/14/2025","9.360","8.370","9.360","8.030","58.83M","11.83%"
"09/07/2025","8.370","8.320","8.960","8.200","15.17M","3.98%"
"08/31/2025","8.050","8.560","8.700","8.050","4.71M","-5.07%"
"08/24/2025","8.480","8.020","8.620","7.950","23.23M","5.87%"
"08/17/2025","8.010","7.970","8.280","7.850","5.57M","2.04%"
"08/10/2025","7.850","8.150","8.240","7.810","3.67M","-3.33%"
"08/03/2025","8.120","7.970","8.340","7.970","4.65M","1.88%"
"07/27/2025","7.970","8.190","8.230","7.800","12.49M","-2.45%"
"07/20/2025","8.170","8.310","8.400","8.090","4.55M","-1.33%"
