"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","7.51","7.26","7.78","7.11","12.79M","3.30%"
"03/22/2026","7.27","7.35","7.55","7.24","3.64M","-0.95%"
"03/15/2026","7.34","7.61","7.70","7.11","5.11M","-3.42%"
"03/08/2026","7.60","7.30","8.20","7.20","40.75M","4.40%"
"03/01/2026","7.28","6.66","7.43","6.37","12.44M","4.00%"
"02/22/2026","7.00","7.21","7.42","6.82","11.47M","-2.37%"
"02/15/2026","7.17","7.80","8.00","7.10","28.64M","-7.72%"
"02/08/2026","7.77","7.74","7.99","7.72","8.15M","0.65%"
"02/01/2026","7.72","7.55","8.04","7.45","11.86M","2.52%"
"01/25/2026","7.53","7.68","8.13","7.50","20.86M","-1.95%"
"01/18/2026","7.68","7.27","7.89","7.27","13.43M","6.37%"
"01/11/2026","7.22","7.58","7.80","7.09","15.36M","-4.75%"
"01/04/2026","7.58","8.05","8.18","7.46","8.25M","-5.84%"
"12/28/2025","8.05","8.30","8.41","7.77","17.52M","-3.01%"
"12/21/2025","8.30","8.22","8.45","7.71","42.34M","1.22%"
"12/14/2025","8.20","6.72","8.29","6.67","98.45M","22.57%"
"12/07/2025","6.69","6.37","6.79","6.37","17.71M","6.70%"
"11/30/2025","6.27","6.24","6.43","6.12","7.63M","1.62%"
"11/23/2025","6.17","6.59","6.67","6.15","13.19M","-5.22%"
"11/16/2025","6.51","6.40","6.59","6.23","17.29M","1.88%"
"11/09/2025","6.39","6.65","6.76","6.17","37.99M","-3.91%"
"11/02/2025","6.65","6.68","7.05","6.59","33.32M","-0.75%"
"10/26/2025","6.70","6.85","6.99","6.65","12.50M","-2.05%"
"10/19/2025","6.84","6.78","7.25","6.62","37.30M","1.63%"
"10/12/2025","6.73","6.68","6.98","6.65","19.63M","1.20%"
"10/05/2025","6.65","6.73","7.13","6.64","16.66M","-1.04%"
"09/28/2025","6.72","6.87","7.10","6.63","16.92M","-1.90%"
"09/21/2025","6.85","6.48","6.95","6.18","27.93M","5.38%"
"09/14/2025","6.50","6.03","6.54","6.01","38.06M","9.61%"
"09/07/2025","5.93","5.80","6.13","5.65","16.09M","2.60%"
"08/31/2025","5.78","5.92","5.97","5.60","12.32M","-2.03%"
"08/24/2025","5.90","6.10","6.15","5.83","11.70M","-3.28%"
"08/17/2025","6.10","6.08","6.33","6.00","11.66M","0.83%"
"08/10/2025","6.05","6.59","6.62","6.04","15.16M","-7.49%"
"08/03/2025","6.54","6.81","6.98","6.53","11.47M","-3.82%"
"07/27/2025","6.80","7.34","7.38","6.76","11.65M","-7.10%"
"07/20/2025","7.32","6.85","7.41","6.85","30.08M","6.86%"
