"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","33.03","33.21","33.97","32.40","254.01K","-2.62%"
"03/22/2026","33.92","33.40","34.70","33.00","481.02K","2.17%"
"03/15/2026","33.20","32.48","33.40","32.10","334.31K","2.75%"
"03/08/2026","32.31","32.27","32.74","31.82","591.05K","1.22%"
"03/01/2026","31.92","29.73","32.69","29.72","741.86K","-2.36%"
"02/22/2026","32.69","33.18","34.15","31.24","775.54K","-1.60%"
"02/15/2026","33.22","32.38","35.80","32.38","3.05M","2.50%"
"02/08/2026","32.41","33.27","34.23","32.18","620.06K","-2.35%"
"02/01/2026","33.19","31.00","33.84","30.00","1.08M","8.82%"
"01/25/2026","30.50","31.59","31.99","30.30","743.89K","-3.45%"
"01/18/2026","31.59","30.88","32.47","30.61","758.70K","3.98%"
"01/11/2026","30.38","33.25","33.60","30.21","851.38K","-8.33%"
"01/04/2026","33.14","34.00","34.96","33.10","811.69K","-1.95%"
"12/28/2025","33.80","34.25","34.87","33.60","1.01M","-0.56%"
"12/21/2025","33.99","34.15","35.40","33.71","1.57M","0.09%"
"12/14/2025","33.96","34.08","34.15","33.03","887.77K","0.47%"
"12/07/2025","33.80","34.30","34.90","33.60","1.64M","-0.88%"
"11/30/2025","34.10","33.50","35.39","31.77","7.09M","2.25%"
"11/23/2025","33.35","35.63","35.93","33.30","725.18K","-5.50%"
"11/16/2025","35.29","35.37","36.44","34.93","1.19M","-0.25%"
"11/09/2025","35.38","36.16","36.48","34.86","754.41K","-2.02%"
"11/02/2025","36.11","36.42","37.15","35.90","1.18M","-0.08%"
"10/26/2025","36.14","36.35","36.75","35.85","1.08M","-0.14%"
"10/19/2025","36.19","36.50","37.30","35.71","1.32M","0.08%"
"10/12/2025","36.16","35.51","36.66","35.17","995.06K","1.69%"
"10/05/2025","35.56","35.56","36.39","35.30","616.64K","0.31%"
"09/28/2025","35.45","35.39","37.18","35.10","1.70M","0.51%"
"09/21/2025","35.27","35.78","36.00","35.00","828.30K","-1.37%"
"09/14/2025","35.76","38.50","38.50","35.02","1.76M","-6.12%"
"09/07/2025","38.09","34.95","39.08","33.85","5.14M","9.77%"
"08/31/2025","34.70","32.71","36.50","32.71","3.94M","6.54%"
"08/24/2025","32.57","31.61","33.40","31.61","1.15M","3.30%"
"08/17/2025","31.53","32.90","34.00","31.50","3.13M","-1.93%"
"08/10/2025","32.15","31.30","32.88","30.20","2.12M","3.28%"
"08/03/2025","31.13","31.00","31.56","29.80","978.87K","0.81%"
"07/27/2025","30.88","32.02","33.25","30.84","1.31M","-3.17%"
"07/20/2025","31.89","32.47","33.20","30.55","1.40M","-0.87%"
"07/13/2025","32.17","32.65","36.00","31.90","4.02M","-2.49%"
"07/06/2025","32.99","30.15","33.98","29.40","1.85M","9.78%"
"06/29/2025","30.05","28.30","31.00","28.30","1.54M","6.18%"
"06/22/2025","28.30","25.48","28.39","23.90","435.15K","9.90%"
"06/15/2025","25.75","27.89","27.98","25.50","709.65K","-10.75%"
"06/08/2025","28.85","30.77","31.39","28.50","945.76K","-5.56%"
"06/01/2025","30.55","29.14","31.65","28.90","2.09M","5.42%"
"05/25/2025","28.98","27.99","29.40","27.74","977.12K","4.66%"
"05/18/2025","27.69","28.41","28.80","27.15","373.62K","-2.16%"
"05/11/2025","28.30","28.60","28.97","27.92","514.49K","-0.81%"
"05/04/2025","28.53","28.57","29.77","28.23","1.08M","0.49%"
"04/27/2025","28.39","28.00","29.00","27.81","974.68K","2.45%"
"04/20/2025","27.71","26.92","28.09","26.90","649.78K","2.74%"
"04/13/2025","26.97","26.30","27.70","26.30","673.86K","2.86%"
"04/06/2025","26.22","26.10","27.38","25.71","665.41K","-8.06%"
"03/30/2025","28.52","28.36","28.70","28.03","62.35K","0.32%"
"03/23/2025","28.43","29.00","29.24","28.06","322.08K","-1.25%"
"03/16/2025","28.79","29.00","29.97","27.86","784.06K","0.07%"
"03/09/2025","28.77","26.80","29.55","26.70","1.21M","7.51%"
"03/02/2025","26.76","27.36","28.00","26.55","240.15K","-2.62%"
"02/23/2025","27.48","27.92","28.50","27.01","369.26K","-1.58%"
"02/16/2025","27.92","27.31","28.82","27.31","540.36K","2.57%"
"02/09/2025","27.22","28.81","29.44","26.03","469.42K","-5.26%"
"02/02/2025","28.73","29.16","29.60","28.30","674.76K","-1.51%"
"01/26/2025","29.17","29.59","30.10","28.80","710.10K","-1.19%"
"01/19/2025","29.52","29.32","31.10","29.08","1.95M","0.92%"
"01/12/2025","29.25","29.05","29.63","27.41","676.71K","-1.55%"
"01/05/2025","29.71","30.11","31.22","29.55","686.36K","-1.00%"
"12/29/2024","30.01","30.10","30.49","28.36","556.21K","-0.33%"
"12/22/2024","30.11","32.56","32.96","29.77","1.10M","-7.52%"
"12/15/2024","32.56","31.75","34.50","31.20","4.21M","4.29%"
"12/08/2024","31.22","31.79","32.49","31.00","1.05M","-1.01%"
"12/01/2024","31.54","31.70","32.21","31.30","661.06K","0.99%"
"11/24/2024","31.23","33.29","33.49","30.80","463.20K","-5.36%"
"11/17/2024","33.00","35.00","35.22","32.60","843.24K","-5.61%"
"11/10/2024","34.96","34.90","35.69","34.43","1.65M","0.72%"
"11/03/2024","34.71","34.48","35.00","33.72","1.70M","1.34%"
