"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","36.98","36.80","38.99","36.07","28.02K","-2.58%"
"03/22/2026","37.96","37.13","39.00","36.80","25.20K","-1.94%"
"03/15/2026","38.71","38.40","40.00","37.16","17.85K","-1.55%"
"03/08/2026","39.32","38.33","41.60","36.81","60.94K","3.47%"
"03/01/2026","38.00","34.47","38.40","34.00","47.52K","7.22%"
"02/22/2026","35.44","36.97","36.97","33.73","50.30K","-1.64%"
"02/15/2026","36.03","38.99","38.99","35.90","41.51K","-7.12%"
"02/08/2026","38.79","38.00","39.80","36.06","49.21K","-0.36%"
"02/01/2026","38.93","35.86","39.35","35.86","22.66K","3.34%"
"01/25/2026","37.67","39.63","40.20","35.85","66.30K","-4.95%"
"01/18/2026","39.63","38.18","41.39","38.00","40.42K","4.70%"
"01/11/2026","37.85","42.30","44.00","37.65","91.91K","-12.73%"
"01/04/2026","43.37","42.00","45.86","38.27","178.36K","8.10%"
"12/28/2025","40.12","42.53","43.00","39.00","379.02K","-5.60%"
"12/21/2025","42.50","44.65","47.00","41.20","292.18K","-9.57%"
"12/14/2025","47.00","44.83","51.70","44.50","453.12K","10.07%"
"12/07/2025","42.70","36.00","43.32","35.82","242.19K","19.24%"
"11/30/2025","35.81","36.98","37.49","35.26","126.97K","-0.53%"
"11/23/2025","36.00","36.99","38.96","35.16","176.68K","-3.15%"
"11/16/2025","37.17","37.86","37.86","35.01","299.67K","-6.73%"
"11/09/2025","39.85","39.20","40.20","37.50","61.24K","1.30%"
"11/02/2025","39.34","41.29","41.29","39.10","57.49K","-4.10%"
"10/26/2025","41.02","40.90","41.40","39.20","79.99K","2.78%"
"10/19/2025","39.91","38.19","41.77","37.12","229.83K","4.97%"
"10/12/2025","38.02","37.00","38.67","36.65","105.81K","1.28%"
"10/05/2025","37.54","37.98","38.87","36.00","68.37K","0.43%"
"09/28/2025","37.38","39.25","40.45","36.63","148.39K","-6.10%"
"09/21/2025","39.81","40.99","43.83","39.23","158.87K","-0.25%"
"09/14/2025","39.91","38.04","41.80","37.02","201.74K","4.45%"
"09/07/2025","38.21","38.64","39.79","35.25","110.21K","2.74%"
"08/31/2025","37.19","39.99","40.00","36.51","172.33K","-7.07%"
"08/24/2025","40.02","34.20","42.40","33.10","418.94K","18.51%"
"08/17/2025","33.77","34.25","34.25","33.00","49.65K","-0.18%"
"08/10/2025","33.83","32.50","35.17","32.00","73.39K","3.49%"
"08/03/2025","32.69","32.50","33.72","31.62","37.74K","-1.51%"
