"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","5.930","5.910","6.040","5.710","1.14M","0.34%"
"03/22/2026","5.910","6.060","6.100","5.850","1.64M","-2.31%"
"03/15/2026","6.050","6.040","6.090","5.860","1.35M","1.00%"
"03/08/2026","5.990","5.660","6.200","5.610","4.90M","6.96%"
"03/01/2026","5.600","5.650","5.800","5.010","1.77M","-4.27%"
"02/22/2026","5.850","6.140","6.230","5.730","3.08M","-4.72%"
"02/15/2026","6.140","6.760","6.800","6.110","10.39M","-9.17%"
"02/08/2026","6.760","6.630","7.150","6.500","12.64M","1.96%"
"02/01/2026","6.630","6.540","6.850","6.300","9.43M","1.38%"
"01/25/2026","6.540","6.790","6.950","6.340","8.02M","-3.68%"
"01/18/2026","6.790","6.420","7.080","6.400","20.93M","7.95%"
"01/11/2026","6.290","5.910","6.540","5.800","12.93M","6.97%"
"01/04/2026","5.880","6.480","6.480","5.830","4.57M","-8.12%"
"12/28/2025","6.400","6.420","6.600","6.330","4.05M","-0.31%"
"12/21/2025","6.420","6.400","6.550","6.240","3.04M","1.26%"
"12/14/2025","6.340","6.600","6.660","6.120","3.76M","-3.65%"
"12/07/2025","6.580","6.400","6.830","6.400","6.75M","3.13%"
"11/30/2025","6.380","6.490","6.600","6.260","5.10M","-0.47%"
"11/23/2025","6.410","7.150","7.200","6.030","9.83M","-9.72%"
"11/16/2025","7.100","6.950","7.300","6.550","12.17M","3.50%"
"11/09/2025","6.860","6.600","7.100","6.580","24.10M","2.85%"
"11/02/2025","6.670","6.790","6.950","6.410","10.50M","-2.20%"
"10/26/2025","6.820","6.050","6.830","6.010","32.86M","13.48%"
"10/19/2025","6.010","5.690","6.180","5.610","31.75M","6.37%"
"10/12/2025","5.650","5.460","5.680","5.370","15.18M","3.86%"
"10/05/2025","5.440","5.360","5.700","5.320","16.33M","2.06%"
"09/28/2025","5.330","5.180","5.690","5.100","24.92M","3.90%"
"09/21/2025","5.130","5.300","5.320","4.950","8.77M","-3.39%"
"09/14/2025","5.310","5.290","5.390","5.100","11.31M","0.57%"
"09/07/2025","5.280","5.050","5.450","5.000","20.17M","5.60%"
"08/31/2025","5.000","5.030","5.100","4.840","4.01M","0.00%"
"08/24/2025","5.000","4.850","5.010","4.630","5.05M","3.09%"
"08/17/2025","4.850","4.980","5.070","4.800","4.60M","-2.22%"
"08/10/2025","4.960","5.070","5.290","4.910","29.65M","-0.80%"
"08/03/2025","5.000","5.200","5.240","4.920","9.49M","-3.85%"
"07/27/2025","5.200","5.280","5.360","5.040","5.05M","-1.52%"
"07/20/2025","5.280","5.350","5.490","5.030","8.09M","-0.38%"
"07/13/2025","5.300","5.860","5.900","5.280","3.30M","-9.40%"
"07/06/2025","5.850","6.080","6.150","5.800","2.37M","-3.62%"
"06/29/2025","6.070","6.230","6.390","6.000","6.99M","-1.94%"
"06/22/2025","6.190","5.520","6.250","5.150","8.41M","10.73%"
"06/15/2025","5.590","5.750","6.010","5.400","2.03M","-8.81%"
"06/08/2025","6.130","6.220","6.360","6.060","6.13M","-1.13%"
"06/01/2025","6.200","6.060","6.230","5.900","4.23M","1.47%"
"05/25/2025","6.110","6.100","6.270","5.850","7.11M","0.99%"
"05/18/2025","6.050","6.290","6.510","6.000","12.19M","-2.26%"
"05/11/2025","6.190","6.050","6.270","5.820","10.69M","2.82%"
"05/04/2025","6.020","6.000","6.320","5.870","13.15M","0.33%"
"04/27/2025","6.000","5.790","6.900","5.310","8.94M","3.81%"
"04/20/2025","5.780","5.110","5.900","5.110","10.52M","13.78%"
"04/13/2025","5.080","4.520","5.300","4.500","16.61M","12.64%"
"04/06/2025","4.510","4.540","4.750","4.310","5.99M","-1.96%"
"03/30/2025","4.600","4.700","4.870","4.580","1.56M","-5.54%"
"03/23/2025","4.870","4.860","4.940","4.110","4.84M","-0.81%"
"03/16/2025","4.910","4.405","5.390","4.337","5.15M","11.46%"
"03/09/2025","4.405","4.550","4.550","4.200","3.45M","-3.38%"
"03/02/2025","4.559","4.208","4.559","4.131","5.73M","10.12%"
"02/23/2025","4.140","4.003","4.311","3.986","4.08M","-11.54%"
"02/16/2025","4.680","4.700","4.800","4.550","3.00M","0.00%"
"02/09/2025","4.680","4.710","4.750","4.240","3.38M","-1.27%"
"02/02/2025","4.740","4.700","4.960","4.510","3.62M","-0.84%"
