"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","79.01","78.48","80.10","77.51","669.56K","0.89%"
"03/22/2026","78.31","78.90","79.00","77.99","295.74K","-0.28%"
"03/15/2026","78.53","79.03","81.00","77.61","366.54K","-0.63%"
"03/08/2026","79.03","77.94","81.49","77.90","1.22M","1.41%"
"03/01/2026","77.93","75.10","79.99","73.25","1.62M","0.57%"
"02/22/2026","77.49","81.01","81.77","62.03","1.97M","-4.04%"
"02/15/2026","80.75","78.90","84.80","78.45","3.61M","2.84%"
"02/08/2026","78.52","80.10","81.00","78.00","1.21M","-1.71%"
"02/01/2026","79.89","79.00","81.44","77.21","1.73M","1.56%"
"01/25/2026","78.66","82.73","84.46","78.50","1.16M","-4.92%"
"01/18/2026","82.73","77.50","84.90","76.88","3.04M","8.10%"
"01/11/2026","76.53","81.01","81.90","76.19","1.42M","-4.93%"
"01/04/2026","80.50","78.50","81.98","76.00","1.82M","2.88%"
"12/28/2025","78.25","76.30","78.62","76.00","1.04M","2.92%"
"12/21/2025","76.03","75.88","76.70","75.30","384.46K","1.00%"
"12/14/2025","75.28","75.94","76.90","75.20","758.68K","-0.44%"
"12/07/2025","75.61","76.26","78.62","62.10","1.44M","-0.77%"
"11/30/2025","76.20","76.60","77.89","76.00","537.52K","-0.43%"
"11/23/2025","76.53","76.69","78.86","75.20","905.82K","-0.22%"
"11/16/2025","76.70","80.00","80.00","76.50","1.54M","-3.88%"
"11/09/2025","79.80","80.50","83.50","79.05","3.89M","0.90%"
"11/02/2025","79.09","75.95","82.99","74.83","3.29M","4.26%"
"10/26/2025","75.86","76.95","77.49","75.41","634.70K","-1.42%"
"10/19/2025","76.95","80.00","82.99","76.91","813.25K","-0.82%"
"10/12/2025","77.59","76.01","79.00","75.80","1.47M","1.45%"
"10/05/2025","76.48","74.40","76.76","74.03","880.62K","3.32%"
"09/28/2025","74.02","73.01","75.10","72.77","853.76K","1.83%"
"09/21/2025","72.69","74.00","74.27","72.40","1.13M","-1.73%"
"09/14/2025","73.97","75.00","75.18","73.20","944.58K","-1.07%"
"09/07/2025","74.77","75.01","75.60","74.50","678.94K","-0.31%"
"08/31/2025","75.00","75.45","76.00","74.02","587.26K","-0.08%"
"08/24/2025","75.06","77.11","77.49","74.50","1.54M","-2.52%"
"08/17/2025","77.00","80.35","81.30","76.51","1.17M","-4.13%"
"08/10/2025","80.32","74.80","82.00","74.70","2.35M","7.65%"
"08/03/2025","74.61","74.60","75.50","74.21","708.02K","0.16%"
"07/27/2025","74.49","76.67","77.15","74.00","582.42K","-2.82%"
"07/20/2025","76.65","77.60","77.89","75.52","629.52K","-1.16%"
"07/13/2025","77.55","75.96","78.79","75.55","1.39M","2.17%"
"07/06/2025","75.90","76.34","78.10","75.50","616.72K","-0.69%"
"06/29/2025","76.43","77.50","78.50","74.00","1.41M","-0.86%"
"06/22/2025","77.09","70.02","77.98","70.02","883.96K","5.60%"
"06/15/2025","73.00","77.70","78.51","73.00","1.06M","-7.02%"
"06/08/2025","78.51","80.11","81.21","78.50","690.89K","-2.47%"
"06/01/2025","80.50","82.22","82.24","79.91","792.96K","-1.53%"
"05/25/2025","81.75","79.00","83.30","78.45","1.48M","4.21%"
"05/18/2025","78.45","79.95","80.79","78.00","378.66K","-1.80%"
"05/11/2025","79.89","80.80","82.39","79.02","1.06M","-0.68%"
"05/04/2025","80.44","82.20","82.68","79.53","33.51M","-1.90%"
"04/27/2025","82.00","82.93","83.90","81.80","870.87K","-1.13%"
"04/20/2025","82.94","79.00","82.94","78.45","376.62K","5.41%"
"04/13/2025","78.68","79.07","80.56","78.23","834.82K","-0.47%"
"04/06/2025","79.05","80.00","80.99","76.30","1.28M","-2.90%"
"03/30/2025","81.41","81.52","82.99","81.40","69.27K","-0.11%"
"03/23/2025","81.50","84.61","85.98","80.10","1.33M","-3.55%"
"03/16/2025","84.50","85.00","89.40","82.52","2.84M","-0.35%"
"03/09/2025","84.80","81.81","85.69","80.00","1.58M","3.73%"
"03/02/2025","81.75","81.00","83.21","79.80","1.55M","1.64%"
"02/23/2025","80.43","81.50","82.50","80.10","1.18M","-1.22%"
"02/16/2025","81.42","78.01","83.40","78.01","1.78M","5.06%"
"02/09/2025","77.50","79.52","81.20","75.00","1.25M","-1.91%"
"02/02/2025","79.01","82.90","83.50","78.00","2.25M","-4.69%"
"01/26/2025","82.90","85.32","89.84","82.35","3.26M","-3.04%"
"01/19/2025","85.50","75.60","90.00","75.50","7.97M","13.55%"
