"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","7.000","7.140","7.150","6.920","2.28M","-1.82%"
"03/22/2026","7.130","7.110","7.260","7.100","2.60M","0.99%"
"03/15/2026","7.060","7.090","7.150","6.870","2.48M","0.43%"
"03/08/2026","7.030","6.880","7.190","6.860","2.57M","2.18%"
"03/01/2026","6.880","6.740","6.950","6.320","3.99M","-0.29%"
"02/22/2026","6.900","7.200","7.200","6.800","4.67M","-4.17%"
"02/15/2026","7.200","7.400","7.560","7.180","7.92M","-2.17%"
"02/08/2026","7.360","7.150","7.480","7.130","9.07M","3.52%"
"02/01/2026","7.110","6.860","7.280","6.800","17.32M","4.71%"
"01/25/2026","6.790","7.500","7.550","6.760","11.88M","-9.47%"
"01/18/2026","7.500","7.410","7.600","7.170","12.79M","1.49%"
"01/11/2026","7.390","8.100","8.240","7.350","6.11M","-8.77%"
"01/04/2026","8.100","8.370","8.400","8.100","5.63M","-3.23%"
"12/28/2025","8.370","8.410","8.600","8.340","6.65M","0.12%"
"12/21/2025","8.360","8.240","8.450","8.150","7.46M","1.58%"
"12/14/2025","8.230","8.240","8.560","8.210","9.57M","0.12%"
"12/07/2025","8.220","8.240","8.470","8.210","8.65M","0.12%"
"11/30/2025","8.210","8.300","8.350","8.100","12.55M","-0.73%"
"11/23/2025","8.270","8.890","8.920","8.150","13.16M","-6.13%"
"11/16/2025","8.810","8.440","9.540","8.440","54.13M","5.51%"
"11/09/2025","8.350","8.260","8.390","8.120","14.69M","1.21%"
"11/02/2025","8.250","8.280","8.690","8.150","32.26M","0.61%"
"10/26/2025","8.200","8.000","8.560","7.850","34.60M","3.80%"
"10/19/2025","7.900","7.800","8.140","7.760","25.00M","2.33%"
"10/12/2025","7.720","7.700","7.800","7.500","8.34M","0.26%"
"10/05/2025","7.700","7.530","7.850","7.470","7.78M","3.08%"
"09/28/2025","7.470","7.490","7.700","7.420","7.66M","0.81%"
"09/21/2025","7.410","7.580","7.660","7.300","6.44M","-2.24%"
"09/14/2025","7.580","7.830","8.070","7.550","9.99M","-2.94%"
"09/07/2025","7.810","8.030","8.170","7.700","12.11M","-2.38%"
"08/31/2025","8.000","7.710","8.220","7.400","19.70M","4.30%"
"08/24/2025","7.670","7.340","7.830","7.300","18.51M","5.50%"
"08/17/2025","7.270","7.320","7.420","7.250","6.78M","-0.68%"
"08/10/2025","7.320","7.740","7.790","7.260","11.85M","-5.06%"
"08/03/2025","7.710","7.160","8.230","7.080","38.00M","8.13%"
"07/27/2025","7.130","7.460","7.550","7.000","8.11M","-4.17%"
"07/20/2025","7.440","7.900","7.980","7.410","14.34M","-4.86%"
"07/13/2025","7.820","7.620","7.900","7.520","19.14M","2.76%"
"07/06/2025","7.610","7.790","8.000","7.540","16.09M","2.84%"
"06/29/2025","7.400","7.450","7.700","7.310","14.75M","0.27%"
"06/22/2025","7.380","6.590","7.410","6.550","11.46M","10.48%"
"06/15/2025","6.680","7.000","7.320","6.560","7.89M","-12.11%"
"06/08/2025","7.600","8.170","8.290","7.570","9.25M","-6.75%"
"06/01/2025","8.150","7.660","8.360","7.580","19.57M","7.24%"
"05/25/2025","7.600","7.210","7.740","7.200","21.83M","5.41%"
"05/18/2025","7.210","7.140","7.450","7.120","17.38M","1.41%"
"05/11/2025","7.110","7.150","7.250","6.880","10.93M","0.14%"
"05/04/2025","7.100","6.660","7.390","6.660","30.59M","7.25%"
"04/27/2025","6.620","6.810","6.850","6.600","5.07M","-2.36%"
