"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","25.00","24.60","25.09","24.03","12.52M","0.81%"
"03/22/2026","24.80","25.35","25.87","24.42","9.20M","-0.48%"
"03/15/2026","24.92","25.36","25.38","23.92","17.04M","-1.35%"
"03/08/2026","25.26","27.10","27.24","23.95","35.36M","-6.44%"
"03/01/2026","27.00","27.10","28.27","25.99","11.70M","-5.43%"
"02/22/2026","28.55","30.57","30.93","28.55","8.47M","-6.61%"
"02/15/2026","30.57","30.68","31.61","30.20","14.56M","0.49%"
"02/08/2026","30.42","30.92","31.58","29.37","19.19M","-1.11%"
"02/01/2026","30.76","30.62","33.40","29.80","11.20M","-0.87%"
"01/25/2026","31.03","29.36","31.90","29.50","16.61M","5.69%"
"01/18/2026","29.36","26.40","30.44","26.10","22.94M","12.92%"
"01/11/2026","26.00","26.20","29.25","25.70","15.84M","-0.76%"
"01/04/2026","26.20","27.10","27.15","25.34","5.08M","-2.96%"
"12/28/2025","27.00","27.05","27.39","26.32","4.88M","0.04%"
"12/21/2025","26.99","27.00","27.55","26.10","5.54M","0.00%"
"12/14/2025","26.99","26.39","27.79","26.00","8.08M","2.62%"
"12/07/2025","26.30","26.26","26.47","25.53","4.53M","0.15%"
"11/30/2025","26.26","26.15","26.75","24.68","4.09M","0.46%"
"11/23/2025","26.14","26.69","27.39","25.50","4.43M","-1.36%"
"11/16/2025","26.50","27.76","28.50","26.14","7.87M","-4.50%"
"11/09/2025","27.75","26.15","28.05","26.07","13.71M","6.73%"
"11/02/2025","26.00","24.76","26.15","24.40","10.88M","5.73%"
"10/26/2025","24.59","25.20","25.50","24.04","7.34M","-2.30%"
"10/19/2025","25.17","23.20","25.18","23.20","31.37M","8.54%"
"10/12/2025","23.19","22.79","23.50","22.60","10.23M","1.76%"
"10/05/2025","22.79","22.83","23.46","22.51","2.71M","1.29%"
"09/28/2025","22.50","21.85","23.00","21.61","4.03M","2.97%"
"09/21/2025","21.85","22.01","22.13","21.25","4.16M","-0.68%"
"09/14/2025","22.00","23.78","23.87","19.10","5.80M","-7.49%"
"09/07/2025","23.78","24.25","24.48","23.25","2.71M","-1.61%"
"08/31/2025","24.17","25.50","25.70","23.88","2.69M","-5.22%"
"08/24/2025","25.50","26.10","26.45","24.80","3.91M","-2.26%"
"08/17/2025","26.09","24.98","26.97","24.62","7.66M","4.44%"
"08/10/2025","24.98","24.51","25.44","24.30","5.07M","1.96%"
"08/03/2025","24.50","25.44","25.70","24.20","3.60M","-3.88%"
"07/27/2025","25.49","23.67","25.49","23.26","7.86M","8.79%"
"07/20/2025","23.43","24.81","25.24","23.27","6.00M","-5.56%"
"07/13/2025","24.81","23.65","25.00","23.11","10.60M","5.31%"
"07/06/2025","23.56","21.95","23.97","21.88","7.24M","7.58%"
"06/29/2025","21.90","23.60","23.60","21.55","6.41M","-7.56%"
"06/22/2025","23.69","21.00","23.70","20.83","4.28M","8.67%"
"06/15/2025","21.80","23.14","23.14","20.75","6.24M","-9.51%"
"06/08/2025","24.09","23.80","24.49","23.00","1.24M","0.38%"
"06/01/2025","24.00","22.46","24.09","22.25","5.63M","6.90%"
"05/25/2025","22.45","21.86","23.19","21.00","8.43M","4.91%"
"05/18/2025","21.40","21.00","22.20","20.26","1.85M","1.95%"
"05/11/2025","20.99","21.32","21.85","20.92","2.24M","-2.37%"
"05/04/2025","21.50","22.51","22.94","21.03","3.01M","-3.85%"
"04/27/2025","22.36","22.99","23.50","22.30","2.60M","-1.76%"
"04/20/2025","22.76","23.69","23.75","22.62","3.06M","-1.00%"
"04/13/2025","22.99","21.76","23.25","21.02","7.79M","6.93%"
"04/06/2025","21.50","20.98","22.40","19.80","11.61M","-0.56%"
"03/30/2025","21.62","20.25","21.75","20.25","1.29M","6.77%"
"03/23/2025","20.25","19.50","21.20","18.11","10.53M","3.85%"
"03/16/2025","19.50","18.70","19.50","17.75","3.67M","5.41%"
"03/09/2025","18.50","17.10","19.19","16.80","6.37M","8.12%"
"03/02/2025","17.11","17.19","17.79","16.80","2.59M","0.94%"
"02/23/2025","16.95","16.63","17.60","16.53","4.71M","1.44%"
"02/16/2025","16.71","15.90","17.00","15.70","5.33M","4.50%"
"02/09/2025","15.99","16.26","16.45","14.89","7.60M","-1.60%"
"02/02/2025","16.25","16.97","17.05","16.02","3.75M","-2.99%"
"01/26/2025","16.75","16.54","17.11","16.35","4.00M","2.07%"
"01/19/2025","16.41","16.60","16.95","16.32","2.69M","-0.49%"
"01/12/2025","16.49","16.80","17.45","16.00","7.22M","-2.19%"
"01/05/2025","16.86","17.88","18.05","16.81","5.93M","-5.28%"
"12/29/2024","17.80","16.10","18.06","16.00","6.85M","11.25%"
"12/22/2024","16.00","16.80","16.94","15.30","11.33M","-4.19%"
"12/15/2024","16.70","15.20","17.49","14.95","31.56M","10.30%"
"12/08/2024","15.14","14.70","15.45","14.50","17.70M","3.70%"
"12/01/2024","14.60","14.28","14.75","14.22","8.19M","2.67%"
"11/24/2024","14.22","14.35","14.49","13.98","3.98M","-0.91%"
"11/17/2024","14.35","14.50","14.80","14.13","5.19M","-0.14%"
"11/10/2024","14.37","15.02","15.04","14.30","6.73M","-4.01%"
"11/03/2024","14.97","14.48","14.98","14.10","26.91M","4.32%"
"10/27/2024","14.35","15.19","15.30","14.01","19.76M","-4.46%"
"10/20/2024","15.02","14.60","15.82","13.85","41.26M","3.02%"
