"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","154.05","119.00","166.90","118.31","7.66M","29.45%"
"03/22/2026","119.00","112.00","121.98","112.00","1.53M","3.94%"
"03/15/2026","114.49","115.00","115.80","110.53","3.47M","0.41%"
"03/08/2026","114.02","112.00","118.50","109.00","692.80K","2.72%"
"03/01/2026","111.00","108.10","114.50","107.72","695.92K","-2.38%"
"02/22/2026","113.71","100.71","119.50","100.71","1.40M","12.95%"
"02/15/2026","100.67","98.89","105.90","98.00","1.78M","1.80%"
"02/08/2026","98.89","98.30","99.99","95.01","680.05K","1.94%"
"02/01/2026","97.01","97.00","100.09","94.58","876.15K","0.67%"
"01/25/2026","96.36","98.50","101.99","91.50","380.62K","-2.17%"
"01/18/2026","98.50","92.79","98.87","90.60","510.93K","7.74%"
"01/11/2026","91.42","89.10","94.00","88.10","1.27M","2.60%"
"01/04/2026","89.10","90.00","91.00","88.00","163.43K","-0.62%"
"12/28/2025","89.66","89.89","90.00","87.10","7.47M","1.86%"
"12/21/2025","88.02","86.87","90.05","86.10","204.43K","1.45%"
"12/14/2025","86.76","87.15","88.98","86.02","208.62K","-1.32%"
"12/07/2025","87.92","87.99","88.50","85.50","217.91K","1.06%"
"11/30/2025","87.00","89.80","89.88","86.80","287.65K","-3.29%"
"11/23/2025","89.96","87.46","90.00","85.99","255.01K","2.86%"
"11/16/2025","87.46","89.86","90.50","85.60","515.79K","-2.28%"
"11/09/2025","89.50","83.00","91.50","82.85","2.81M","7.75%"
"11/02/2025","83.06","84.11","86.99","81.52","341.10K","-0.63%"
"10/26/2025","83.59","81.92","87.70","80.30","2.53M","3.63%"
"10/19/2025","80.66","80.00","81.84","78.61","328.95K","0.36%"
"10/12/2025","80.37","72.32","81.50","71.35","770.57K","11.28%"
"10/05/2025","72.22","68.36","72.72","68.10","289.51K","5.86%"
"09/28/2025","68.22","65.30","68.44","65.30","785.54K","4.95%"
"09/21/2025","65.00","62.90","65.34","61.51","3.92M","3.73%"
"09/14/2025","62.66","62.97","63.95","61.55","112.28K","-0.44%"
"09/07/2025","62.94","63.74","64.49","61.80","277.70K","-1.26%"
"08/31/2025","63.74","65.10","65.46","63.55","559.34K","-1.88%"
"08/24/2025","64.96","63.84","65.10","63.06","240.92K","2.85%"
"08/17/2025","63.16","64.99","66.00","63.00","279.90K","-2.27%"
"08/10/2025","64.63","63.00","66.60","62.06","975.24K","2.93%"
"08/03/2025","62.79","60.02","63.50","60.00","530.78K","4.72%"
"07/27/2025","59.96","61.79","61.90","59.16","374.16K","-2.15%"
"07/20/2025","61.28","61.02","62.00","60.50","370.42K","0.46%"
"07/13/2025","61.00","61.98","62.92","60.80","413.65K","-1.58%"
"07/06/2025","61.98","61.90","64.00","61.50","250.83K","0.88%"
"06/29/2025","61.44","63.00","64.22","60.01","498.16K","-2.34%"
"06/22/2025","62.91","60.72","64.25","59.12","325.27K","2.79%"
"06/15/2025","61.20","64.00","64.49","60.11","180.61K","-6.25%"
"06/08/2025","65.28","65.55","67.99","60.20","1.23M","-0.79%"
"06/01/2025","65.80","59.98","66.40","59.33","193.54K","9.76%"
"05/25/2025","59.95","56.70","60.00","56.40","774.47K","5.86%"
"05/18/2025","56.63","55.95","58.50","55.95","1.26M","1.23%"
"05/11/2025","55.94","51.48","55.97","50.90","2.37M","9.64%"
"05/04/2025","51.02","52.00","52.93","50.80","138.42K","-1.87%"
"04/27/2025","51.99","52.95","53.10","51.80","97.05K","-1.81%"
"04/20/2025","52.95","51.11","53.00","50.68","104.19K","3.78%"
"04/13/2025","51.02","52.58","52.58","50.07","206.51K","-9.54%"
"04/06/2025","56.40","56.00","56.75","54.50","387.83K","-2.41%"
"03/30/2025","57.79","56.20","57.89","56.03","59.01K","2.45%"
"03/23/2025","56.41","55.40","58.00","55.10","177.75K","0.68%"
"03/16/2025","56.03","56.02","57.11","55.14","527.96K","0.90%"
"03/09/2025","55.53","53.47","55.68","53.00","236.73K","3.93%"
"03/02/2025","53.43","53.95","54.32","52.77","209.70K","-0.61%"
"02/23/2025","53.76","53.08","54.00","52.13","1.01M","2.40%"
"02/16/2025","52.50","51.88","52.50","50.12","295.15K","1.72%"
"02/09/2025","51.61","51.70","52.20","50.00","127.88K","-0.17%"
"02/02/2025","51.70","52.00","52.00","51.50","148.04K","-0.46%"
"01/26/2025","51.94","52.19","52.96","51.60","1.74M","-0.48%"
"01/19/2025","52.19","52.50","53.75","51.80","871.08K","0.46%"
"01/12/2025","51.95","53.73","54.50","51.50","727.16K","-3.29%"
"01/05/2025","53.72","53.99","54.89","53.51","577.41K","-0.06%"
"12/29/2024","53.75","54.00","54.09","52.90","2.74M","0.17%"
"12/22/2024","53.66","53.20","54.99","52.40","187.11K","1.23%"
"12/15/2024","53.01","52.64","55.10","52.11","503.24K","0.84%"
"12/08/2024","52.57","53.50","53.90","51.99","173.38K","-1.18%"
"12/01/2024","53.20","51.52","53.97","51.52","182.41K","3.08%"
"11/24/2024","51.61","54.50","54.97","50.61","636.47K","-4.95%"
"11/17/2024","54.30","53.60","55.67","52.60","1.08M","1.90%"
"11/10/2024","53.29","52.75","55.19","52.12","1.27M","0.89%"
"11/03/2024","52.82","45.71","52.99","45.71","1.17M","16.83%"
"10/27/2024","45.21","45.03","46.40","45.00","170.57K","0.20%"
"10/20/2024","45.12","43.60","45.99","43.55","327.33K","3.46%"
"10/13/2024","43.61","45.00","45.74","43.50","1.12M","-3.09%"
"10/06/2024","45.00","46.35","46.60","44.10","191.87K","-2.30%"
"09/29/2024","46.06","45.63","47.90","45.50","211.40K","0.59%"
"09/22/2024","45.79","46.00","46.75","45.50","266.40K","-0.61%"
"09/15/2024","46.07","46.00","46.50","45.15","187.99K","1.90%"
"09/08/2024","45.21","46.50","47.49","44.75","268.97K","-2.71%"
"09/01/2024","46.47","46.51","48.00","45.54","119.08K","-0.09%"
"08/25/2024","46.51","46.60","46.99","45.01","133.74K","-0.70%"
"08/18/2024","46.84","46.71","48.90","46.34","447.67K","0.36%"
"08/11/2024","46.67","43.10","46.70","43.10","237.81K","6.97%"
"08/04/2024","43.63","45.35","45.35","41.01","171.07K","-4.53%"
"07/28/2024","45.70","45.94","46.00","44.50","412.04K","1.49%"
"07/21/2024","45.03","45.06","45.80","44.52","212.16K","0.02%"
"07/14/2024","45.02","45.00","46.25","44.91","149.29K","-1.60%"
"07/07/2024","45.75","45.60","46.78","45.10","266.71K","-0.44%"
"06/30/2024","45.95","43.76","46.49","43.05","322.00K","5.66%"
"06/23/2024","43.49","42.94","44.00","42.06","135.48K","1.30%"
"06/09/2024","42.93","40.50","43.75","38.00","317.23K","7.33%"
"06/02/2024","40.00","43.50","43.78","40.00","307.06K","-7.06%"
"05/26/2024","43.04","42.27","44.70","42.00","189.56K","2.16%"
"05/19/2024","42.13","41.00","42.50","40.54","169.33K","2.78%"
"05/12/2024","40.99","41.55","41.57","38.60","128.50K","0.59%"
"05/05/2024","40.75","42.48","43.50","40.10","106.85K","-4.05%"
"04/28/2024","42.47","43.92","43.92","40.00","330.59K","-3.30%"
"04/21/2024","43.92","45.97","47.40","42.01","305.07K","-4.46%"
"04/14/2024","45.97","49.24","52.50","45.25","683.69K","-6.64%"
"04/07/2024","49.24","48.18","49.88","48.45","158.27K","2.20%"
"03/31/2024","48.18","47.94","49.96","46.52","272.24K","0.50%"
"03/24/2024","47.94","51.51","52.90","47.00","315.19K","-6.93%"
"03/17/2024","51.51","54.15","55.89","50.30","282.13K","-4.88%"
"03/10/2024","54.15","58.00","59.50","51.12","304.50K","-6.64%"
"03/03/2024","58.00","55.01","60.32","53.60","910.85K","5.44%"
"02/25/2024","55.01","57.36","58.00","54.00","510.22K","-4.10%"
"02/18/2024","57.36","54.40","57.90","54.00","442.44K","5.44%"
"02/11/2024","54.40","50.55","55.00","48.50","643.48K","7.62%"
"02/04/2024","50.55","47.00","56.40","45.90","3.22M","7.55%"
"01/28/2024","47.00","47.85","51.00","44.23","1.39M","0.00%"
"01/21/2024","47.00","40.23","50.00","40.23","4.50M","17.50%"
"01/14/2024","40.00","39.95","40.93","39.52","877.85K","0.40%"
"01/07/2024","39.84","39.80","39.99","39.00","116.93K","1.61%"
"12/31/2023","39.21","39.30","40.20","38.50","118.89K","0.56%"
"12/24/2023","38.99","39.05","40.98","38.52","1.07M","-1.04%"
"12/17/2023","39.40","38.40","40.99","38.00","388.43K","2.95%"
"12/10/2023","38.27","38.00","39.00","36.96","205.49K","0.82%"
"12/03/2023","37.96","39.05","39.40","37.51","125.18K","-2.89%"
"11/26/2023","39.09","39.50","40.15","38.90","1.34M","0.03%"
"11/19/2023","39.08","40.00","40.65","39.00","2.13M","-2.30%"
"11/12/2023","40.00","38.15","41.94","38.14","2.09M","4.93%"
"11/05/2023","38.12","34.87","38.29","33.01","651.67K","11.20%"
"10/29/2023","34.28","33.90","34.90","33.50","279.83K","1.18%"
"10/22/2023","33.88","30.80","34.90","30.02","476.39K","9.29%"
"10/15/2023","31.00","25.80","31.20","25.45","2.19M","21.81%"
"10/08/2023","25.45","25.73","25.73","24.50","199.96K","0.51%"
"10/01/2023","25.32","25.88","26.21","25.01","293.80K","-0.08%"
"09/24/2023","25.34","25.00","26.50","24.00","413.79K","1.36%"
"09/17/2023","25.00","25.70","26.00","24.50","255.87K","-1.88%"
"09/10/2023","25.48","26.00","26.00","25.00","466.00K","-1.13%"
"09/03/2023","25.77","26.58","26.69","25.10","348.99K","-2.79%"
"08/27/2023","26.51","25.49","26.69","24.86","493.59K","6.04%"
"08/20/2023","25.00","22.32","25.60","22.02","435.02K","12.01%"
"08/13/2023","22.32","22.30","22.90","22.00","367.69K","1.45%"
"08/06/2023","22.00","19.70","22.70","19.61","741.45K","11.56%"
"07/30/2023","19.72","20.25","20.25","19.75","50.01K","0.00%"
"07/23/2023","19.72","20.20","20.55","19.70","143.91K","-2.71%"
"07/16/2023","20.27","20.09","20.65","20.02","77.74K","1.05%"
"07/09/2023","20.06","20.40","21.00","19.56","189.85K","-2.24%"
"07/02/2023","20.52","20.35","20.90","20.11","185.73K","0.20%"
"06/25/2023","20.48","20.50","20.96","20.25","124.22K","-0.10%"
"06/18/2023","20.50","20.10","20.60","19.50","5.42M","5.13%"
"06/11/2023","19.50","19.97","20.49","19.50","763.01K","-1.42%"
"06/04/2023","19.78","19.28","19.98","19.01","375.94K","2.91%"
"05/28/2023","19.22","17.51","19.69","17.50","1.67M","9.83%"
"05/21/2023","17.50","17.75","17.78","17.16","153.55K","0.75%"
"05/14/2023","17.37","17.70","18.70","17.30","687.26K","-3.29%"
"05/07/2023","17.96","17.00","17.99","16.27","665.84K","5.40%"
"04/30/2023","17.04","18.16","18.50","16.90","847.76K","-6.17%"
"04/23/2023","18.16","17.94","18.30","17.77","321.40K","2.19%"
"04/16/2023","17.77","19.19","19.19","17.47","2.02M","-8.59%"
"04/09/2023","19.44","19.15","19.99","19.00","227.41K","2.15%"
"04/02/2023","19.03","18.40","19.19","18.26","192.02K","3.76%"
"03/26/2023","18.34","19.50","19.50","18.00","184.33K","-4.58%"
"03/19/2023","19.22","19.25","20.10","18.50","136.97K","-0.57%"
"03/12/2023","19.33","21.21","21.89","16.52","843.92K","-8.86%"
"03/05/2023","21.21","21.60","21.85","20.28","837.42K","-1.62%"
"02/26/2023","21.56","21.99","22.49","21.15","258.13K","-1.06%"
"02/19/2023","21.79","22.02","22.29","20.01","212.75K","-1.04%"
"02/12/2023","22.02","21.50","22.34","21.11","591.30K","1.94%"
"02/05/2023","21.60","20.50","21.95","18.45","302.16K","5.47%"
"01/29/2023","20.48","22.00","23.12","20.05","648.73K","-5.36%"
"01/22/2023","21.64","19.19","22.59","19.11","1.72M","13.89%"
"01/15/2023","19.00","17.80","19.20","17.54","1.16M","6.98%"
"01/08/2023","17.76","17.48","18.25","17.37","1.18M","1.83%"
"01/01/2023","17.44","17.18","17.97","16.80","997.68K","2.47%"
"12/25/2022","17.02","17.00","17.40","16.77","396.78K","-0.41%"
"12/18/2022","17.09","17.44","17.49","16.90","865.25K","-0.52%"
"12/11/2022","17.18","16.90","17.85","16.70","3.17M","2.02%"
"12/04/2022","16.84","14.00","18.00","14.00","3.30M","20.63%"
"11/27/2022","13.96","12.79","14.15","12.74","2.98M","9.58%"
"11/20/2022","12.74","12.48","12.88","12.21","855.94K","2.66%"
"11/13/2022","12.41","11.70","12.49","11.61","1.26M","6.71%"
"11/06/2022","11.63","11.35","11.69","11.23","625.18K","3.19%"
"10/30/2022","11.27","11.73","11.73","11.05","657.67K","-1.57%"
"10/23/2022","11.45","11.67","12.45","11.29","2.44M","-0.58%"
"10/16/2022","11.52","11.11","11.70","11.00","1.66M","4.67%"
"10/09/2022","11.00","10.79","11.43","10.63","2.50M","3.24%"
"10/02/2022","10.66","10.57","10.81","10.30","980.76K","0.97%"
"09/25/2022","10.55","10.71","10.85","10.34","452.02K","-1.60%"
"09/18/2022","10.73","10.63","10.86","10.29","1.19M","1.46%"
"09/11/2022","10.57","10.49","10.86","10.29","1.38M","1.12%"
"09/04/2022","10.45","10.28","10.54","10.00","602.39K","2.64%"
"08/28/2022","10.19","10.97","10.97","10.02","1.68M","-5.94%"
"08/21/2022","10.83","10.28","10.89","10.14","1.02M","6.04%"
"08/14/2022","10.21","10.47","10.85","10.00","1.02M","-0.72%"
"08/07/2022","10.29","10.57","10.71","10.00","832.73K","-2.31%"
"07/31/2022","10.53","9.49","10.71","9.49","2.02M","9.06%"
"07/24/2022","9.65","9.71","9.71","9.30","956.05K","0.84%"
"07/17/2022","9.57","9.25","10.00","9.00","1.28M","3.52%"
"07/03/2022","9.25","10.00","10.10","8.86","499.32K","-7.57%"
"06/26/2022","10.01","10.29","10.34","9.96","1.08M","-2.72%"
"06/19/2022","10.29","10.29","10.42","10.01","392.08K","-0.17%"
"06/12/2022","10.30","10.49","10.66","10.29","476.27K","-1.82%"
"06/05/2022","10.49","10.53","10.53","10.28","671.43K","1.05%"
"05/29/2022","10.39","10.66","10.80","10.29","383.36K","-1.76%"
"05/22/2022","10.57","10.82","11.14","10.53","770.09K","-2.04%"
"05/15/2022","10.79","10.83","10.86","10.59","298.51K","0.40%"
"05/08/2022","10.75","11.00","11.07","10.71","253.11K","-0.82%"
"04/24/2022","10.84","10.57","11.14","10.40","172.55K","2.26%"
"04/17/2022","10.60","11.20","11.43","9.79","353.57K","-5.36%"
"04/10/2022","11.20","11.86","11.86","11.00","761.34K","-5.20%"
"04/03/2022","11.81","12.09","12.17","11.67","618.28K","0.17%"
"03/27/2022","11.79","12.13","12.35","11.71","804.65K","-2.78%"
"03/20/2022","12.13","11.97","12.86","11.71","1.27M","2.36%"
"03/13/2022","11.85","11.56","11.93","11.17","647.84K","2.78%"
"03/06/2022","11.53","11.69","11.71","11.29","1.12M","-1.08%"
"02/27/2022","11.65","11.47","12.00","11.43","311.01K","1.97%"
