"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","31.50","31.65","31.90","30.70","192.59K","-0.91%"
"03/22/2026","31.79","32.50","32.95","31.62","309.42K","-1.82%"
"03/15/2026","32.38","33.20","33.59","32.02","180.13K","-1.88%"
"03/08/2026","33.00","32.15","33.95","31.60","1.40M","3.16%"
"03/01/2026","31.99","31.01","32.50","31.01","480.92K","-2.77%"
"02/22/2026","32.90","34.26","35.00","32.51","503.11K","-3.97%"
"02/15/2026","34.26","33.36","35.50","32.70","1.48M","4.10%"
"02/08/2026","32.91","33.80","34.49","32.63","471.53K","-2.52%"
"02/01/2026","33.76","34.00","37.00","32.00","1.68M","-1.55%"
"01/25/2026","34.29","33.43","36.50","33.00","3.11M","2.57%"
"01/18/2026","33.43","30.60","35.00","30.08","3.24M","12.11%"
"01/11/2026","29.82","35.91","37.00","29.00","2.12M","-16.33%"
"01/04/2026","35.64","33.27","39.55","33.25","2.99M","7.22%"
"12/28/2025","33.24","34.13","34.38","33.20","355.12K","-2.44%"
"12/21/2025","34.07","34.62","35.70","34.05","390.55K","-1.65%"
"12/14/2025","34.64","37.69","37.95","34.00","2.38M","-7.65%"
"12/07/2025","37.51","37.11","38.68","37.00","748.60K","1.38%"
"11/30/2025","37.00","38.50","38.50","36.55","898.40K","-2.89%"
"11/23/2025","38.10","37.50","39.77","36.16","2.68M","2.31%"
"11/16/2025","37.24","37.00","38.29","36.60","1.12M","0.70%"
"11/09/2025","36.98","37.05","39.50","36.25","3.82M","-0.19%"
"11/02/2025","37.05","34.02","37.25","33.25","2.67M","9.26%"
"10/26/2025","33.91","34.52","36.23","33.15","1.65M","0.18%"
"10/19/2025","33.85","33.89","35.31","31.80","2.33M","-0.15%"
"10/12/2025","33.90","29.12","35.00","29.00","7.67M","17.30%"
"10/05/2025","28.90","28.15","30.00","27.80","1.43M","4.29%"
"09/28/2025","27.71","29.03","29.10","27.51","986.66K","-3.38%"
"09/21/2025","28.68","28.99","29.98","28.25","1.25M","-0.10%"
"09/14/2025","28.71","31.10","31.98","28.60","2.18M","-7.42%"
"09/07/2025","31.01","25.74","32.90","25.60","8.46M","21.89%"
"08/31/2025","25.44","26.00","26.50","25.01","1.20M","-0.74%"
"08/24/2025","25.63","24.63","26.89","24.33","3.65M","4.06%"
"08/17/2025","24.63","25.00","25.20","24.52","856.52K","-1.20%"
"08/10/2025","24.93","23.86","25.39","23.75","1.92M","4.57%"
"08/03/2025","23.84","22.99","24.20","22.71","952.14K","1.92%"
"07/27/2025","23.39","25.55","26.24","23.11","1.06M","-7.80%"
"07/20/2025","25.37","23.84","26.59","23.80","3.38M","6.42%"
"07/13/2025","23.84","24.30","24.50","23.80","371.13K","-1.73%"
"07/06/2025","24.26","23.69","24.60","23.50","379.14K","2.84%"
"06/29/2025","23.59","23.20","23.78","23.02","318.08K","2.48%"
"06/22/2025","23.02","21.50","23.50","21.00","311.45K","5.79%"
"06/15/2025","21.76","22.97","22.97","21.51","379.94K","-6.25%"
"06/08/2025","23.21","23.90","24.00","23.13","181.43K","-2.85%"
"06/01/2025","23.89","23.94","24.20","23.61","533.06K","-0.21%"
"05/25/2025","23.94","24.06","24.30","23.43","684.92K","-0.17%"
"05/18/2025","23.98","24.02","24.20","23.90","426.23K","-0.08%"
"05/11/2025","24.00","24.05","24.50","23.92","382.90K","-0.12%"
"05/04/2025","24.03","25.05","25.38","23.91","1.41M","-3.92%"
"04/27/2025","25.01","24.39","25.40","24.37","1.39M","3.22%"
"04/20/2025","24.23","23.51","24.79","23.41","730.90K","3.77%"
"04/13/2025","23.35","23.01","23.59","22.86","571.95K","1.88%"
"04/06/2025","22.92","23.98","23.98","21.10","893.19K","-6.18%"
"03/30/2025","24.43","24.50","24.79","24.20","60.37K","-0.29%"
"03/23/2025","24.50","24.20","24.58","24.00","589.93K","2.04%"
"03/16/2025","24.01","25.27","25.79","24.00","807.36K","-4.65%"
"03/09/2025","25.18","23.62","26.50","23.55","4.00M","6.69%"
"03/02/2025","23.60","25.00","25.19","23.56","647.20K","-5.60%"
"02/23/2025","25.00","25.21","25.88","24.60","834.98K","-0.99%"
"02/16/2025","25.25","24.00","25.57","24.00","1.82M","5.38%"
"02/09/2025","23.96","24.69","25.60","23.06","1.79M","-2.16%"
"02/02/2025","24.49","23.99","24.95","23.52","1.63M","3.51%"
"01/26/2025","23.66","24.50","24.88","23.53","1.09M","-3.43%"
"01/19/2025","24.50","24.20","25.29","24.05","1.07M","2.08%"
"01/12/2025","24.00","24.50","24.63","22.81","878.14K","-2.08%"
"01/05/2025","24.51","23.70","24.99","23.41","1.56M","3.42%"
"12/29/2024","23.70","23.35","23.97","22.70","487.06K","1.54%"
"12/22/2024","23.34","24.19","24.59","23.25","1.02M","-3.47%"
"12/15/2024","24.18","25.35","25.71","23.85","1.29M","-3.78%"
"12/08/2024","25.13","25.36","25.79","24.72","2.65M","-0.91%"
"12/01/2024","25.36","26.80","27.40","25.25","4.67M","-5.02%"
"11/24/2024","26.70","24.00","26.73","23.80","6.18M","12.28%"
"11/17/2024","23.78","22.77","25.99","22.06","7.07M","5.55%"
"11/10/2024","22.53","21.65","23.25","21.21","3.51M","4.84%"
"11/03/2024","21.49","21.77","22.22","20.30","2.13M","-0.88%"
"10/27/2024","21.68","22.72","22.76","21.61","661.27K","-4.49%"
"10/20/2024","22.70","20.80","23.15","20.80","1.72M","8.35%"
"10/13/2024","20.95","20.50","21.75","20.03","661.15K","0.87%"
"10/06/2024","20.77","22.00","22.23","20.65","364.24K","-4.99%"
"09/29/2024","21.86","22.74","22.89","21.63","668.69K","-3.87%"
"09/22/2024","22.74","22.83","23.30","22.47","1.22M","-0.09%"
"09/15/2024","22.76","23.81","24.79","22.25","2.75M","-0.87%"
"09/08/2024","22.96","22.06","22.96","20.80","1.59M","2.04%"
