"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","19.170","19.550","19.900","18.710","1.22M","-1.69%"
"03/22/2026","19.500","19.800","20.450","19.400","1.82M","-1.37%"
"03/15/2026","19.770","18.950","20.200","18.200","2.52M","4.77%"
"03/08/2026","18.870","18.390","19.700","18.390","1.15M","3.11%"
"03/01/2026","18.300","17.090","18.800","16.800","971.98K","1.67%"
"02/22/2026","18.000","18.920","19.000","17.410","919.27K","-4.76%"
"02/15/2026","18.900","19.600","19.810","18.800","2.34M","-3.47%"
"02/08/2026","19.580","19.260","20.550","18.950","2.96M","1.77%"
"02/01/2026","19.240","18.300","19.500","17.270","2.53M","5.14%"
"01/25/2026","18.300","18.660","18.750","18.200","802.84K","-1.93%"
"01/18/2026","18.660","18.250","18.700","18.010","856.38K","2.70%"
"01/11/2026","18.170","19.060","19.120","18.050","1.35M","-4.67%"
"01/04/2026","19.060","18.860","19.220","18.310","1.62M","1.11%"
"12/28/2025","18.850","18.240","18.850","18.050","1.60M","3.74%"
"12/21/2025","18.170","17.950","18.390","17.700","2.07M","1.34%"
"12/14/2025","17.930","18.310","18.700","16.350","3.71M","-1.75%"
"12/07/2025","18.250","18.200","18.770","18.130","1.36M","-0.38%"
"11/30/2025","18.320","19.200","19.280","18.200","1.38M","-4.48%"
"11/23/2025","19.180","18.740","20.100","18.450","3.86M","2.68%"
"11/16/2025","18.680","18.980","19.100","17.950","2.96M","-1.42%"
"11/09/2025","18.950","19.230","19.500","18.900","4.90M","-1.35%"
"11/02/2025","19.210","20.470","20.600","19.010","5.74M","-5.69%"
"10/26/2025","20.370","20.550","20.600","20.070","3.36M","-0.63%"
"10/19/2025","20.500","20.300","20.950","20.210","2.49M","1.23%"
"10/12/2025","20.250","19.900","21.500","19.520","5.41M","1.40%"
"10/05/2025","19.970","19.830","20.410","19.110","4.54M","0.81%"
"09/28/2025","19.810","20.100","22.000","19.810","8.00M","-1.44%"
"09/21/2025","20.100","20.500","20.710","19.670","6.93M","-1.95%"
"09/14/2025","20.500","25.100","25.190","20.260","13.81M","-18.16%"
"09/07/2025","25.050","21.000","25.300","20.350","16.07M","20.78%"
"08/31/2025","20.740","21.110","21.300","20.250","2.32M","-1.47%"
"08/24/2025","21.050","20.920","21.280","20.060","2.65M","0.24%"
"08/17/2025","21.000","19.840","21.880","19.640","6.37M","7.25%"
"08/10/2025","19.580","19.400","19.830","18.800","3.33M","0.93%"
"08/03/2025","19.400","18.210","20.000","18.120","5.17M","6.53%"
"07/27/2025","18.210","18.900","19.150","16.710","4.86M","-3.40%"
"07/20/2025","18.850","18.338","20.990","17.909","7.03M","3.45%"
"07/13/2025","18.221","19.126","20.679","17.792","10.76M","-3.71%"
"07/06/2025","18.923","16.372","19.040","16.372","7.79M","16.81%"
"06/29/2025","16.200","16.582","16.777","15.997","4.17M","-23.40%"
"06/22/2025","21.150","19.100","22.000","18.570","5.35M","10.85%"
"06/15/2025","19.080","17.480","21.800","17.010","5.39M","2.03%"
"06/08/2025","18.700","18.740","19.250","18.040","1.88M","-0.21%"
