"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","3.92","3.83","3.95","3.68","4.09M","2.89%"
"03/22/2026","3.81","3.65","3.88","3.61","1.94M","5.25%"
"03/15/2026","3.62","3.68","3.74","3.55","882.93K","-2.69%"
"03/08/2026","3.72","3.60","3.78","3.57","1.40M","2.48%"
"03/01/2026","3.63","3.45","3.72","3.45","1.61M","-3.46%"
"02/22/2026","3.76","3.75","3.90","3.66","2.31M","-0.27%"
"02/15/2026","3.77","3.84","3.95","3.74","2.77M","-2.84%"
"02/08/2026","3.88","3.85","4.08","3.80","5.20M","1.04%"
"02/01/2026","3.84","3.62","3.94","3.61","3.28M","6.08%"
"01/25/2026","3.62","3.89","3.86","3.60","4.34M","-6.94%"
"01/18/2026","3.89","3.79","3.96","3.78","2.68M","2.64%"
"01/11/2026","3.79","4.41","4.41","3.66","4.33M","-12.87%"
"01/04/2026","4.35","4.68","4.68","4.34","4.37M","-7.05%"
"12/28/2025","4.68","4.42","4.99","4.35","23.56M","6.36%"
"12/21/2025","4.40","4.23","4.49","4.15","7.12M","4.76%"
"12/14/2025","4.20","4.43","4.59","4.17","13.49M","-4.55%"
"12/07/2025","4.40","3.95","4.80","3.91","29.51M","11.11%"
"11/30/2025","3.96","3.92","4.06","3.86","4.22M","1.54%"
"11/23/2025","3.90","3.83","4.07","3.80","3.14M","2.09%"
"11/16/2025","3.82","3.84","3.90","3.77","1.63M","-0.52%"
"11/09/2025","3.84","3.88","3.99","3.81","1.83M","-0.78%"
"11/02/2025","3.87","3.96","4.08","3.73","3.32M","-1.53%"
"10/26/2025","3.93","4.05","4.18","3.88","2.54M","-2.24%"
"10/19/2025","4.02","4.05","4.38","3.93","10.23M","-0.25%"
"10/12/2025","4.03","3.96","4.12","3.87","3.42M","1.77%"
"10/05/2025","3.96","3.72","4.12","3.65","8.93M","8.20%"
"09/28/2025","3.66","3.83","3.85","3.65","2.06M","-2.66%"
"09/21/2025","3.76","3.71","3.88","3.56","3.35M","1.62%"
"09/14/2025","3.70","3.93","3.95","3.67","3.95M","-5.13%"
"09/07/2025","3.90","4.10","4.17","3.87","6.33M","-4.65%"
"08/31/2025","4.09","3.92","4.25","3.72","15.60M","7.07%"
"08/24/2025","3.82","3.63","4.05","3.63","17.86M","5.82%"
"08/17/2025","3.61","3.61","3.70","3.50","7.21M","1.12%"
"08/10/2025","3.57","3.60","3.74","3.55","5.88M","1.42%"
"08/03/2025","3.52","3.46","3.62","3.45","2.98M","0.86%"
"07/27/2025","3.49","3.52","3.79","3.36","6.57M","0.29%"
"07/20/2025","3.48","3.46","3.59","3.40","1.26M","1.16%"
"07/13/2025","3.44","3.53","3.58","3.37","1.42M","-2.82%"
"07/06/2025","3.54","3.55","3.71","3.51","3.79M","-0.28%"
"06/29/2025","3.55","3.60","3.67","3.50","3.31M","0.00%"
"06/22/2025","3.55","2.88","3.60","2.77","4.25M","22.41%"
"06/15/2025","2.90","3.30","3.30","2.88","2.54M","-15.70%"
"06/08/2025","3.44","3.55","3.60","3.41","1.80M","-1.15%"
"06/01/2025","3.48","3.51","3.54","3.43","1.48M","-0.57%"
"05/25/2025","3.50","3.54","3.66","3.47","2.80M","-0.28%"
"05/18/2025","3.51","3.75","3.75","3.42","3.13M","-5.39%"
"05/11/2025","3.71","3.75","3.92","3.63","7.37M","-1.07%"
"05/04/2025","3.75","3.90","4.15","3.67","21.94M","-2.85%"
"04/27/2025","3.86","3.60","3.95","3.49","11.29M","9.04%"
"04/20/2025","3.54","3.45","3.71","3.40","8.15M","5.36%"
"04/13/2025","3.36","3.31","3.54","3.27","9.22M","2.13%"
"04/06/2025","3.29","3.20","3.49","3.12","20.01M","-2.37%"
"03/30/2025","3.37","3.36","3.43","3.30","2.90M","-0.30%"
"03/23/2025","3.38","3.14","3.79","3.13","22.02M","7.99%"
"03/16/2025","3.13","3.15","3.23","3.12","1.48M","-1.26%"
"03/09/2025","3.17","3.15","3.24","3.11","1.16M","0.63%"
"03/02/2025","3.15","3.23","3.25","3.13","1.62M","-0.94%"
"02/23/2025","3.18","3.24","3.32","3.17","2.10M","-1.85%"
"02/16/2025","3.24","3.19","3.33","3.14","2.97M","2.21%"
"02/09/2025","3.17","3.32","3.35","3.08","3.21M","-4.52%"
"02/02/2025","3.32","3.46","3.46","3.31","1.29M","-5.14%"
"01/26/2025","3.50","3.43","3.61","3.30","2.63M","2.04%"
"01/19/2025","3.43","3.39","3.60","3.32","3.53M","3.63%"
"01/12/2025","3.31","3.40","3.40","3.15","3.77M","-2.65%"
"01/05/2025","3.40","3.68","3.68","3.37","2.52M","-5.29%"
"12/29/2024","3.59","3.49","3.71","3.33","6.04M","4.36%"
"12/22/2024","3.44","3.40","3.50","3.21","2.98M","1.78%"
"12/15/2024","3.38","3.55","3.58","3.21","1.98M","-3.43%"
"12/08/2024","3.50","3.66","3.74","3.47","2.54M","-4.89%"
"12/01/2024","3.68","3.60","3.79","3.50","2.30M","5.14%"
"11/24/2024","3.50","3.84","3.87","3.44","2.83M","-8.62%"
"11/17/2024","3.83","4.12","4.25","3.80","9.59M","-6.36%"
"11/10/2024","4.09","3.96","4.14","3.86","5.47M","3.02%"
"11/03/2024","3.97","3.98","4.12","3.93","1.98M","-0.50%"
"10/27/2024","3.99","3.92","4.26","3.86","4.88M","1.01%"
"10/20/2024","3.95","3.78","4.17","3.75","1.79M","3.67%"
"10/13/2024","3.81","3.91","4.20","3.71","3.17M","-5.22%"
"10/06/2024","4.02","4.45","4.45","4.00","2.31M","-9.26%"
"09/29/2024","4.43","4.21","4.75","4.12","6.35M","4.24%"
"09/22/2024","4.25","4.16","4.70","4.16","9.29M","0.95%"
"09/15/2024","4.21","4.45","4.55","4.08","4.56M","-4.32%"
"09/08/2024","4.40","4.35","4.50","4.15","12.61M","0.46%"
"09/01/2024","4.38","3.69","4.48","3.52","15.36M","21.67%"
"08/25/2024","3.60","3.29","3.60","3.21","4.07M","10.09%"
"08/18/2024","3.27","3.20","3.36","3.15","2.78M","3.81%"
"08/11/2024","3.15","3.11","3.43","3.03","4.33M","0.64%"
"08/04/2024","3.13","3.25","3.31","2.80","1.51M","-6.01%"
"07/28/2024","3.33","3.41","3.44","3.25","1.10M","-2.63%"
"07/21/2024","3.42","3.26","3.54","3.15","1.86M","4.91%"
"07/14/2024","3.26","3.23","3.38","3.11","511.18K","0.31%"
"07/07/2024","3.25","3.19","3.30","3.17","758.03K","1.25%"
"06/30/2024","3.21","3.41","3.43","3.11","404.76K","-5.31%"
"06/23/2024","3.39","3.05","3.49","2.97","3.43M","12.62%"
"06/09/2024","3.01","2.76","3.05","2.70","2.30M","8.66%"
"06/02/2024","2.77","2.83","2.90","2.54","1.31M","-2.12%"
"05/26/2024","2.83","2.84","2.99","2.81","945.49K","-2.41%"
"05/19/2024","2.90","3.12","3.15","2.85","1.59M","-7.05%"
"05/12/2024","3.12","2.75","3.19","2.63","7.98M","16.42%"
"05/05/2024","2.68","2.68","2.80","2.64","379.02K","-1.83%"
"04/28/2024","2.73","2.66","2.81","2.50","2.66M","1.11%"
"04/21/2024","2.70","2.85","2.92","2.61","1.73M","-5.26%"
"04/14/2024","2.85","2.89","3.06","2.83","2.11M","-1.38%"
"04/07/2024","2.89","2.88","2.93","2.82","390.42K","0.35%"
"03/31/2024","2.88","3.01","3.05","2.60","1.98M","-4.32%"
"03/24/2024","3.01","2.88","3.28","2.88","2.00M","4.51%"
"03/17/2024","2.88","3.31","3.44","2.64","5.01M","-12.99%"
"03/10/2024","3.31","3.37","3.49","3.13","4.00M","-1.78%"
"03/03/2024","3.37","3.75","3.89","3.35","6.85M","-10.13%"
"02/25/2024","3.75","4.04","4.20","3.73","13.48M","-7.18%"
"02/18/2024","4.04","4.06","4.28","3.92","18.54M","-0.49%"
"02/11/2024","4.06","4.09","4.30","3.90","2.52M","-0.73%"
"02/04/2024","4.09","4.15","4.21","4.03","1.72M","-1.45%"
"01/28/2024","4.15","4.31","4.40","3.80","3.79M","-3.49%"
"01/21/2024","4.30","4.31","4.40","4.22","3.03M","-0.23%"
"01/14/2024","4.31","4.64","4.74","4.20","9.24M","-2.93%"
"01/07/2024","4.44","4.21","4.90","4.10","5.29M","5.46%"
"12/31/2023","4.21","4.15","4.27","4.00","1.75M","2.43%"
