"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","12.930","13.340","13.590","12.720","1.40M","-2.78%"
"03/22/2026","13.300","13.000","14.100","13.000","4.15M","2.62%"
"03/15/2026","12.960","13.520","13.580","12.680","1.09M","-3.93%"
"03/08/2026","13.490","13.100","14.000","13.000","2.27M","2.98%"
"03/01/2026","13.100","12.520","13.290","12.220","2.31M","-4.87%"
"02/22/2026","13.770","14.780","14.900","13.410","3.81M","-7.27%"
"02/15/2026","14.850","15.220","16.450","14.030","13.54M","-0.93%"
"02/08/2026","14.990","13.970","15.000","13.550","7.28M","8.62%"
"02/01/2026","13.800","12.300","14.160","12.100","9.87M","14.52%"
"01/25/2026","12.050","12.600","12.940","12.050","1.87M","-4.37%"
"01/18/2026","12.600","12.280","12.880","12.260","1.22M","3.11%"
"01/11/2026","12.220","13.540","13.600","12.060","1.74M","-8.81%"
"01/04/2026","13.400","13.870","14.100","13.030","2.12M","-2.90%"
"12/28/2025","13.800","13.900","14.270","13.700","2.42M","-0.43%"
"12/21/2025","13.860","13.690","14.680","13.630","11.46M","1.24%"
"12/14/2025","13.690","13.500","14.770","13.270","15.10M","2.62%"
"12/07/2025","13.340","13.120","13.770","13.000","6.22M","1.99%"
"11/30/2025","13.080","12.680","13.180","12.570","2.97M","4.22%"
"11/23/2025","12.550","12.770","13.800","12.450","11.28M","-1.41%"
"11/16/2025","12.730","12.890","13.120","12.600","1.94M","-0.62%"
"11/09/2025","12.810","13.130","13.300","12.570","2.83M","-1.69%"
"11/02/2025","13.030","13.440","13.750","12.900","4.37M","-2.25%"
"10/26/2025","13.330","13.800","14.420","13.250","8.91M","-3.05%"
"10/19/2025","13.750","12.860","14.370","12.700","14.34M","7.84%"
"10/12/2025","12.750","12.840","13.200","12.540","6.86M","-0.70%"
"10/05/2025","12.840","11.800","13.660","11.740","17.84M","9.65%"
"09/28/2025","11.710","12.270","12.910","11.700","17.24M","-2.25%"
"09/21/2025","11.980","11.540","12.110","11.260","5.98M","4.72%"
"09/14/2025","11.440","12.250","12.330","11.200","3.71M","-6.38%"
"09/07/2025","12.220","12.040","12.690","11.610","8.55M","1.50%"
"08/31/2025","12.040","12.400","13.200","11.110","15.56M","-1.63%"
"08/24/2025","12.240","12.350","12.600","11.040","12.89M","-0.08%"
"08/17/2025","12.250","11.740","12.970","11.630","9.60M","4.34%"
"08/10/2025","11.740","12.650","13.550","11.580","12.27M","-7.34%"
"08/03/2025","12.670","10.200","13.450","10.000","24.34M","24.22%"
"07/27/2025","10.200","10.390","10.390","9.900","921.24K","-0.49%"
"07/20/2025","10.250","10.300","10.590","10.180","1.69M","-0.39%"
"07/13/2025","10.290","10.490","10.650","10.200","3.69M","-0.48%"
"07/06/2025","10.340","10.290","10.650","10.110","3.86M","0.49%"
"06/29/2025","10.290","10.200","10.570","10.000","2.85M","1.88%"
"06/22/2025","10.100","8.600","10.160","8.120","3.95M","17.17%"
"06/15/2025","8.620","9.210","9.210","8.430","1.31M","-11.68%"
"06/08/2025","9.760","10.120","10.230","9.740","1.22M","-3.17%"
"06/01/2025","10.080","10.100","10.400","9.950","1.59M","0.90%"
"05/25/2025","9.990","10.790","10.790","9.900","3.24M","-5.75%"
"05/18/2025","10.600","10.900","11.440","10.260","5.35M","-2.66%"
"05/11/2025","10.890","11.470","11.500","10.100","7.98M","-3.80%"
"05/04/2025","11.320","9.490","11.980","9.490","22.93M","20.17%"
"04/27/2025","9.420","9.630","9.720","9.370","3.05M","-0.84%"
"04/20/2025","9.500","9.210","9.690","9.200","3.41M","3.26%"
"04/13/2025","9.200","9.140","9.390","9.060","2.17M","1.55%"
"04/06/2025","9.060","8.810","9.550","8.000","2.39M","-1.84%"
"03/30/2025","9.230","9.310","9.340","9.200","102.34K","-0.54%"
"03/23/2025","9.280","9.170","9.670","9.120","2.66M","1.42%"
"03/16/2025","9.150","9.280","9.380","9.000","1.88M","-0.76%"
"03/09/2025","9.220","9.400","9.490","9.050","1.38M","-1.91%"
"03/02/2025","9.400","9.620","9.800","9.380","2.07M","-2.08%"
"02/23/2025","9.600","9.680","9.890","9.470","3.18M","-1.03%"
"02/16/2025","9.700","9.600","9.960","9.600","3.58M","1.57%"
"02/09/2025","9.550","9.670","10.360","9.190","2.91M","-0.93%"
"02/02/2025","9.640","10.200","10.300","9.610","2.02M","-4.84%"
"01/26/2025","10.130","9.900","10.740","9.400","7.42M","3.68%"
"01/19/2025","9.770","9.990","10.180","9.710","4.38M","-1.01%"
"01/12/2025","9.870","10.100","11.020","9.410","14.89M","-2.57%"
"01/05/2025","10.130","8.530","10.280","8.460","7.56M","19.04%"
"12/29/2024","8.510","8.700","8.700","8.000","1.24M","-1.62%"
"12/22/2024","8.650","8.890","9.290","8.570","1.78M","-1.37%"
"12/15/2024","8.770","9.500","9.560","7.800","1.91M","-7.10%"
"12/08/2024","9.440","9.650","9.950","9.320","3.52M","-1.87%"
"12/01/2024","9.620","9.640","9.850","9.550","1.41M","-0.21%"
"11/24/2024","9.640","9.550","10.150","9.510","6.86M","1.37%"
"11/17/2024","9.510","9.820","9.850","9.410","2.09M","-2.56%"
"11/10/2024","9.760","9.950","9.970","9.660","4.33M","-0.81%"
"11/03/2024","9.840","9.960","10.140","9.590","6.02M","-0.30%"
"10/27/2024","9.870","10.120","10.400","9.650","9.83M","-1.60%"
"10/20/2024","10.030","9.900","10.480","8.770","13.28M","1.62%"
"10/13/2024","9.870","8.620","10.300","7.900","13.88M","14.63%"
"10/06/2024","8.610","9.050","9.180","8.570","1.26M","-4.23%"
"09/29/2024","8.990","9.150","9.240","8.880","2.34M","-1.53%"
"09/22/2024","9.130","8.850","9.350","8.820","4.23M","3.75%"
"09/15/2024","8.800","8.950","9.000","8.620","1.10M","-1.12%"
"09/08/2024","8.900","9.070","9.150","8.600","2.21M","-1.66%"
