"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","9.85","10.10","10.18","9.72","996.57K","-1.40%"
"03/22/2026","9.99","9.98","10.34","9.84","1.94M","1.52%"
"03/15/2026","9.84","10.07","10.16","9.70","1.38M","-2.38%"
"03/08/2026","10.08","10.10","10.90","10.00","6.85M","1.61%"
"03/01/2026","9.92","9.48","10.45","8.80","1.15M","2.69%"
"02/22/2026","9.66","10.13","10.18","9.53","864.32K","-4.92%"
"02/15/2026","10.16","10.26","10.45","10.11","1.89M","-0.20%"
"02/08/2026","10.18","10.15","10.53","10.01","2.11M","0.89%"
"02/01/2026","10.09","9.90","10.30","9.78","1.20M","2.75%"
"01/25/2026","9.82","10.26","10.50","9.78","1.19M","-4.29%"
"01/18/2026","10.26","9.80","10.67","9.70","2.46M","5.56%"
"01/11/2026","9.72","10.32","10.42","9.71","1.49M","-4.71%"
"01/04/2026","10.20","10.24","10.43","9.98","776.77K","0.00%"
"12/28/2025","10.20","10.50","10.60","10.16","1.33M","-2.76%"
"12/21/2025","10.49","10.40","10.97","10.39","2.65M","0.87%"
"12/14/2025","10.40","10.30","11.00","10.01","4.34M","1.56%"
"12/07/2025","10.24","9.85","10.34","9.61","1.91M","4.49%"
"11/30/2025","9.80","9.90","10.08","9.76","1.00M","-0.51%"
"11/23/2025","9.85","10.46","10.70","9.82","1.22M","-5.74%"
"11/16/2025","10.45","10.87","10.87","10.38","1.86M","-3.69%"
"11/09/2025","10.85","11.22","11.59","10.81","2.61M","-3.12%"
"11/02/2025","11.20","11.33","11.44","10.81","1.90M","-1.15%"
"10/26/2025","11.33","11.55","11.78","11.25","2.12M","-1.65%"
"10/19/2025","11.52","11.00","11.89","10.95","6.07M","5.11%"
"10/12/2025","10.96","11.04","11.20","10.89","2.13M","-0.54%"
"10/05/2025","11.02","10.41","11.40","10.38","4.77M","5.66%"
"09/28/2025","10.43","10.81","10.90","10.37","2.58M","-6.37%"
"09/21/2025","11.14","10.70","11.45","10.70","3.84M","2.39%"
