"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","11.41","11.79","11.79","11.05","12.16M","-1.98%"
"03/22/2026","11.64","11.70","12.11","11.61","12.59M","-0.09%"
"03/15/2026","11.65","12.40","12.45","11.62","16.40M","-5.21%"
"03/08/2026","12.29","12.28","13.28","12.04","84.68M","1.32%"
"03/01/2026","12.13","12.31","13.97","11.71","88.45M","-7.33%"
"02/22/2026","13.09","12.85","13.40","12.65","35.20M","2.03%"
"02/15/2026","12.83","12.59","13.43","12.59","40.12M","2.97%"
"02/08/2026","12.46","12.25","12.79","12.13","27.91M","2.64%"
"02/01/2026","12.14","11.16","12.37","11.00","34.60M","9.27%"
"01/25/2026","11.11","10.95","11.68","10.67","19.51M","1.46%"
"01/18/2026","10.95","10.84","11.33","10.40","14.52M","4.29%"
"01/11/2026","10.50","11.60","11.92","9.77","7.95M","-8.85%"
"01/04/2026","11.52","12.45","12.49","11.46","5.76M","-7.77%"
"12/28/2025","12.49","12.20","12.60","12.03","12.03M","2.80%"
"12/21/2025","12.15","11.84","12.95","11.75","47.74M","3.32%"
"12/14/2025","11.76","10.78","12.03","10.77","40.87M","9.91%"
"12/07/2025","10.70","10.61","11.24","10.61","15.49M","0.85%"
"11/30/2025","10.61","10.25","11.04","10.25","21.59M","5.47%"
"11/23/2025","10.06","10.45","10.54","9.80","4.97M","-2.99%"
"11/16/2025","10.37","10.50","10.64","9.93","9.44M","-0.48%"
"11/09/2025","10.42","10.70","10.83","10.31","5.74M","-2.16%"
"11/02/2025","10.65","11.26","11.40","10.59","6.33M","-5.75%"
"10/26/2025","11.30","11.29","11.56","11.23","10.36M","0.00%"
"10/19/2025","11.30","11.62","11.81","11.20","6.23M","-2.33%"
"10/12/2025","11.57","11.90","11.90","11.33","9.46M","-2.85%"
"10/05/2025","11.91","11.90","12.20","11.83","7.63M","0.34%"
"09/28/2025","11.87","11.30","12.35","11.22","32.90M","5.79%"
"09/21/2025","11.22","11.27","11.50","10.98","5.82M","0.00%"
