"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","23.920","24.400","24.540","23.260","1.63M","-2.37%"
"03/22/2026","24.500","23.910","24.660","23.730","1.78M","2.85%"
"03/15/2026","23.820","24.380","24.400","23.600","1.25M","-1.37%"
"03/08/2026","24.150","24.800","25.190","23.850","2.18M","-2.31%"
"03/01/2026","24.720","23.510","25.480","23.350","1.73M","-4.59%"
"02/22/2026","25.910","27.090","27.790","25.600","1.83M","-4.11%"
"02/15/2026","27.020","27.890","29.500","26.700","7.61M","-2.70%"
"02/08/2026","27.770","25.940","28.250","25.940","9.49M","7.22%"
"02/01/2026","25.900","23.710","26.000","22.820","4.63M","9.19%"
"01/25/2026","23.720","24.000","24.700","23.320","1.05M","-1.17%"
"01/18/2026","24.000","23.710","24.370","23.170","1.52M","2.13%"
"01/11/2026","23.500","25.000","25.190","23.300","1.36M","-6.49%"
"01/04/2026","25.130","25.560","25.650","24.700","1.31M","-1.76%"
"12/28/2025","25.580","25.400","25.650","25.000","1.41M","0.99%"
"12/21/2025","25.330","25.780","26.420","25.300","2.03M","-1.75%"
"12/14/2025","25.780","26.050","26.090","25.270","1.16M","-0.58%"
"12/07/2025","25.930","25.510","26.840","25.300","3.63M","1.77%"
"11/30/2025","25.480","25.290","25.800","25.000","2.40M","0.79%"
"11/23/2025","25.280","25.650","26.170","24.700","2.05M","-1.37%"
"11/16/2025","25.630","27.730","27.900","25.280","3.48M","-7.47%"
"11/09/2025","27.700","27.140","28.380","26.800","4.73M","2.03%"
"11/02/2025","27.150","27.650","27.940","26.500","4.26M","-1.59%"
"10/26/2025","27.590","27.090","28.770","26.960","7.79M","2.19%"
"10/19/2025","27.000","27.380","27.750","26.500","5.09M","-1.24%"
"10/12/2025","27.340","26.250","27.960","25.880","7.66M","5.07%"
"10/05/2025","26.020","25.510","26.780","25.510","4.83M","2.36%"
"09/28/2025","25.420","24.680","25.630","24.620","3.17M","3.21%"
"09/21/2025","24.630","25.500","25.600","24.120","2.28M","-3.30%"
"09/14/2025","25.470","26.300","27.250","25.260","2.85M","-2.97%"
"09/07/2025","26.250","26.210","27.520","25.810","3.24M","0.19%"
"08/31/2025","26.200","26.300","27.360","25.860","4.43M","0.54%"
"08/24/2025","26.060","24.390","26.680","24.260","4.85M","6.72%"
"08/17/2025","24.420","24.800","24.970","23.900","2.26M","-1.53%"
"08/10/2025","24.800","25.460","25.880","24.700","1.81M","-2.75%"
"08/03/2025","25.500","25.760","26.120","25.240","2.75M","0.04%"
"07/27/2025","25.490","26.220","26.640","24.700","2.03M","-2.67%"
"07/20/2025","26.190","26.200","27.140","25.950","3.49M","0.61%"
"07/13/2025","26.030","27.410","27.770","25.710","2.84M","-5.31%"
"07/06/2025","27.490","26.300","28.560","26.300","9.45M","5.20%"
"06/29/2025","26.130","24.700","26.750","24.700","6.88M","6.35%"
"06/22/2025","24.570","21.700","24.570","21.000","2.60M","11.68%"
"06/15/2025","22.000","23.010","23.800","22.000","1.93M","-10.20%"
"06/08/2025","24.500","26.640","27.050","24.470","2.90M","-7.86%"
"06/01/2025","26.590","24.890","27.430","24.700","6.50M","7.35%"
"05/25/2025","24.770","23.300","25.870","23.300","4.79M","6.81%"
"05/18/2025","23.190","23.880","24.200","22.510","2.68M","-2.81%"
"05/11/2025","23.860","24.980","25.520","23.600","2.63M","-3.79%"
"05/04/2025","24.800","26.000","26.000","24.600","1.49M","-3.50%"
"04/27/2025","25.700","25.770","26.340","25.500","1.51M","0.59%"
"04/20/2025","25.550","25.100","25.750","24.900","1.20M","2.61%"
"04/13/2025","24.900","25.100","25.740","24.310","2.89M","-0.24%"
"04/06/2025","24.960","24.100","25.160","23.220","3.02M","-0.95%"
"03/30/2025","25.200","25.670","25.680","25.000","593.12K","-1.83%"
"03/23/2025","25.670","27.200","27.600","25.470","2.10M","-5.52%"
"03/16/2025","27.170","27.850","28.350","27.170","2.82M","-1.77%"
"03/09/2025","27.660","28.870","29.240","27.120","4.80M","-3.22%"
"03/02/2025","28.580","31.970","32.700","28.360","6.99M","-9.61%"
"02/23/2025","31.620","30.200","32.390","30.000","3.59M","5.29%"
"02/16/2025","30.030","29.890","30.500","29.320","1.65M","3.16%"
"02/09/2025","29.110","30.510","31.600","28.700","1.71M","-3.64%"
"02/02/2025","30.210","31.250","31.800","29.370","1.50M","-2.74%"
"01/26/2025","31.060","30.050","31.930","29.010","3.68M","3.53%"
"01/19/2025","30.000","28.840","31.320","28.600","4.14M","5.15%"
"01/12/2025","28.530","29.190","29.880","27.070","6.54M","-2.96%"
"01/05/2025","29.400","32.300","32.500","29.000","3.51M","-8.47%"
"12/29/2024","32.120","33.100","33.100","29.600","3.31M","-1.89%"
"12/22/2024","32.740","32.500","34.840","31.860","6.71M","2.28%"
"12/15/2024","32.010","29.000","33.020","27.500","11.30M","9.89%"
"12/08/2024","29.130","31.500","31.740","28.280","4.33M","-6.63%"
"12/01/2024","31.200","29.500","31.580","28.400","9.40M","6.12%"
"11/24/2024","29.400","26.740","29.800","26.610","9.66M","10.28%"
"11/17/2024","26.660","27.040","27.810","25.000","7.68M","0.04%"
"11/10/2024","26.650","23.730","27.400","23.500","11.61M","13.45%"
"11/03/2024","23.490","24.000","24.110","23.110","3.36M","-1.51%"
"10/27/2024","23.850","23.280","24.560","23.050","4.29M","2.45%"
"10/20/2024","23.280","24.250","24.560","22.270","4.58M","-2.35%"
"10/13/2024","23.840","22.250","24.250","21.500","3.83M","7.68%"
"10/06/2024","22.140","22.710","23.180","21.030","1.18M","-1.82%"
"09/29/2024","22.550","23.980","24.020","22.150","2.63M","-5.96%"
"09/22/2024","23.980","23.650","25.250","23.440","6.35M","1.44%"
"09/15/2024","23.640","23.880","24.240","22.720","2.95M","0.47%"
"09/08/2024","23.530","23.700","24.200","22.800","3.65M","-0.97%"
"09/01/2024","23.760","24.130","24.670","23.340","6.55M","-1.08%"
"08/25/2024","24.020","25.270","27.310","23.750","6.49M","5.54%"
"08/18/2024","22.760","26.100","28.490","22.010","8.99M","-12.43%"
"08/11/2024","25.990","25.270","27.650","24.900","10.04M","4.13%"
"08/04/2024","24.960","24.600","25.680","21.050","6.90M","-0.32%"
"07/28/2024","25.040","24.000","25.700","23.720","7.19M","4.33%"
"07/21/2024","24.000","23.850","25.600","23.560","6.54M","1.27%"
"07/14/2024","23.700","23.750","24.700","23.500","4.01M","0.34%"
"07/07/2024","23.620","23.400","24.740","22.650","3.98M","1.68%"
"06/30/2024","23.230","25.000","25.900","22.910","4.09M","-6.82%"
