"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","5.25","5.38","5.42","5.01","21.25M","-2.23%"
"03/22/2026","5.37","5.42","5.59","5.33","18.75M","-0.74%"
"03/15/2026","5.41","5.52","5.70","5.28","14.12M","-3.05%"
"03/08/2026","5.58","5.35","5.75","5.31","38.76M","4.89%"
"03/01/2026","5.32","5.01","5.42","4.92","18.20M","-1.04%"
"02/22/2026","5.38","5.28","5.52","5.00","30.95M","1.27%"
"02/15/2026","5.31","5.40","5.63","5.22","48.64M","-1.60%"
"02/08/2026","5.40","4.98","5.40","4.92","82.91M","8.70%"
"02/01/2026","4.96","4.68","5.02","4.49","57.24M","7.26%"
"01/25/2026","4.63","4.61","4.74","4.46","32.29M","-0.62%"
"01/18/2026","4.66","4.18","4.76","4.11","79.54M","12.53%"
"01/11/2026","4.14","4.01","4.19","3.99","41.44M","3.61%"
"01/04/2026","3.99","4.07","4.07","3.97","13.74M","-1.65%"
"12/28/2025","4.06","4.09","4.13","4.05","19.20M","-0.24%"
"12/21/2025","4.07","4.13","4.14","4.01","22.38M","-0.93%"
"12/14/2025","4.11","4.33","4.39","4.08","53.16M","-3.60%"
"12/07/2025","4.26","4.13","4.34","4.11","58.95M","3.98%"
"11/30/2025","4.10","4.14","4.20","4.03","23.28M","-0.47%"
"11/23/2025","4.12","4.20","4.32","4.11","25.64M","-1.83%"
"11/16/2025","4.20","4.24","4.33","4.16","27.97M","-0.91%"
"11/09/2025","4.23","4.15","4.25","4.08","22.64M","2.56%"
"11/02/2025","4.13","4.13","4.18","4.07","19.08M","0.00%"
"10/26/2025","4.13","4.11","4.20","4.10","15.36M","0.94%"
"10/19/2025","4.09","4.07","4.17","4.05","18.41M","0.95%"
"10/12/2025","4.05","3.96","4.05","3.94","15.13M","2.43%"
"10/05/2025","3.96","3.97","4.01","3.95","6.17M","0.24%"
"09/28/2025","3.95","3.96","4.01","3.94","7.41M","0.24%"
"09/21/2025","3.94","3.89","3.96","3.87","7.37M","2.24%"
"09/14/2025","3.85","3.96","4.08","3.85","15.47M","-2.43%"
"09/07/2025","3.95","4.04","4.07","3.93","14.57M","-1.91%"
"08/31/2025","4.02","4.17","4.18","4.01","13.39M","-2.56%"
"08/24/2025","4.13","4.13","4.17","4.06","13.58M","0.70%"
"08/17/2025","4.10","4.15","4.21","4.02","16.07M","-0.93%"
"08/10/2025","4.14","4.39","4.41","4.09","16.47M","-5.27%"
"08/03/2025","4.37","4.42","4.45","4.34","8.57M","-0.87%"
"07/27/2025","4.41","4.52","4.56","4.29","13.71M","-2.34%"
"07/20/2025","4.51","4.61","4.70","4.42","27.92M","-1.88%"
"07/13/2025","4.60","4.62","4.68","4.52","28.43M","-0.21%"
"07/06/2025","4.61","4.38","4.61","4.31","33.77M","5.49%"
"06/29/2025","4.37","4.31","4.44","4.26","22.85M","1.79%"
"06/22/2025","4.29","3.85","4.30","3.76","20.24M","10.37%"
"06/15/2025","3.89","4.22","4.22","3.86","19.41M","-10.00%"
"06/08/2025","4.32","4.38","4.56","4.30","26.68M","-0.88%"
"06/01/2025","4.36","4.43","4.48","4.29","19.94M","-1.30%"
"05/25/2025","4.42","4.44","4.49","4.20","57.96M","0.22%"
"05/18/2025","4.41","4.42","4.42","4.28","23.62M","0.88%"
"05/11/2025","4.37","4.49","4.51","4.36","16.11M","-2.78%"
"05/04/2025","4.49","4.48","4.61","4.39","42.67M","0.65%"
"04/27/2025","4.46","4.56","4.68","4.44","55.44M","-1.90%"
"04/20/2025","4.55","4.41","4.61","4.39","21.99M","4.18%"
"04/13/2025","4.37","4.22","4.52","4.21","45.83M","3.88%"
"04/06/2025","4.20","4.22","4.34","4.11","59.25M","-4.16%"
"03/30/2025","4.39","4.35","4.39","4.29","3.99M","0.22%"
"03/23/2025","4.38","4.22","4.42","4.19","50.29M","4.11%"
"03/16/2025","4.20","3.99","4.26","3.99","61.15M","5.29%"
"03/09/2025","3.99","3.85","4.10","3.85","65.47M","5.32%"
"03/02/2025","3.79","3.81","3.93","3.79","22.54M","-0.25%"
"02/23/2025","3.80","3.88","3.91","3.73","31.05M","-2.70%"
"02/16/2025","3.91","3.74","3.95","3.74","32.31M","5.44%"
"02/09/2025","3.71","3.85","3.90","3.63","20.55M","-3.26%"
"02/02/2025","3.83","3.91","3.96","3.78","26.12M","-1.97%"
"01/26/2025","3.91","3.75","3.98","3.68","38.53M","4.09%"
"01/19/2025","3.75","3.76","3.82","3.72","17.70M","0.26%"
"01/12/2025","3.74","3.71","3.86","3.53","31.02M","0.78%"
"01/05/2025","3.72","3.83","3.85","3.71","10.71M","-2.52%"
"12/29/2024","3.81","3.66","3.82","3.55","15.68M","4.20%"
