"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","86.41","85.14","87.60","83.00","26.76K","0.54%"
"03/22/2026","85.95","85.50","89.00","84.51","29.95K","1.08%"
"03/15/2026","85.03","86.51","88.00","84.44","17.45K","-2.93%"
"03/08/2026","87.60","84.95","89.00","83.17","51.66K","3.16%"
"03/01/2026","84.92","84.00","93.00","69.16","52.49K","-0.14%"
"02/22/2026","85.04","89.18","93.00","84.01","37.81K","-5.75%"
"02/15/2026","90.23","92.51","94.48","89.05","42.99K","-3.02%"
"02/08/2026","93.04","94.70","96.50","92.05","80.92K","-0.39%"
"02/01/2026","93.40","91.60","101.00","90.30","118.75K","2.41%"
"01/25/2026","91.20","97.26","99.65","90.20","46.57K","-6.23%"
"01/18/2026","97.26","97.60","103.00","96.95","106.49K","0.30%"
"01/11/2026","96.97","100.55","105.00","95.25","85.78K","-2.96%"
"01/04/2026","99.93","102.59","106.00","99.31","68.27K","-2.59%"
"12/28/2025","102.59","107.60","111.99","102.03","230.83K","-4.56%"
"12/21/2025","107.49","101.99","115.00","99.00","284.07K","7.60%"
"12/14/2025","99.90","102.07","105.50","98.00","50.56K","-2.79%"
"12/07/2025","102.77","105.00","106.40","100.50","29.76K","-1.62%"
"11/30/2025","104.46","100.81","112.50","98.01","106.50K","3.35%"
"11/23/2025","101.07","114.00","114.50","99.30","109.04K","-9.51%"
"11/16/2025","111.69","113.85","118.50","110.00","124.58K","-0.61%"
"11/09/2025","112.38","115.00","121.00","110.00","101.67K","-1.88%"
"11/02/2025","114.53","120.00","133.00","111.55","369.84K","-4.53%"
"10/26/2025","119.97","115.15","131.50","114.66","284.50K","4.64%"
"10/19/2025","114.65","96.25","138.00","95.25","1.16M","19.30%"
"10/12/2025","96.10","91.98","102.50","90.00","368.46K","6.15%"
"10/05/2025","90.53","87.10","94.90","87.10","63.51K","4.02%"
"09/28/2025","87.03","91.00","92.33","86.50","68.48K","-3.61%"
"09/21/2025","90.29","90.09","98.00","85.10","129.51K","0.22%"
"09/14/2025","90.09","94.08","98.90","88.00","77.97K","-4.56%"
"09/07/2025","94.39","102.00","107.70","86.02","349.36K","-8.05%"
"08/31/2025","102.65","95.00","125.71","90.00","924.55K","17.58%"
"08/24/2025","87.30","70.08","87.30","68.75","126.49K","24.57%"
"08/17/2025","70.08","72.00","73.00","68.10","33.00K","-0.24%"
"08/10/2025","70.25","70.68","77.00","67.10","121.66K","-0.34%"
"08/03/2025","70.49","66.70","77.25","55.15","87.54K","9.03%"
"07/27/2025","64.65","65.00","68.00","64.01","16.94K","0.00%"
"07/20/2025","64.65","64.50","67.88","64.01","16.44K","-3.31%"
"07/13/2025","66.86","63.40","71.00","62.51","56.18K","5.14%"
"07/06/2025","63.59","67.03","69.69","62.69","34.63K","-7.29%"
"06/29/2025","68.59","60.00","72.89","60.00","41.78K","15.63%"
"06/22/2025","59.32","58.06","62.90","57.50","7.21K","0.00%"
"06/15/2025","59.32","58.99","61.00","55.00","17.55K","-1.38%"
"06/08/2025","60.15","60.06","65.50","59.15","29.40K","-2.12%"
"06/01/2025","61.45","59.52","67.30","59.00","53.53K","2.38%"
"05/25/2025","60.02","55.31","64.00","55.20","44.32K","4.24%"
"05/18/2025","57.58","55.29","58.79","53.60","30.54K","4.14%"
"05/11/2025","55.29","52.80","60.00","51.98","31.80K","6.37%"
"05/04/2025","51.98","52.00","53.49","51.72","14.30K","0.00%"
"04/27/2025","51.98","51.69","52.00","51.00","3.77K","0.00%"
"04/20/2025","51.98","52.90","53.00","51.67","8.60K","0.00%"
"04/13/2025","51.98","49.99","53.75","48.60","26.68K","3.59%"
"04/06/2025","50.18","50.00","50.75","48.00","22.45K","0.42%"
"03/30/2025","49.97","49.80","50.47","49.80","7.59K","-3.44%"
"03/23/2025","51.75","50.00","51.53","49.40","6.29K","0.00%"
"03/16/2025","51.75","49.41","51.54","49.41","3.39K","0.00%"
"03/09/2025","51.75","50.67","51.50","49.15","3.91K","0.00%"
"03/02/2025","51.75","49.20","50.80","49.20","4.47K","0.00%"
"02/23/2025","51.75","50.13","51.50","49.00","9.94K","0.00%"
"02/16/2025","51.75","49.03","51.54","49.03","4.35K","0.00%"
"02/09/2025","51.75","51.95","51.95","49.00","2.08K","0.00%"
