"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","36.83","38.50","39.39","36.55","1.78M","-3.26%"
"03/22/2026","38.07","35.12","39.25","35.12","7.36M","10.35%"
"03/15/2026","34.50","35.99","36.49","34.00","1.28M","-2.82%"
"03/08/2026","35.50","31.00","38.98","30.61","8.89M","16.39%"
"03/01/2026","30.50","28.03","31.00","27.30","1.12M","4.67%"
"02/22/2026","29.14","29.90","30.35","28.50","1.16M","-1.25%"
"02/15/2026","29.51","29.35","30.89","29.00","1.99M","1.30%"
"02/08/2026","29.13","29.00","29.89","28.72","1.68M","1.85%"
"02/01/2026","28.60","28.50","28.86","27.50","1.00M","1.85%"
"01/25/2026","28.08","28.22","29.12","28.00","783.77K","-0.50%"
"01/18/2026","28.22","27.22","28.68","27.21","615.28K","3.94%"
"01/11/2026","27.15","28.76","28.97","26.50","616.50K","-5.53%"
"01/04/2026","28.74","29.01","29.23","28.54","464.47K","-0.83%"
"12/28/2025","28.98","29.13","29.38","25.00","532.21K","-0.07%"
"12/21/2025","29.00","28.82","29.40","28.66","511.26K","1.01%"
"12/14/2025","28.71","29.80","30.59","28.65","1.45M","-2.64%"
"12/07/2025","29.49","28.62","30.98","28.20","1.80M","2.93%"
"11/30/2025","28.65","29.32","29.88","28.60","554.87K","-1.78%"
"11/23/2025","29.17","29.69","29.90","28.70","546.06K","-1.22%"
"11/16/2025","29.53","30.65","30.80","29.42","914.40K","-3.47%"
"11/09/2025","30.59","29.40","31.49","29.40","2.08M","4.44%"
"11/02/2025","29.29","34.29","34.99","29.10","2.55M","-14.11%"
"10/26/2025","34.10","34.71","35.24","33.91","1.32M","-1.73%"
"10/19/2025","34.70","32.95","35.55","32.90","2.27M","5.38%"
"10/12/2025","32.93","32.94","33.10","32.80","487.07K","0.09%"
"10/05/2025","32.90","32.65","33.42","32.63","549.33K","0.83%"
"09/28/2025","32.63","33.68","33.90","32.01","892.92K","-3.12%"
"09/21/2025","33.68","32.61","33.90","32.28","512.53K","3.28%"
"09/14/2025","32.61","33.81","34.25","32.02","729.84K","-3.49%"
"09/07/2025","33.79","33.34","35.15","33.34","2.00M","1.75%"
"08/31/2025","33.21","33.70","34.18","32.80","1.10M","-0.98%"
"08/24/2025","33.54","31.82","34.20","31.54","2.22M","6.17%"
