"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","8.550","8.810","9.080","8.210","14.54M","-2.84%"
"03/22/2026","8.800","8.300","8.810","8.180","11.13M","6.67%"
"03/15/2026","8.250","8.340","8.370","8.110","2.67M","-0.96%"
"03/08/2026","8.330","8.200","8.470","8.190","7.41M","2.33%"
"03/01/2026","8.140","8.000","8.290","7.750","17.61M","-5.35%"
"02/22/2026","8.600","9.230","9.280","8.500","11.27M","-6.83%"
"02/15/2026","9.230","9.470","9.600","9.200","9.54M","-2.33%"
"02/08/2026","9.450","9.420","9.840","9.420","22.21M","0.53%"
"02/01/2026","9.400","8.900","9.640","8.800","21.33M","5.03%"
"01/25/2026","8.950","9.480","9.900","8.900","21.24M","-5.59%"
"01/18/2026","9.480","9.380","9.740","9.290","15.18M","1.94%"
"01/11/2026","9.300","10.050","10.240","9.300","11.39M","-7.28%"
"01/04/2026","10.030","10.090","10.400","9.600","22.87M","-0.40%"
"12/28/2025","10.070","10.260","10.350","10.000","15.70M","-1.76%"
"12/21/2025","10.250","9.560","10.380","9.440","41.71M","7.78%"
"12/14/2025","9.510","9.400","10.000","9.180","36.98M","2.04%"
"12/07/2025","9.320","9.360","9.670","9.250","12.38M","0.00%"
"11/30/2025","9.320","9.250","9.580","9.200","9.36M","1.19%"
"11/23/2025","9.210","9.980","10.000","9.190","13.06M","-7.44%"
"11/16/2025","9.950","10.230","10.460","9.900","16.68M","-2.74%"
"11/09/2025","10.230","10.230","10.560","10.170","20.37M","0.59%"
"11/02/2025","10.170","10.700","10.740","10.100","19.98M","-4.42%"
"10/26/2025","10.640","10.630","10.790","10.410","19.85M","0.38%"
"10/19/2025","10.600","11.070","11.090","10.560","25.92M","-3.55%"
"10/12/2025","10.990","11.570","11.570","10.650","58.87M","-5.18%"
"10/05/2025","11.590","11.480","11.900","11.330","48.13M","1.58%"
"09/28/2025","11.410","10.800","11.500","10.580","67.53M","6.04%"
"09/21/2025","10.760","10.200","10.760","10.160","35.55M","6.32%"
"09/14/2025","10.120","10.800","11.080","10.120","32.96M","-5.68%"
"09/07/2025","10.730","11.420","11.420","10.660","31.33M","-5.96%"
"08/31/2025","11.410","11.750","11.950","11.410","27.52M","-2.06%"
"08/24/2025","11.650","12.200","12.230","11.390","63.97M","-2.10%"
"08/17/2025","11.900","11.570","12.000","11.480","67.54M","2.59%"
"08/10/2025","11.600","12.130","12.200","11.440","69.59M","-3.25%"
"08/03/2025","11.990","10.860","11.990","10.650","106.67M","11.53%"
"07/27/2025","10.750","10.400","11.090","10.110","56.37M","3.86%"
"07/20/2025","10.350","10.170","10.600","10.030","25.52M","2.07%"
"07/13/2025","10.140","10.500","10.640","10.120","25.68M","-2.78%"
"07/06/2025","10.430","10.880","11.000","10.250","43.66M","4.30%"
"06/29/2025","10.000","10.600","10.730","9.840","39.44M","-4.94%"
"06/22/2025","10.520","8.770","10.640","8.510","56.98M","18.87%"
"06/15/2025","8.850","9.910","10.650","8.810","60.56M","-17.75%"
"06/08/2025","10.760","11.170","12.380","10.040","111.18M","-2.89%"
"06/01/2025","11.080","11.320","11.950","10.970","69.39M","-1.42%"
"05/25/2025","11.240","9.400","11.600","9.400","149.13M","20.21%"
"05/18/2025","9.350","8.880","9.350","8.700","23.89M","5.29%"
"05/11/2025","8.880","9.210","9.250","8.720","15.41M","-3.16%"
"05/04/2025","9.170","9.480","9.590","9.110","26.35M","-2.55%"
"04/27/2025","9.410","9.470","9.760","9.150","32.44M","0.43%"
"04/20/2025","9.370","9.470","9.520","9.350","7.35M","-0.32%"
"04/13/2025","9.400","9.640","9.770","9.150","33.53M","-2.29%"
"04/06/2025","9.620","9.560","10.240","9.250","105.61M","-3.51%"
"03/30/2025","9.970","9.500","10.040","9.500","16.24M","4.51%"
"03/23/2025","9.540","9.170","9.830","8.660","67.78M","5.30%"
"03/16/2025","9.060","8.290","10.200","8.260","212.51M","10.49%"
"03/09/2025","8.200","6.670","8.220","6.340","151.33M","23.68%"
"03/02/2025","6.630","6.060","6.740","5.970","119.10M","9.59%"
