"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","22.28","22.48","22.53","21.70","4.49M","-0.54%"
"03/22/2026","22.40","22.94","22.94","22.27","1.91M","-0.04%"
"03/15/2026","22.41","22.89","22.90","22.01","3.65M","-2.05%"
"03/08/2026","22.88","22.49","23.49","22.25","5.77M","2.46%"
"03/01/2026","22.33","21.86","22.64","21.01","4.66M","-1.85%"
"02/22/2026","22.75","22.99","23.01","21.93","4.37M","-1.00%"
"02/15/2026","22.98","23.30","24.39","22.80","15.68M","-1.16%"
"02/08/2026","23.25","23.38","23.67","23.13","6.08M","0.00%"
"02/01/2026","23.25","22.18","23.44","21.90","7.01M","5.68%"
"01/25/2026","22.00","22.34","22.80","21.80","3.46M","-1.52%"
"01/18/2026","22.34","22.00","22.58","21.48","4.97M","3.81%"
"01/11/2026","21.52","22.90","23.11","21.46","3.72M","-6.31%"
"01/04/2026","22.97","23.32","23.44","22.44","3.27M","-1.20%"
"12/28/2025","23.25","23.43","23.90","23.22","3.51M","-0.64%"
"12/21/2025","23.40","22.90","23.40","22.43","3.76M","2.18%"
"12/14/2025","22.90","23.45","23.45","22.81","3.68M","-2.35%"
"12/07/2025","23.45","22.97","23.75","22.28","7.62M","2.76%"
"11/30/2025","22.82","22.20","23.39","22.06","6.78M","3.73%"
"11/23/2025","22.00","22.81","22.88","21.91","6.08M","-3.51%"
"11/16/2025","22.80","24.32","24.40","22.72","9.23M","-6.02%"
"11/09/2025","24.26","24.31","25.11","24.10","11.26M","0.04%"
"11/02/2025","24.25","23.97","24.75","23.30","11.54M","1.46%"
"10/26/2025","23.90","23.94","24.50","23.41","9.66M","0.38%"
"10/19/2025","23.81","23.60","24.22","23.15","8.76M","1.19%"
"10/12/2025","23.53","22.29","23.99","21.93","11.54M","5.28%"
"10/05/2025","22.35","21.70","22.60","21.55","3.84M","3.57%"
"09/28/2025","21.58","21.45","22.40","21.09","5.78M","1.17%"
"09/21/2025","21.33","21.19","21.55","20.80","2.08M","1.33%"
"09/14/2025","21.05","21.81","21.86","20.82","2.55M","-3.13%"
"09/07/2025","21.73","22.19","22.38","21.48","2.77M","-1.94%"
"08/31/2025","22.16","22.75","23.00","21.92","2.27M","-2.38%"
"08/24/2025","22.70","23.00","23.20","22.47","2.41M","-1.09%"
"08/17/2025","22.95","22.65","23.44","22.49","4.58M","1.32%"
"08/10/2025","22.65","22.59","23.19","22.46","5.34M","0.67%"
"08/03/2025","22.50","22.50","22.78","22.21","4.38M","0.22%"
"07/27/2025","22.45","23.33","23.37","22.01","4.24M","-3.44%"
"07/20/2025","23.25","23.98","23.98","23.04","2.99M","0.22%"
"07/13/2025","23.20","23.25","24.30","23.04","10.10M","0.39%"
"07/06/2025","23.11","23.90","23.90","22.88","3.67M","-2.28%"
"06/29/2025","23.65","24.20","24.36","23.17","5.69M","-2.47%"
"06/22/2025","24.25","20.94","24.25","20.30","9.07M","15.48%"
"06/15/2025","21.00","21.90","22.00","19.66","5.14M","-7.08%"
"06/08/2025","22.60","22.51","23.49","22.37","6.80M","1.03%"
"06/01/2025","22.37","22.17","22.54","21.80","2.74M","1.64%"
"05/25/2025","22.01","21.50","22.65","21.44","5.09M","2.66%"
"05/18/2025","21.44","22.00","22.11","21.16","3.17M","-2.55%"
"05/11/2025","22.00","22.56","22.60","21.87","1.98M","-1.65%"
"05/04/2025","22.37","21.87","23.10","21.85","7.66M","2.38%"
"04/27/2025","21.85","23.49","23.50","21.80","7.36M","-6.90%"
"04/20/2025","23.47","23.01","23.50","22.93","4.43M","2.18%"
"04/13/2025","22.97","22.80","23.88","22.80","6.15M","1.10%"
"04/06/2025","22.72","22.57","22.94","20.80","9.13M","-1.69%"
"03/30/2025","23.11","23.03","23.18","22.90","710.69K","-0.82%"
"03/23/2025","23.30","23.21","23.43","22.63","9.94M","0.60%"
"03/16/2025","23.16","24.39","24.50","23.05","9.99M","-4.42%"
"03/09/2025","24.23","24.62","24.85","24.05","5.37M","-1.34%"
"03/02/2025","24.56","24.50","24.76","23.98","22.78M","0.41%"
"02/23/2025","24.46","25.32","25.48","24.04","13.44M","-2.86%"
"02/16/2025","25.18","24.03","25.33","24.01","10.28M","5.18%"
"02/09/2025","23.94","25.32","25.72","23.50","4.20M","-5.34%"
"02/02/2025","25.29","25.20","25.77","24.70","7.57M","0.20%"
"01/26/2025","25.24","26.53","27.27","25.00","14.12M","-4.43%"
"01/19/2025","26.41","24.90","27.50","24.20","29.56M","6.92%"
"01/12/2025","24.70","24.49","25.00","22.70","11.18M","0.04%"
"01/05/2025","24.69","25.87","26.38","24.59","3.92M","-4.45%"
"12/29/2024","25.84","25.50","26.08","23.65","3.93M","1.45%"
"12/22/2024","25.47","26.70","26.95","25.05","4.50M","-3.89%"
"12/15/2024","26.50","26.04","27.50","25.40","12.72M","1.92%"
"12/08/2024","26.00","26.63","26.80","25.60","6.52M","-1.89%"
"12/01/2024","26.50","26.45","26.67","25.36","12.34M","1.07%"
"11/24/2024","26.22","26.61","26.85","25.30","9.50M","-1.13%"
"11/17/2024","26.52","27.89","27.89","26.23","11.27M","-4.71%"
"11/10/2024","27.83","29.30","29.69","27.71","7.42M","-4.69%"
"11/03/2024","29.20","29.88","30.30","28.66","8.81M","-0.68%"
"10/27/2024","29.40","30.00","31.25","29.06","18.94M","-1.18%"
"10/20/2024","29.75","28.00","35.12","27.52","28.98M","6.25%"
"10/13/2024","28.00","24.16","28.28","23.71","12.81M","17.60%"
"10/06/2024","23.81","23.32","25.56","22.61","4.34M","2.19%"
"09/29/2024","23.30","24.45","24.50","22.90","3.02M","-3.72%"
"09/22/2024","24.20","25.25","25.78","24.14","3.48M","-4.35%"
"09/15/2024","25.30","25.50","26.07","24.36","1.18M","-0.78%"
"09/08/2024","25.50","23.81","26.30","23.30","7.07M","7.05%"
"09/01/2024","23.82","23.78","24.25","23.50","1.76M","0.17%"
"08/25/2024","23.78","23.96","24.40","23.12","1.40M","-0.71%"
"08/18/2024","23.95","25.02","25.40","23.33","3.71M","-4.16%"
"08/11/2024","24.99","23.30","25.00","23.02","2.27M","7.58%"
"08/04/2024","23.23","24.00","24.10","20.15","2.95M","-4.05%"
"07/28/2024","24.21","24.40","24.96","23.60","1.45M","-1.22%"
"07/21/2024","24.51","23.80","25.43","22.56","3.47M","4.30%"
"07/14/2024","23.50","23.22","23.60","22.80","1.65M","1.21%"
"07/07/2024","23.22","23.57","24.20","22.66","1.04M","-1.28%"
"06/30/2024","23.52","23.47","24.30","23.00","1.78M","0.34%"
"06/23/2024","23.44","22.24","24.70","22.24","4.80M","5.68%"
"06/09/2024","22.18","20.60","22.33","19.10","3.60M","8.09%"
"06/02/2024","20.52","19.70","21.75","19.30","6.95M","4.43%"
"05/26/2024","19.65","19.68","20.50","19.60","3.73M","-0.10%"
"05/19/2024","19.67","19.29","20.50","19.29","5.89M","2.98%"
"05/12/2024","19.10","19.40","19.70","17.60","2.91M","-1.29%"
"05/05/2024","19.35","18.28","19.65","17.81","4.91M","5.85%"
"04/28/2024","18.28","19.01","19.01","16.62","6.05M","-8.60%"
"04/21/2024","20.00","20.27","21.96","19.04","9.45M","-1.33%"
"04/14/2024","20.27","19.80","22.60","19.85","14.61M","2.37%"
"04/07/2024","19.80","19.00","19.94","18.99","2.13M","4.21%"
"03/31/2024","19.00","19.03","19.50","17.83","3.84M","-0.16%"
"03/24/2024","19.03","19.06","20.93","18.80","5.25M","-0.16%"
"03/17/2024","19.06","18.51","19.90","17.70","7.75M","2.97%"
