"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","5.26","5.15","5.29","5.03","46.70M","2.14%"
"03/22/2026","5.15","5.39","5.47","5.11","51.81M","-4.28%"
"03/15/2026","5.38","5.49","5.53","5.02","99.68M","-2.00%"
"03/08/2026","5.49","5.35","6.02","5.26","88.33M","2.81%"
"03/01/2026","5.34","5.21","6.03","5.17","117.38M","-6.32%"
"02/22/2026","5.70","5.28","5.73","4.97","90.44M","9.83%"
"02/15/2026","5.19","4.64","5.70","4.60","119.34M","12.34%"
"02/08/2026","4.62","4.72","4.77","4.54","55.03M","-1.07%"
"02/01/2026","4.67","4.45","5.08","4.38","90.29M","4.01%"
"01/25/2026","4.49","3.89","4.57","3.87","66.85M","15.42%"
"01/18/2026","3.89","3.76","4.04","3.76","73.05M","4.57%"
"01/11/2026","3.72","3.71","3.93","3.57","90.49M","0.54%"
"01/04/2026","3.70","3.49","3.82","3.48","148.98M","6.94%"
"12/28/2025","3.46","3.35","3.46","3.30","51.92M","4.53%"
"12/21/2025","3.31","3.47","3.49","3.22","98.53M","-4.34%"
"12/14/2025","3.46","2.99","3.55","2.99","405.88M","17.69%"
"12/07/2025","2.94","2.80","2.97","2.78","88.33M","5.76%"
"11/30/2025","2.78","2.73","2.82","2.73","38.02M","2.58%"
"11/23/2025","2.71","2.82","2.85","2.66","60.62M","-3.56%"
"11/16/2025","2.81","2.95","2.97","2.81","66.13M","-3.77%"
"11/09/2025","2.92","2.89","3.07","2.82","147.39M","0.69%"
"11/02/2025","2.90","2.92","2.94","2.84","49.53M","0.35%"
"10/26/2025","2.89","2.87","3.01","2.84","111.21M","0.70%"
"10/19/2025","2.87","2.92","2.95","2.81","62.27M","-1.03%"
"10/12/2025","2.90","2.86","2.92","2.82","58.01M","1.05%"
"10/05/2025","2.87","2.89","2.93","2.85","54.64M","0.00%"
"09/28/2025","2.87","2.58","3.00","2.58","165.21M","3.24%"
"09/21/2025","2.78","2.84","2.93","2.76","69.07M","-1.77%"
"09/14/2025","2.83","3.07","3.09","2.80","55.22M","-7.52%"
"09/07/2025","3.06","3.10","3.17","3.02","37.75M","-0.33%"
"08/31/2025","3.07","3.18","3.19","3.07","20.30M","-3.15%"
"08/24/2025","3.17","3.18","3.22","3.05","47.37M","0.32%"
"08/17/2025","3.16","3.22","3.31","3.16","61.82M","-1.25%"
"08/10/2025","3.20","3.21","3.32","3.15","66.46M","-0.31%"
"08/03/2025","3.21","3.17","3.30","3.10","76.52M","1.26%"
"07/27/2025","3.17","3.20","3.25","2.99","54.57M","-0.63%"
"07/20/2025","3.19","3.30","3.38","3.15","65.11M","-2.45%"
"07/13/2025","3.27","3.30","3.45","3.21","145.78M","-1.51%"
"07/06/2025","3.32","3.23","3.42","3.16","176.55M","4.08%"
"06/29/2025","3.19","2.88","3.33","2.87","778.85M","11.93%"
"06/22/2025","2.85","2.61","2.90","2.59","204.51M","7.55%"
"06/15/2025","2.65","2.60","2.84","2.55","82.69M","-7.99%"
"06/08/2025","2.88","2.89","3.07","2.88","113.81M","0.70%"
"06/01/2025","2.86","2.75","2.91","2.71","71.44M","4.38%"
"05/25/2025","2.74","2.72","2.86","2.62","89.82M","1.48%"
"05/18/2025","2.70","2.78","2.83","2.65","42.19M","-0.74%"
"05/11/2025","2.72","2.83","2.86","2.69","31.79M","-2.86%"
"05/04/2025","2.80","2.94","2.95","2.75","63.15M","-4.76%"
"04/27/2025","2.94","2.89","2.98","2.79","118.81M","2.80%"
"04/20/2025","2.86","2.83","2.91","2.75","58.40M","2.14%"
"04/13/2025","2.80","2.37","2.82","2.37","256.75M","20.17%"
"04/06/2025","2.33","2.30","2.42","2.20","42.94M","-1.27%"
"03/30/2025","2.36","2.35","2.37","2.34","3.37M","0.00%"
"03/23/2025","2.36","2.40","2.40","2.30","37.79M","-0.84%"
"03/16/2025","2.38","2.36","2.45","2.34","54.11M","1.71%"
"03/09/2025","2.34","2.40","2.44","2.34","33.66M","-1.27%"
"03/02/2025","2.37","2.45","2.46","2.36","29.73M","-2.47%"
"02/23/2025","2.43","2.52","2.55","2.43","69.27M","-3.19%"
"02/16/2025","2.51","2.40","2.56","2.39","51.31M","6.81%"
"02/09/2025","2.35","2.64","2.66","2.27","58.39M","-10.31%"
"02/02/2025","2.62","2.63","2.70","2.56","40.28M","0.00%"
"01/26/2025","2.62","2.78","2.79","2.61","88.56M","-5.07%"
"01/19/2025","2.76","2.72","2.89","2.66","68.49M","1.85%"
"01/12/2025","2.71","2.85","2.87","2.57","48.25M","-5.90%"
"01/05/2025","2.88","3.00","3.01","2.85","23.31M","-3.03%"
"12/29/2024","2.97","2.90","3.00","2.70","50.84M","2.77%"
"12/22/2024","2.89","3.35","3.38","2.87","159.70M","-13.21%"
"12/15/2024","3.33","3.50","3.54","3.23","45.23M","-4.03%"
"12/08/2024","3.47","3.40","3.60","3.16","132.21M","3.58%"
"12/01/2024","3.35","3.02","3.47","2.99","86.47M","12.04%"
"11/24/2024","2.99","3.20","3.21","2.98","35.40M","-5.68%"
"11/17/2024","3.17","3.27","3.30","3.15","19.55M","-3.06%"
"11/10/2024","3.27","3.43","3.47","3.25","41.05M","-3.82%"
"11/03/2024","3.40","3.39","3.46","3.27","72.80M","1.80%"
"10/27/2024","3.34","3.41","3.74","3.30","158.94M","-1.18%"
"10/20/2024","3.38","3.45","3.64","3.10","155.31M","-1.74%"
"10/13/2024","3.44","3.11","3.66","2.85","162.24M","12.42%"
"10/06/2024","3.06","2.72","3.18","2.59","51.95M","12.92%"
"09/29/2024","2.71","2.88","2.91","2.67","21.67M","-5.90%"
"09/22/2024","2.88","2.75","3.05","2.75","48.98M","4.73%"
"09/15/2024","2.75","2.76","2.81","2.52","20.19M","0.36%"
"09/08/2024","2.74","2.80","2.94","2.70","26.95M","-0.36%"
"09/01/2024","2.75","2.62","2.90","2.62","75.58M","5.36%"
"08/25/2024","2.61","2.24","2.64","2.24","49.64M","17.04%"
"08/18/2024","2.23","2.31","2.37","2.19","20.21M","-2.19%"
"08/11/2024","2.28","2.25","2.35","2.20","14.19M","1.33%"
"08/04/2024","2.25","2.24","2.30","1.97","21.54M","-2.60%"
"07/28/2024","2.31","2.07","2.42","2.06","54.89M","11.59%"
"07/21/2024","2.07","2.16","2.20","2.04","15.38M","-2.36%"
"07/14/2024","2.12","2.03","2.18","1.97","21.78M","5.32%"
"07/07/2024","2.01","2.04","2.12","1.98","20.23M","2.18%"
"06/30/2024","1.97","2.22","2.29","1.92","19.64M","-5.06%"
"06/23/2024","2.08","1.92","2.14","1.90","60.50M","8.92%"
"06/09/2024","1.90","1.71","2.04","1.61","17.82M","9.48%"
"06/02/2024","1.74","1.78","1.83","1.72","6.40M","-2.25%"
"05/26/2024","1.78","1.81","1.89","1.73","15.31M","0.00%"
"05/19/2024","1.78","1.64","1.99","1.63","36.76M","9.54%"
"05/12/2024","1.63","1.76","1.77","1.47","7.92M","-7.93%"
"05/05/2024","1.76","1.79","1.80","1.67","4.25M","-0.84%"
"04/28/2024","1.78","1.95","1.97","1.63","11.33M","-7.77%"
"04/21/2024","1.93","2.15","2.22","1.72","13.49M","-10.44%"
"04/14/2024","2.15","2.27","2.40","2.13","17.15M","-5.07%"
"04/07/2024","2.27","2.30","2.35","2.22","6.01M","-1.30%"
"03/31/2024","2.30","2.33","2.35","2.09","18.38M","-1.08%"
"03/24/2024","2.33","2.27","2.57","2.15","49.39M","2.65%"
"03/17/2024","2.27","2.35","2.38","1.93","25.61M","-3.62%"
"03/10/2024","2.35","2.45","2.69","2.11","34.33M","-4.08%"
"03/03/2024","2.45","2.39","2.83","2.28","78.47M","2.30%"
"02/25/2024","2.39","2.30","2.73","2.08","112.63M","4.36%"
"02/18/2024","2.30","2.42","2.54","2.28","46.48M","-5.17%"
"02/11/2024","2.42","2.22","2.51","2.14","63.68M","9.01%"
"02/04/2024","2.22","2.29","2.48","2.14","52.55M","-2.84%"
"01/28/2024","2.29","2.42","2.69","2.06","119.09M","-0.65%"
"01/21/2024","2.30","2.08","2.32","1.95","80.93M","11.92%"
"01/14/2024","2.06","1.75","2.21","1.75","150.04M","18.44%"
"01/07/2024","1.74","1.50","1.90","1.50","119.76M","18.43%"
"12/31/2023","1.47","1.36","1.51","1.36","25.82M","8.92%"
"12/24/2023","1.35","1.38","1.40","1.30","7.67M","-2.54%"
"12/17/2023","1.38","1.42","1.44","1.34","14.16M","-0.72%"
"12/10/2023","1.39","1.37","1.43","1.32","14.69M","2.96%"
"12/03/2023","1.35","1.50","1.53","1.33","45.87M","-8.16%"
"11/26/2023","1.47","1.37","1.50","1.34","63.06M","8.49%"
"11/19/2023","1.36","1.33","1.38","1.26","34.26M","5.04%"
"11/12/2023","1.29","1.18","1.32","1.17","35.48M","8.86%"
"11/05/2023","1.18","1.20","1.25","1.17","14.81M","-1.25%"
"10/29/2023","1.20","1.20","1.25","1.13","23.89M","2.13%"
"10/22/2023","1.17","1.10","1.22","1.09","15.85M","7.80%"
"10/15/2023","1.09","1.09","1.13","1.07","8.66M","1.40%"
"10/08/2023","1.08","1.11","1.11","1.02","7.96M","-2.71%"
"10/01/2023","1.11","1.12","1.14","1.07","8.38M","-1.78%"
"09/24/2023","1.13","1.17","1.17","1.12","7.92M","-3.02%"
"09/17/2023","1.16","1.21","1.24","1.15","26.07M","-3.33%"
"09/10/2023","1.20","1.21","1.24","1.15","29.35M","0.00%"
"09/03/2023","1.20","1.25","1.27","1.18","38.70M","-2.85%"
"08/27/2023","1.23","1.24","1.26","1.19","29.51M","0.00%"
"08/20/2023","1.23","1.21","1.33","1.18","48.75M","1.23%"
"08/13/2023","1.22","1.15","1.28","1.13","40.71M","5.65%"
"08/06/2023","1.15","1.10","1.23","1.10","22.00M","5.50%"
"07/30/2023","1.09","1.09","1.13","1.09","5.60M","0.00%"
"07/23/2023","1.09","1.12","1.13","1.09","2.77M","-2.68%"
"07/16/2023","1.12","1.13","1.14","1.10","5.01M","0.00%"
"07/09/2023","1.12","1.14","1.15","1.05","4.12M","-3.04%"
"07/02/2023","1.15","1.22","1.22","1.14","2.97M","-2.54%"
"06/25/2023","1.18","1.21","1.23","1.15","3.57M","-2.07%"
"06/18/2023","1.21","1.25","1.28","1.19","5.34M","-2.82%"
"06/11/2023","1.24","1.26","1.29","1.21","8.24M","-1.98%"
"06/04/2023","1.26","1.30","1.39","1.26","24.47M","-0.78%"
"05/28/2023","1.27","1.19","1.30","1.18","28.53M","7.59%"
"05/21/2023","1.18","1.16","1.24","1.13","8.38M","4.87%"
"05/14/2023","1.13","1.21","1.21","1.13","6.34M","-5.44%"
"05/07/2023","1.20","1.20","1.24","1.17","8.51M","0.00%"
"04/30/2023","1.20","1.26","1.30","1.18","8.14M","-5.91%"
"04/23/2023","1.27","1.22","1.29","1.21","5.24M","4.53%"
"04/16/2023","1.22","1.18","1.24","1.17","4.19M","2.97%"
"04/09/2023","1.18","1.22","1.22","1.16","4.19M","0.00%"
"04/02/2023","1.18","1.11","1.25","1.11","11.27M","6.76%"
"03/26/2023","1.11","1.15","1.18","1.10","7.97M","-1.33%"
"03/19/2023","1.13","1.08","1.20","1.00","8.78M","7.66%"
"03/12/2023","1.04","1.33","1.33","0.95","14.29M","-21.43%"
"03/05/2023","1.33","1.38","1.39","1.29","10.61M","-2.92%"
"02/26/2023","1.37","1.35","1.41","1.32","19.82M","3.40%"
"02/19/2023","1.33","1.37","1.38","1.28","12.52M","-2.21%"
"02/12/2023","1.36","1.31","1.42","1.29","33.34M","3.04%"
"02/05/2023","1.32","1.26","1.33","1.16","12.11M","4.78%"
"01/29/2023","1.25","1.40","1.40","1.25","16.26M","-9.06%"
"01/22/2023","1.38","1.38","1.45","1.36","30.94M","0.73%"
"01/15/2023","1.37","1.28","1.47","1.25","32.78M","7.87%"
"01/08/2023","1.27","1.53","1.60","1.25","36.74M","-16.72%"
"01/01/2023","1.52","1.62","1.66","1.30","35.82M","-3.79%"
"12/25/2022","1.59","1.63","1.66","1.55","19.28M","-4.23%"
"12/18/2022","1.65","1.69","1.75","1.50","78.65M","1.85%"
"12/11/2022","1.63","1.36","1.80","1.34","98.61M","20.37%"
"12/04/2022","1.35","1.33","1.43","1.30","35.29M","2.27%"
"11/27/2022","1.32","1.35","1.38","1.30","31.30M","0.00%"
"11/20/2022","1.33","1.34","1.38","1.28","45.87M","0.00%"
"11/13/2022","1.33","1.26","1.37","1.25","11.39M","6.00%"
"11/06/2022","1.25","1.33","1.34","1.21","9.84M","-5.30%"
"10/30/2022","1.32","1.35","1.42","1.25","13.75M","-1.12%"
"10/23/2022","1.34","1.44","1.44","1.32","17.50M","-4.64%"
"10/16/2022","1.40","1.49","1.53","1.34","24.99M","-5.08%"
"10/09/2022","1.48","1.39","1.57","1.32","79.26M","6.12%"
"10/02/2022","1.39","1.38","1.46","1.29","19.10M","1.09%"
"09/25/2022","1.38","1.40","1.58","1.37","63.65M","0.00%"
"09/18/2022","1.37","1.33","1.39","1.07","24.34M","4.58%"
"09/11/2022","1.31","1.25","1.38","1.16","22.94M","6.07%"
"09/04/2022","1.24","1.25","1.32","1.21","15.31M","0.00%"
"08/28/2022","1.24","1.20","1.36","1.19","30.79M","2.06%"
"08/21/2022","1.22","1.28","1.43","1.18","16.20M","-6.18%"
"08/14/2022","1.29","1.06","1.51","1.06","34.43M","22.92%"
"08/07/2022","1.05","0.94","1.08","0.94","8.40M","13.04%"
"07/31/2022","0.93","0.93","0.95","0.90","1.66M","2.14%"
"07/24/2022","0.91","0.95","0.96","0.90","2.17M","-4.65%"
"07/17/2022","0.96","0.85","0.96","0.85","1.28M","-0.73%"
"07/03/2022","0.96","0.92","0.92","0.80","990.02K","0.00%"
"06/26/2022","0.96","0.97","0.97","0.88","670.90K","0.00%"
"06/19/2022","0.96","0.96","0.98","0.94","647.78K","0.00%"
"06/12/2022","0.96","0.99","0.99","0.95","2.08M","-2.38%"
"06/05/2022","0.99","0.90","1.01","0.90","4.59M","6.93%"
"05/29/2022","0.92","0.91","0.96","0.90","1.08M","-2.79%"
"05/22/2022","0.95","1.03","1.03","0.92","1.75M","-5.94%"
"05/15/2022","1.01","1.05","1.05","1.00","1.33M","-3.35%"
"05/08/2022","1.04","1.15","1.15","1.02","2.69M","-6.28%"
"04/24/2022","1.12","1.11","1.14","1.07","336.87K","0.00%"
"04/17/2022","1.12","1.07","1.13","1.00","1.83M","4.69%"
"04/10/2022","1.07","1.25","1.25","1.05","1.82M","-14.11%"
"04/03/2022","1.24","1.17","1.25","1.17","7.00M","5.98%"
"03/27/2022","1.17","1.18","1.18","1.06","5.15M","0.00%"
"03/20/2022","1.16","1.01","1.20","1.01","8.36M","12.83%"
"03/13/2022","1.03","0.97","1.04","0.95","4.86M","6.99%"
"03/06/2022","0.96","1.00","1.04","0.95","3.38M","-6.76%"
"02/27/2022","1.03","0.96","1.05","0.96","3.57M","8.95%"
"02/20/2022","0.95","1.13","1.13","0.89","4.64M","-14.41%"
"02/13/2022","1.11","1.19","1.19","1.08","3.81M","-5.13%"
"02/06/2022","1.17","1.23","1.23","1.15","5.02M","-2.90%"
"01/30/2022","1.21","1.24","1.28","1.21","6.20M","-1.23%"
"01/23/2022","1.22","1.29","1.29","1.19","3.56M","-5.43%"
"01/16/2022","1.29","1.33","1.40","1.28","9.47M","-4.09%"
"01/09/2022","1.35","1.32","1.48","1.30","19.53M","3.46%"
"01/02/2022","1.30","1.22","1.32","1.17","12.53M","9.24%"
"12/26/2021","1.19","1.20","1.23","1.15","1.74M","0.42%"
"12/19/2021","1.18","1.22","1.22","1.16","2.32M","-1.66%"
"12/12/2021","1.21","1.17","1.22","1.14","2.08M","5.24%"
"12/05/2021","1.14","1.25","1.26","1.13","2.89M","-7.29%"
"11/28/2021","1.24","1.24","1.27","1.21","2.18M","-1.59%"
"11/21/2021","1.25","1.29","1.30","1.18","1.12M","-0.79%"
"11/14/2021","1.26","1.38","1.38","1.20","3.95M","-6.64%"
"11/07/2021","1.36","1.40","1.46","1.26","5.98M","-1.81%"
"10/31/2021","1.38","1.25","1.50","1.21","26.79M","14.05%"
"10/24/2021","1.21","1.27","1.39","1.12","4.77M","0.00%"
"10/17/2021","1.22","1.31","1.34","1.06","3.47M","-3.57%"
"10/10/2021","1.26","1.38","1.38","1.24","3.41M","-7.35%"
"10/03/2021","1.36","1.32","1.41","1.23","6.89M","8.37%"
"09/26/2021","1.25","1.20","1.30","1.13","1.72M","6.81%"
"09/19/2021","1.17","1.21","1.25","1.05","1.98M","-2.89%"
"09/12/2021","1.21","1.18","1.26","1.17","1.88M","3.42%"
"09/05/2021","1.17","1.38","1.38","1.15","4.58M","-14.60%"
"08/29/2021","1.37","1.37","1.44","1.36","8.25M","1.11%"
"08/22/2021","1.36","1.38","1.39","1.33","4.21M","-1.09%"
"08/15/2021","1.37","1.38","1.43","1.26","6.82M","-1.79%"
"08/08/2021","1.39","1.46","1.50","1.30","3.75M","-5.10%"
"08/01/2021","1.47","1.47","1.53","1.40","7.58M","0.00%"
"07/25/2021","1.48","1.49","1.52","1.45","7.06M","0.68%"
"07/18/2021","1.47","1.42","1.50","1.38","2.27M","3.90%"
"07/11/2021","1.41","1.43","1.44","1.25","4.13M","0.00%"
"07/04/2021","1.40","1.49","1.52","1.31","5.49M","-6.02%"
"06/27/2021","1.50","1.52","1.60","1.47","9.20M","0.00%"
"06/20/2021","1.50","1.50","1.53","1.43","9.73M","1.01%"
"06/13/2021","1.48","1.53","1.54","1.40","9.43M","-2.95%"
"06/06/2021","1.52","1.58","1.66","1.49","18.28M","-1.61%"
"05/30/2021","1.55","1.61","1.66","1.44","23.30M","-6.34%"
"05/23/2021","1.65","1.74","1.90","1.59","44.14M","-2.36%"
"05/16/2021","1.70","1.46","1.83","1.45","25.18M","16.90%"
"05/09/2021","1.45","1.50","1.50","1.40","4.76M","-2.68%"
"05/02/2021","1.49","1.53","1.57","1.47","6.38M","0.00%"
"04/25/2021","1.50","1.45","1.57","1.41","13.69M","4.55%"
"04/18/2021","1.43","1.31","1.54","1.26","10.93M","7.52%"
"04/11/2021","1.33","1.55","1.61","1.27","19.37M","-15.02%"
"04/04/2021","1.57","1.39","1.61","1.37","45.95M","14.23%"
"03/28/2021","1.37","1.11","1.42","1.06","25.17M","26.27%"
"03/21/2021","1.09","1.38","1.40","1.03","16.18M","-21.03%"
"03/14/2021","1.37","1.28","1.38","1.05","17.77M","6.26%"
"03/07/2021","1.29","1.27","1.35","1.20","12.33M","9.90%"
"02/28/2021","1.18","1.36","1.38","1.08","21.33M","-16.14%"
"02/21/2021","1.40","1.34","1.47","1.30","40.72M","7.47%"
"02/14/2021","1.31","1.41","1.49","1.27","32.67M","-16.23%"
"02/07/2021","1.56","1.64","1.80","1.32","68.64M","4.70%"
"01/31/2021","1.49","0.91","1.49","0.90","29.25M","71.29%"
"01/24/2021","0.87","0.77","0.90","0.76","27.09M","15.71%"
"01/17/2021","0.75","0.50","0.78","0.50","30.77M","49.16%"
"01/10/2021","0.50","0.53","0.53","0.45","8.74M","-4.28%"
"01/03/2021","0.53","0.40","0.53","0.40","9.67M","43.52%"
"12/27/2020","0.37","0.31","0.37","0.31","1.09M","9.90%"
"12/20/2020","0.33","0.31","0.35","0.30","193.26K","0.00%"
"12/13/2020","0.33","0.36","0.37","0.32","759.58K","-7.10%"
"12/06/2020","0.36","0.39","0.39","0.35","606.94K","-6.87%"
"11/29/2020","0.39","0.39","0.40","0.36","573.36K","-3.50%"
"11/22/2020","0.40","0.38","0.40","0.38","532.02K","0.00%"
"11/15/2020","0.40","0.46","0.46","0.39","997.30K","-6.77%"
"11/08/2020","0.43","0.36","0.44","0.36","1.22M","15.65%"
"11/01/2020","0.37","0.40","0.40","0.36","182.90K","-6.20%"
"10/25/2020","0.40","0.40","0.40","0.40","27.48M","0.00%"
"10/18/2020","0.40","0.39","0.40","0.37","68.08M","-3.64%"
"10/11/2020","0.41","0.40","0.43","0.37","3.19M","6.04%"
"10/04/2020","0.39","0.41","0.41","0.35","1.68M","4.71%"
"09/27/2020","0.37","0.40","0.40","0.35","4.50M","-7.24%"
"09/20/2020","0.40","0.44","0.45","0.40","7.42M","-11.69%"
"09/13/2020","0.45","0.45","0.48","0.42","3.57M","10.48%"
"09/06/2020","0.41","0.35","0.42","0.34","2.89M","22.35%"
"08/30/2020","0.34","0.31","0.34","0.31","1.93M","10.00%"
"08/23/2020","0.31","0.32","0.32","0.29","95.66M","0.00%"
"08/16/2020","0.31","0.31","0.32","0.30","365.52K","0.00%"
"08/09/2020","0.31","0.26","0.32","0.26","5.30M","20.47%"
"08/02/2020","0.26","0.26","0.27","0.25","99.94K","0.00%"
"07/26/2020","0.26","0.25","0.27","0.25","43.31M","0.00%"
"07/19/2020","0.25","0.27","0.28","0.25","943.46K","-6.16%"
"07/12/2020","0.27","0.25","0.28","0.24","1.74M","4.08%"
"07/05/2020","0.26","0.26","0.26","0.25","495.42K","2.39%"
"06/28/2020","0.25","0.25","0.26","0.25","728.12K","0.00%"
"06/21/2020","0.25","0.25","0.26","0.25","196.88K","0.00%"
