"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","19.92","19.70","20.96","19.10","12.32M","1.12%"
"03/22/2026","19.70","18.15","20.49","17.90","12.17M","9.99%"
"03/15/2026","17.91","18.10","18.26","17.45","2.08M","-1.05%"
"03/08/2026","18.10","18.55","18.60","17.89","3.09M","-1.63%"
"03/01/2026","18.40","17.80","19.00","17.00","5.61M","-0.54%"
"02/22/2026","18.50","19.70","20.00","18.30","9.40M","-5.27%"
"02/15/2026","19.53","19.64","21.71","19.40","18.23M","-0.41%"
"02/08/2026","19.61","16.78","20.40","16.76","23.45M","19.14%"
"02/01/2026","16.46","16.51","17.15","16.30","5.63M","-0.18%"
"01/25/2026","16.49","17.75","17.94","16.40","3.81M","-7.10%"
"01/18/2026","17.75","17.16","18.08","17.16","1.70M","3.50%"
"01/11/2026","17.15","18.32","18.80","17.04","4.01M","-5.82%"
"01/04/2026","18.21","17.97","18.78","17.30","3.57M","1.56%"
"12/28/2025","17.93","18.06","18.40","17.91","1.80M","-0.55%"
"12/21/2025","18.03","18.30","18.60","17.80","3.51M","-1.48%"
"12/14/2025","18.30","19.00","19.05","18.30","2.46M","-2.92%"
"12/07/2025","18.85","18.50","19.34","18.50","5.56M","1.89%"
"11/30/2025","18.50","18.10","19.00","18.01","7.38M","2.44%"
"11/23/2025","18.06","18.50","18.60","17.71","4.96M","-1.69%"
"11/16/2025","18.37","18.98","19.17","17.50","8.82M","-2.91%"
"11/09/2025","18.92","19.27","19.65","18.52","13.73M","-1.25%"
"11/02/2025","19.16","18.93","20.10","18.21","12.65M","1.27%"
"10/26/2025","18.92","18.99","20.20","18.81","16.42M","0.21%"
"10/19/2025","18.88","16.23","18.95","16.23","29.87M","15.62%"
"10/12/2025","16.33","16.06","16.94","15.95","6.81M","1.37%"
"10/05/2025","16.11","15.40","16.46","15.36","4.86M","5.16%"
"09/28/2025","15.32","15.13","15.76","15.01","9.60M","1.26%"
"09/21/2025","15.13","15.59","15.75","14.85","6.59M","-2.64%"
"09/14/2025","15.54","15.19","15.60","14.81","4.68M","3.05%"
"09/07/2025","15.08","14.88","15.80","14.66","8.63M","1.62%"
"08/31/2025","14.84","15.09","15.25","14.60","4.43M","-0.74%"
"08/24/2025","14.95","15.60","15.70","14.81","6.67M","-3.55%"
"08/17/2025","15.50","16.26","16.57","15.21","8.36M","-4.67%"
"08/10/2025","16.26","16.02","17.60","15.64","13.52M","-71.88%"
"08/03/2025","57.82","57.80","59.00","57.00","1.17M","-0.16%"
"07/27/2025","57.91","60.00","60.45","57.00","922.76K","-2.67%"
"07/20/2025","59.50","60.00","61.49","58.00","1.34M","0.00%"
"07/13/2025","59.50","58.98","60.00","57.50","1.96M","0.85%"
"07/06/2025","59.00","59.03","60.99","58.50","1.07M","0.15%"
"06/29/2025","58.91","58.70","60.38","58.11","1.61M","0.41%"
"06/22/2025","58.67","53.79","58.93","52.00","1.87M","8.65%"
"06/15/2025","54.00","59.01","60.80","52.30","1.38M","-13.11%"
"06/08/2025","62.15","63.81","66.00","62.05","1.19M","-3.79%"
"06/01/2025","64.60","66.00","67.04","63.50","1.83M","-1.40%"
"05/25/2025","65.52","62.01","66.14","62.00","3.79M","5.27%"
"05/18/2025","62.24","62.35","62.88","61.00","1.03M","-0.08%"
"05/11/2025","62.29","63.55","63.90","62.11","1.12M","-1.89%"
"05/04/2025","63.49","63.90","65.20","62.15","2.50M","-0.17%"
"04/27/2025","63.60","63.11","64.67","62.51","1.68M","1.19%"
"04/20/2025","62.85","62.53","63.36","62.25","391.65K","1.21%"
"04/13/2025","62.10","64.01","66.39","62.03","2.35M","-2.71%"
"04/06/2025","63.83","64.55","65.99","60.12","2.34M","-4.67%"
"03/30/2025","66.96","65.15","67.50","65.00","491.18K","0.37%"
"03/23/2025","66.71","66.63","70.00","66.00","2.93M","0.14%"
"03/16/2025","66.62","64.15","69.00","62.16","4.70M","3.93%"
"03/09/2025","64.10","67.98","69.00","63.85","4.71M","-4.70%"
"03/02/2025","67.26","63.50","68.37","63.50","5.43M","6.76%"
"02/23/2025","63.00","64.10","66.00","62.10","3.22M","-1.56%"
"02/16/2025","64.00","61.51","64.50","61.02","2.80M","4.83%"
"02/09/2025","61.05","63.00","63.90","59.00","2.27M","-2.57%"
"02/02/2025","62.66","61.99","63.00","59.63","2.11M","1.97%"
"01/26/2025","61.45","62.87","66.00","61.25","4.87M","-1.29%"
"01/19/2025","62.25","55.11","65.30","55.11","8.24M","13.39%"
"01/12/2025","54.90","57.00","57.79","49.13","1.98M","-4.36%"
"01/05/2025","57.40","60.85","61.60","57.20","1.25M","-5.31%"
"12/29/2024","60.62","59.43","61.10","58.01","469.41K","3.13%"
"12/22/2024","58.78","61.50","62.79","58.65","1.61M","-4.00%"
"12/15/2024","61.23","64.35","65.99","60.28","1.69M","-4.72%"
"12/08/2024","64.26","63.20","66.88","63.00","3.92M","2.16%"
"12/01/2024","62.90","59.06","64.00","59.06","3.41M","6.65%"
"11/24/2024","58.98","59.10","60.00","57.91","1.20M","0.39%"
"11/17/2024","58.75","61.80","62.30","57.61","1.76M","-4.64%"
"11/10/2024","61.61","63.50","63.95","61.30","1.95M","-2.39%"
"11/03/2024","63.12","62.11","63.88","59.30","4.49M","2.43%"
"10/27/2024","61.62","62.00","64.45","60.50","4.59M","0.51%"
"10/20/2024","61.31","64.40","69.35","61.03","7.88M","-5.03%"
"10/13/2024","64.56","70.88","73.38","63.80","12.60M","-8.33%"
"10/06/2024","70.43","58.00","76.79","57.10","22.48M","29.82%"
"09/29/2024","54.25","50.00","54.70","49.00","6.43M","9.00%"
"09/22/2024","49.77","49.02","51.30","48.51","3.90M","1.78%"
"09/15/2024","48.90","50.50","50.93","48.10","1.22M","-2.20%"
"09/08/2024","50.00","51.02","52.00","48.67","1.49M","-1.96%"
"09/01/2024","51.00","54.00","56.50","50.75","5.29M","-5.56%"
