"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","17.70","17.80","18.32","17.33","25.66M","0.85%"
"03/22/2026","17.55","17.25","17.74","17.12","12.80M","2.63%"
"03/15/2026","17.10","18.27","18.64","16.90","18.86M","-5.79%"
"03/08/2026","18.15","18.00","19.94","17.80","53.83M","4.91%"
"03/01/2026","17.30","15.31","18.17","15.31","48.23M","3.90%"
"02/22/2026","16.65","17.00","17.25","16.06","37.98M","-1.94%"
"02/15/2026","16.98","15.70","16.98","15.64","38.26M","8.78%"
"02/08/2026","15.61","15.30","16.12","15.11","14.43M","2.70%"
"02/01/2026","15.20","15.41","15.50","15.00","6.43M","-1.36%"
"01/25/2026","15.41","14.75","15.77","14.80","9.67M","4.47%"
"01/18/2026","14.75","14.30","14.87","14.30","6.01M","3.73%"
"01/11/2026","14.22","15.44","15.55","14.20","9.23M","-7.61%"
"01/04/2026","15.39","15.72","15.78","15.36","4.92M","-1.84%"
"12/28/2025","15.68","15.78","15.84","15.52","3.43M","-0.25%"
"12/21/2025","15.72","15.60","15.96","15.50","6.09M","1.39%"
"12/14/2025","15.50","15.41","15.76","15.20","5.66M","1.15%"
"12/07/2025","15.33","15.19","15.54","15.04","3.97M","1.75%"
"11/30/2025","15.06","15.19","15.28","14.95","4.17M","-0.42%"
"11/23/2025","15.13","15.30","15.37","15.04","3.40M","-1.05%"
"11/16/2025","15.29","15.68","15.76","15.20","5.42M","-1.65%"
"11/09/2025","15.54","15.82","16.06","15.52","8.93M","-1.37%"
"11/02/2025","15.76","15.60","15.92","15.17","9.50M","1.08%"
"10/26/2025","15.59","15.89","15.97","15.58","5.16M","-1.42%"
"10/19/2025","15.82","15.60","15.98","15.54","10.36M","1.70%"
"10/12/2025","15.55","15.84","16.00","15.50","7.28M","-2.07%"
"10/05/2025","15.88","16.01","16.14","15.76","2.66M","-0.75%"
"09/28/2025","16.00","15.12","16.16","15.10","12.54M","5.76%"
"09/21/2025","15.13","14.94","15.36","14.68","4.68M","1.67%"
"09/14/2025","14.88","15.08","15.16","14.78","2.67M","-1.33%"
"09/07/2025","15.08","15.20","15.31","14.84","5.42M","-0.79%"
"08/31/2025","15.20","15.32","15.42","15.02","2.67M","-0.68%"
"08/24/2025","15.30","15.44","15.59","15.16","3.48M","-0.88%"
"08/17/2025","15.44","16.04","16.08","15.24","13.96M","-3.50%"
"08/10/2025","16.00","15.81","16.32","15.81","7.97M","1.27%"
"08/03/2025","15.80","15.44","15.88","15.28","3.70M","2.23%"
"07/27/2025","15.46","16.32","16.38","15.23","6.02M","-4.78%"
"07/20/2025","16.23","16.31","16.92","16.13","6.63M","0.45%"
"07/13/2025","16.16","16.01","16.59","15.52","11.52M","1.20%"
"07/06/2025","15.97","15.66","16.29","15.44","4.81M","2.10%"
"06/29/2025","15.64","15.93","16.09","15.62","5.00M","-1.71%"
"06/22/2025","15.91","14.32","15.96","13.29","4.82M","10.32%"
"06/15/2025","14.42","15.13","15.18","14.39","4.39M","-9.35%"
"06/08/2025","15.91","16.07","16.26","15.85","4.11M","-0.55%"
"06/01/2025","16.00","16.19","16.22","15.86","3.16M","-0.99%"
"05/25/2025","16.16","16.70","16.80","15.94","7.69M","-3.16%"
"05/18/2025","16.69","16.58","16.80","15.97","7.00M","0.82%"
"05/11/2025","16.55","17.28","17.34","16.40","5.51M","-3.77%"
"05/04/2025","17.20","17.57","17.70","17.12","4.83M","-1.83%"
"04/27/2025","17.52","17.60","17.81","17.47","5.67M","-0.45%"
"04/20/2025","17.60","17.92","17.92","17.47","1.72M","-1.79%"
"04/13/2025","17.92","16.59","18.16","16.55","18.90M","8.79%"
"04/06/2025","16.47","16.40","17.06","15.74","13.61M","-3.51%"
"03/30/2025","17.07","17.16","17.17","16.88","334.64K","-0.88%"
"03/23/2025","17.22","17.20","17.33","16.48","7.54M","-0.14%"
"03/16/2025","17.25","18.32","18.32","17.25","6.91M","-5.85%"
"03/09/2025","18.32","17.71","18.48","17.46","11.82M","3.57%"
"03/02/2025","17.69","17.72","18.54","17.60","14.82M","-0.45%"
"02/23/2025","17.77","16.86","18.26","16.68","36.14M","6.68%"
"02/16/2025","16.66","16.63","16.94","16.48","7.24M","1.56%"
"02/09/2025","16.40","17.05","17.40","16.04","18.86M","-1.91%"
"02/02/2025","16.72","15.97","16.80","15.93","12.55M","4.97%"
"01/26/2025","15.93","16.32","16.42","15.81","7.64M","-1.73%"
"01/19/2025","16.21","16.66","16.76","16.16","10.32M","-2.13%"
"01/12/2025","16.56","15.52","16.80","15.16","23.54M","6.76%"
"01/05/2025","15.51","15.48","15.63","14.88","7.55M","0.31%"
"12/29/2024","15.46","14.98","15.71","14.28","13.06M","3.92%"
"12/22/2024","14.88","15.79","15.82","14.80","9.29M","-5.44%"
"12/15/2024","15.74","16.28","16.30","15.45","8.63M","-3.10%"
"12/08/2024","16.24","16.64","16.74","16.20","5.49M","-1.93%"
"12/01/2024","16.56","16.63","16.79","16.36","6.80M","0.44%"
"11/24/2024","16.49","16.58","16.66","15.94","12.03M","-0.43%"
"11/17/2024","16.56","16.81","17.10","16.50","9.14M","-2.82%"
"11/10/2024","17.04","17.01","17.44","16.94","13.89M","0.80%"
"11/03/2024","16.90","17.00","17.07","16.52","18.90M","0.62%"
"10/27/2024","16.80","17.01","17.20","16.48","16.26M","-0.52%"
