"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","79.00","78.02","79.00","74.01","11.60M","1.24%"
"03/22/2026","78.03","79.82","81.00","78.01","6.14M","-1.23%"
"03/15/2026","79.00","78.10","79.90","73.73","15.97M","1.28%"
"03/08/2026","78.00","80.50","80.70","76.00","18.95M","-3.21%"
"03/01/2026","80.59","82.03","85.24","74.50","27.53M","-7.47%"
"02/22/2026","87.10","93.00","94.00","86.83","19.15M","-4.86%"
"02/15/2026","91.55","88.88","97.39","88.51","18.58M","3.02%"
"02/08/2026","88.87","88.25","90.25","86.56","9.25M","0.97%"
"02/01/2026","88.02","86.30","91.00","84.10","21.20M","1.77%"
"01/25/2026","86.49","83.50","88.00","83.06","22.46M","3.58%"
"01/18/2026","83.50","76.25","85.44","76.00","20.89M","9.65%"
"01/11/2026","76.15","77.76","79.00","75.03","10.07M","-2.02%"
"01/04/2026","77.72","80.40","80.40","75.90","7.74M","-2.85%"
"12/28/2025","80.00","75.03","80.90","75.00","10.39M","6.67%"
"12/21/2025","75.00","74.86","75.60","74.50","4.00M","1.08%"
"12/14/2025","74.20","75.98","76.88","74.05","7.01M","-2.18%"
"12/07/2025","75.85","75.50","77.70","73.73","8.05M","0.99%"
"11/30/2025","75.11","72.14","78.85","72.12","13.88M","4.32%"
"11/23/2025","72.00","73.90","75.64","70.90","14.37M","-2.17%"
"11/16/2025","73.60","71.80","79.43","71.30","14.45M","2.79%"
"11/09/2025","71.60","71.47","73.00","70.20","14.81M","0.99%"
"11/02/2025","70.90","58.00","72.25","57.90","45.23M","23.28%"
"10/26/2025","57.51","56.50","58.60","56.50","9.00M","1.91%"
"10/19/2025","56.43","57.27","58.40","56.20","6.55M","-1.47%"
"10/12/2025","57.27","57.80","59.00","57.05","15.97M","-0.90%"
"10/05/2025","57.79","57.03","58.01","55.80","7.22M","1.39%"
"09/28/2025","57.00","55.48","57.70","54.50","11.54M","3.43%"
"09/21/2025","55.11","54.01","55.60","53.70","5.93M","2.06%"
"09/14/2025","54.00","53.00","54.20","52.91","6.83M","1.91%"
"09/07/2025","52.99","53.26","53.90","52.25","5.09M","-0.39%"
"08/31/2025","53.20","55.46","55.69","52.75","4.50M","-4.08%"
"08/24/2025","55.46","55.04","55.55","53.50","9.45M","0.82%"
"08/17/2025","55.01","55.55","56.40","54.77","6.65M","-0.88%"
"08/10/2025","55.50","56.00","57.20","54.16","8.62M","-0.77%"
"08/03/2025","55.93","53.00","55.93","52.51","8.21M","4.93%"
"07/27/2025","53.30","55.49","55.54","52.50","6.89M","-3.96%"
"07/20/2025","55.50","55.16","55.70","53.76","5.61M","0.91%"
"07/13/2025","55.00","56.70","56.90","54.70","8.02M","-2.79%"
"07/06/2025","56.58","55.76","56.99","55.49","6.47M","1.93%"
"06/29/2025","55.51","55.69","57.22","54.91","7.30M","-0.32%"
"06/22/2025","55.69","50.70","55.75","50.02","14.60M","8.56%"
"06/15/2025","51.30","54.00","54.80","51.30","23.23M","-8.38%"
"06/08/2025","55.99","57.12","59.20","55.51","7.77M","-1.98%"
"06/01/2025","57.12","55.10","57.18","55.10","14.50M","3.85%"
"05/25/2025","55.00","51.15","55.70","50.36","29.65M","7.82%"
"05/18/2025","51.01","53.08","53.60","50.75","16.10M","-3.74%"
"05/11/2025","52.99","53.60","54.38","52.67","14.88M","-1.14%"
"05/04/2025","53.60","52.00","54.00","52.00","19.72M","3.22%"
"04/27/2025","51.93","50.00","53.00","50.00","10.97M","3.88%"
"04/20/2025","49.99","48.62","50.50","48.20","6.71M","2.97%"
"04/13/2025","48.55","48.02","49.20","47.57","8.62M","1.57%"
"04/06/2025","47.80","49.99","50.49","46.75","18.70M","-7.95%"
"03/30/2025","51.93","53.00","53.00","51.70","2.18M","-2.20%"
"03/23/2025","53.10","53.95","54.30","52.60","7.64M","-1.58%"
"03/16/2025","53.95","53.61","54.94","53.30","14.24M","0.78%"
"03/09/2025","53.53","52.93","54.00","52.20","11.84M","1.13%"
"03/02/2025","52.93","54.00","54.62","52.50","8.24M","-1.98%"
"02/23/2025","54.00","51.90","54.00","50.76","21.85M","4.07%"
"02/16/2025","51.89","51.85","52.15","50.58","15.22M","1.31%"
"02/09/2025","51.22","53.25","53.30","49.10","16.23M","-2.99%"
"02/02/2025","52.80","54.80","55.51","52.33","11.99M","-3.42%"
"01/26/2025","54.67","54.50","55.10","53.06","12.18M","0.31%"
"01/19/2025","54.50","55.54","56.00","53.79","11.08M","-1.25%"
"01/12/2025","55.19","52.40","55.72","48.70","27.69M","5.12%"
"01/05/2025","52.50","55.50","55.79","52.20","10.09M","-4.98%"
"12/29/2024","55.25","56.20","56.59","53.22","8.82M","-1.69%"
"12/22/2024","56.20","56.01","56.95","55.54","8.92M","0.90%"
"12/15/2024","55.70","56.63","58.90","55.21","19.65M","-1.47%"
"12/08/2024","56.53","57.61","58.50","56.50","8.91M","-1.52%"
"12/01/2024","57.40","58.01","58.50","56.88","13.72M","-1.02%"
"11/24/2024","57.99","58.99","59.50","57.10","17.53M","-1.06%"
"11/17/2024","58.61","61.18","61.18","58.40","12.98M","-3.89%"
"11/10/2024","60.98","61.00","63.50","60.96","17.19M","0.44%"
"11/03/2024","60.71","59.58","61.78","58.54","14.82M","2.71%"
"10/27/2024","59.11","60.00","60.40","58.04","13.30M","-0.66%"
"10/20/2024","59.50","58.25","59.98","55.50","18.58M","1.97%"
"10/13/2024","58.35","58.50","60.48","55.83","14.62M","0.31%"
