"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","84.50","83.00","84.50","78.35","4.35M","2.24%"
"03/22/2026","82.65","84.49","85.56","82.60","3.12M","-2.06%"
"03/15/2026","84.39","84.99","85.43","80.52","4.15M","-0.31%"
"03/08/2026","84.65","88.00","88.65","82.00","6.94M","-3.81%"
"03/01/2026","88.00","88.00","92.00","85.31","8.12M","-5.16%"
"02/22/2026","92.79","94.42","96.88","87.00","10.22M","-1.39%"
"02/15/2026","94.10","95.05","112.98","93.21","14.38M","-0.88%"
"02/08/2026","94.94","86.00","94.95","86.00","7.52M","11.84%"
"02/01/2026","84.89","78.60","84.96","77.60","8.50M","8.14%"
"01/25/2026","78.50","78.51","82.73","77.10","4.57M","-0.01%"
"01/18/2026","78.51","68.36","84.30","67.81","10.63M","15.03%"
"01/11/2026","68.25","69.00","71.37","67.26","6.97M","-0.68%"
"01/04/2026","68.72","65.79","69.84","63.02","6.53M","4.49%"
"12/28/2025","65.77","63.10","65.77","62.83","2.73M","4.68%"
"12/21/2025","62.83","63.20","64.49","62.05","4.03M","-0.48%"
"12/14/2025","63.13","65.00","66.80","62.25","4.89M","-2.35%"
"12/07/2025","64.65","61.50","65.99","60.93","7.85M","5.98%"
"11/30/2025","61.00","63.55","66.39","60.51","6.92M","-3.94%"
"11/23/2025","63.50","63.50","68.48","62.51","8.93M","0.95%"
"11/16/2025","62.90","56.49","63.40","56.11","7.17M","12.32%"
"11/09/2025","56.00","53.00","57.00","51.26","5.26M","5.94%"
"11/02/2025","52.86","50.10","54.00","48.06","2.64M","5.51%"
"10/26/2025","50.10","50.75","51.40","50.00","1.88M","-1.38%"
"10/19/2025","50.80","50.28","51.49","49.82","1.77M","0.93%"
"10/12/2025","50.33","48.04","50.98","47.80","4.90M","4.79%"
"10/05/2025","48.03","49.81","50.99","47.30","2.47M","-3.55%"
"09/28/2025","49.80","47.05","51.99","46.41","4.86M","5.96%"
"09/21/2025","47.00","47.25","47.76","46.10","1.21M","-0.53%"
"09/14/2025","47.25","45.60","47.89","45.51","2.51M","2.67%"
"09/07/2025","46.02","45.46","46.19","44.10","2.14M","2.15%"
"08/31/2025","45.05","46.20","46.89","44.90","1.32M","-2.76%"
"08/24/2025","46.33","46.00","47.10","45.30","3.12M","0.72%"
"08/17/2025","46.00","45.10","46.95","44.00","3.83M","2.22%"
"08/10/2025","45.00","44.50","45.45","43.80","1.66M","1.12%"
"08/03/2025","44.50","40.74","45.50","40.40","4.06M","8.54%"
"07/27/2025","41.00","38.90","41.00","38.56","3.01M","5.32%"
"07/20/2025","38.93","38.40","39.09","37.02","1.93M","1.46%"
"07/13/2025","38.37","38.70","39.49","36.99","3.76M","-0.85%"
"07/06/2025","38.70","37.16","39.73","37.10","2.26M","4.14%"
"06/29/2025","37.16","37.90","39.75","36.81","2.54M","-2.03%"
"06/22/2025","37.93","34.52","37.99","34.15","4.60M","5.36%"
"06/15/2025","36.00","36.50","37.00","33.66","2.38M","-3.67%"
"06/08/2025","37.37","37.20","37.89","36.61","781.50K","-0.35%"
"06/01/2025","37.50","36.13","37.90","36.13","1.15M","3.79%"
"05/25/2025","36.13","36.90","37.90","35.50","3.29M","-2.35%"
"05/18/2025","37.00","35.30","37.28","34.70","2.56M","4.96%"
"05/11/2025","35.25","35.27","35.70","34.40","1.21M","-0.11%"
"05/04/2025","35.29","34.59","35.99","34.44","4.06M","1.99%"
"04/27/2025","34.60","34.06","34.98","33.95","1.37M","0.87%"
"04/20/2025","34.30","34.00","34.30","33.50","1.21M","-1.41%"
"04/13/2025","34.79","34.29","35.29","34.00","1.59M","2.35%"
"04/06/2025","33.99","34.90","34.90","33.21","1.63M","-3.02%"
"03/30/2025","35.05","35.50","35.50","35.01","205.56K","-0.71%"
"03/23/2025","35.30","36.70","37.35","35.00","2.53M","-4.52%"
