"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","5.33","5.45","5.47","5.21","23.99M","-2.20%"
"03/22/2026","5.45","5.44","5.58","5.40","29.12M","0.74%"
"03/15/2026","5.41","5.48","5.50","5.19","20.69M","-0.73%"
"03/08/2026","5.45","5.44","5.58","5.29","37.87M","0.37%"
"03/01/2026","5.43","4.97","5.55","4.72","51.57M","4.42%"
"02/22/2026","5.20","5.46","5.50","5.06","47.24M","-4.76%"
"02/15/2026","5.46","5.57","5.65","5.45","85.50M","-1.09%"
"02/08/2026","5.52","5.57","5.66","5.48","54.94M","-0.54%"
"02/01/2026","5.55","5.29","5.73","5.02","95.89M","5.11%"
"01/25/2026","5.28","5.57","5.62","5.26","26.76M","-5.21%"
"01/18/2026","5.57","5.49","5.75","5.44","51.96M","2.96%"
"01/11/2026","5.41","5.61","5.65","5.26","39.93M","-3.39%"
"01/04/2026","5.60","5.73","5.78","5.60","19.11M","-2.44%"
"12/28/2025","5.74","5.73","5.89","5.64","44.69M","0.70%"
"12/21/2025","5.70","5.90","5.98","5.70","47.54M","-3.06%"
"12/14/2025","5.88","6.10","6.14","5.88","73.25M","-3.13%"
"12/07/2025","6.07","6.22","6.24","5.95","131.83M","-1.94%"
"11/30/2025","6.19","5.97","6.20","5.82","173.07M","4.38%"
"11/23/2025","5.93","6.22","6.26","5.80","247.45M","-5.12%"
"11/16/2025","6.25","6.11","6.50","5.99","443.37M","3.65%"
"11/09/2025","6.03","5.47","6.12","5.33","257.70M","10.04%"
"11/02/2025","5.48","5.37","5.60","5.32","183.88M","3.01%"
"10/26/2025","5.32","5.48","5.53","5.27","123.40M","-2.03%"
"10/19/2025","5.43","5.43","5.65","5.19","139.31M","0.56%"
"10/12/2025","5.40","5.00","5.45","4.95","187.58M","8.87%"
"10/05/2025","4.96","4.76","5.11","4.76","178.59M","4.64%"
"09/28/2025","4.74","4.44","4.83","4.38","224.24M","8.72%"
"09/21/2025","4.36","4.11","4.36","4.11","125.62M","6.34%"
"09/14/2025","4.10","4.10","4.21","4.03","60.95M","-0.49%"
"09/07/2025","4.12","4.00","4.19","3.94","77.19M","4.04%"
"08/31/2025","3.96","4.07","4.08","3.86","56.24M","-1.98%"
"08/24/2025","4.04","4.04","4.10","3.99","51.86M","0.25%"
"08/17/2025","4.03","4.08","4.16","4.03","83.06M","-0.98%"
"08/10/2025","4.07","4.28","4.28","4.03","97.72M","-4.24%"
"08/03/2025","4.25","4.16","4.36","4.15","225.60M","2.66%"
"07/27/2025","4.14","4.10","4.22","3.94","147.67M","1.72%"
"07/20/2025","4.07","4.14","4.22","4.01","114.11M","-0.25%"
"07/13/2025","4.08","3.77","4.14","3.67","223.08M","8.51%"
"07/06/2025","3.76","3.66","3.76","3.54","93.89M","3.87%"
"06/29/2025","3.62","3.53","3.65","3.48","131.56M","3.43%"
"06/22/2025","3.50","3.17","3.56","3.11","137.07M","9.37%"
"06/15/2025","3.20","3.22","3.60","3.00","119.29M","-12.33%"
"06/08/2025","3.65","3.76","3.88","3.64","131.02M","-2.41%"
"06/01/2025","3.74","3.64","3.79","3.57","112.61M","3.60%"
"05/25/2025","3.61","3.48","3.70","3.47","179.65M","4.64%"
"05/18/2025","3.45","3.53","3.55","3.39","52.33M","-1.71%"
"05/11/2025","3.51","3.53","3.57","3.40","73.81M","0.29%"
"05/04/2025","3.50","3.67","3.78","3.44","166.00M","-4.11%"
"04/27/2025","3.65","3.86","3.90","3.63","69.99M","-5.44%"
"04/20/2025","3.86","3.90","3.95","3.85","52.31M","-0.26%"
"04/13/2025","3.87","3.75","4.00","3.66","271.48M","5.45%"
"04/06/2025","3.67","3.25","3.96","3.12","556.97M","7.94%"
"03/30/2025","3.40","3.40","3.42","3.35","8.73M","-0.29%"
"03/23/2025","3.41","3.40","3.57","3.37","86.18M","0.29%"
"03/16/2025","3.40","3.31","3.54","3.30","19.81M","3.03%"
"03/09/2025","3.30","3.27","3.31","3.25","6.06M","1.23%"
"03/02/2025","3.26","3.31","3.37","3.25","7.48M","-1.51%"
"02/23/2025","3.31","3.33","3.39","3.30","7.83M","-1.19%"
"02/16/2025","3.35","3.27","3.45","3.27","13.12M","3.40%"
"02/09/2025","3.24","3.36","3.49","3.18","9.82M","-2.99%"
"02/02/2025","3.34","3.44","3.45","3.34","7.43M","-1.76%"
"01/26/2025","3.40","3.48","3.57","3.29","12.78M","-0.87%"
"01/19/2025","3.43","3.29","3.52","3.28","17.63M","4.57%"
"01/12/2025","3.28","3.30","3.32","3.06","18.23M","-1.20%"
