Company,Date,Price,Open,High,Low,Vol.,Change %
Abu Qir Fertilizers and Chemical Industries,2017-01-01,6.8,6.74,6.93,6.74,100470,-2.16
Abu Qir Fertilizers and Chemical Industries,2017-01-08,6.8,6.96,6.96,6.77,117300,0.0
Abu Qir Fertilizers and Chemical Industries,2017-01-15,6.6,6.83,6.87,6.53,437290,-2.94
Abu Qir Fertilizers and Chemical Industries,2017-01-22,6.67,6.47,6.73,6.47,26230,1.06
Abu Qir Fertilizers and Chemical Industries,2017-01-29,6.85,6.67,7.27,6.33,273220,2.7
Abu Qir Fertilizers and Chemical Industries,2017-02-05,6.94,7.27,7.53,6.8,1690000,1.31
Abu Qir Fertilizers and Chemical Industries,2017-02-12,7.69,7.0,8.33,6.47,2410000,10.81
Abu Qir Fertilizers and Chemical Industries,2017-02-19,7.46,7.64,7.67,7.2,763530,-2.99
Abu Qir Fertilizers and Chemical Industries,2017-02-26,7.08,7.57,7.57,6.83,1060000,-5.09
Abu Qir Fertilizers and Chemical Industries,2017-03-05,8.53,7.17,8.76,7.13,6580000,20.48
Abu Qir Fertilizers and Chemical Industries,2017-03-12,8.88,8.72,9.07,8.57,3970000,4.1
Abu Qir Fertilizers and Chemical Industries,2017-03-19,8.62,8.87,9.06,8.51,1750000,-2.93
Abu Qir Fertilizers and Chemical Industries,2017-03-26,8.72,8.63,8.8,8.37,1190000,1.16
Abu Qir Fertilizers and Chemical Industries,2017-04-02,12.07,8.73,12.27,8.58,5250000,38.42
Abu Qir Fertilizers and Chemical Industries,2017-04-09,10.94,12.08,12.26,10.8,3930000,-9.36
Abu Qir Fertilizers and Chemical Industries,2017-04-16,11.11,10.87,11.4,10.68,933240,1.55
Abu Qir Fertilizers and Chemical Industries,2017-04-23,11.69,10.77,12.0,10.77,1850000,5.22
Abu Qir Fertilizers and Chemical Industries,2017-04-30,12.03,11.51,12.52,11.47,2500000,2.91
Abu Qir Fertilizers and Chemical Industries,2017-05-07,12.17,11.87,12.33,11.8,1740000,1.16
Abu Qir Fertilizers and Chemical Industries,2017-05-14,13.1,12.15,13.73,12.15,3860000,7.64
Abu Qir Fertilizers and Chemical Industries,2017-05-21,14.67,13.5,15.33,13.5,3470000,11.98
Abu Qir Fertilizers and Chemical Industries,2017-05-28,16.03,14.9,16.26,14.4,2610000,9.27
Abu Qir Fertilizers and Chemical Industries,2017-06-04,15.37,16.27,16.27,15.2,1360000,-4.12
Abu Qir Fertilizers and Chemical Industries,2017-06-11,16.66,15.32,16.87,14.93,2170000,8.39
